"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/06","09:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,96.85,NA,NA,NA,NA
"2","2021/01/06","09:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,96.89,NA,NA,NA,NA
"3","2021/01/06","09:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.95,NA,NA,NA,NA
"4","2021/01/06","09:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.93,NA,NA,NA,NA
"5","2021/01/06","09:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.48,NA,NA,NA,NA
"6","2021/01/06","09:42:13",-0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/01/06","09:42:13",-0.282,NA,NA,NA,NA,NA,NA,0.16,0.16,NA,NA,NA,NA,NA,NA
"8","2021/01/06","09:42:13",-0.3016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/01/06","09:42:13",-0.3016,NA,NA,NA,NA,NA,NA,NA,NA,2.23,NA,NA,NA,NA,NA
"10","2021/01/06","09:42:14",-0.2624,NA,NA,NA,NA,NA,NA,0.18,0.18,2.13,NA,7.584,NA,7.597,7.597
"11","2021/01/06","09:42:14",-0.282,17.962,NA,NA,NA,NA,NA,0.19,0.19,2.02,NA,7.578,NA,7.591,7.591
"12","2021/01/06","09:42:14",-0.2624,17.969,NA,NA,NA,NA,NA,0.19,0.19,1.92,NA,7.573,NA,7.586,7.586
"13","2021/01/06","09:42:14",-0.282,17.973,33.424,NA,52072.508,1024.071,24.072,0.18,0.18,1.88,NA,7.559,7.5,7.573,7.573
"14","2021/01/06","09:42:14",-0.282,17.971,33.423,44.018,52070.811,1024.07,24.072,0.18,0.18,1.99,97.56,7.556,7.5,7.57,7.57
"15","2021/01/06","09:42:14",-0.2624,17.971,33.418,44.014,52064.674,1024.067,24.068,0.18,0.18,2.1,97.44,7.546,7.52,7.559,7.56
"16","2021/01/06","09:42:14",-0.282,17.971,33.415,44.01,52059.488,1024.064,24.065,0.18,0.18,1.99,97.36,7.538,NA,7.552,7.552
"17","2021/01/06","09:42:14",-0.282,17.973,33.417,44.013,52061.669,1024.065,24.066,0.18,0.18,1.99,97.37,7.538,7.51,7.552,7.552
"18","2021/01/06","09:42:14",-0.3016,17.967,33.417,44.009,52063.799,1024.067,24.068,0.18,0.18,2.09,97.27,7.53,7.53,7.543,7.543
"19","2021/01/06","09:42:14",-0.282,17.97,33.419,44.013,52065.023,1024.067,24.068,0.18,0.18,2.05,97.24,7.527,7.55,7.541,7.541
"20","2021/01/06","09:42:15",-0.282,17.976,33.411,44.009,52052.678,1024.06,24.061,0.18,0.18,2.05,97.15,7.52,7.54,7.533,7.534
"21","2021/01/06","09:42:15",-0.282,17.977,33.411,44.011,52053.085,1024.06,24.061,0.18,0.18,1.99,97,7.508,7.54,7.522,7.522
"22","2021/01/06","09:42:15",-0.282,17.977,33.412,44.011,52054.455,1024.061,24.062,0.18,0.18,1.88,96.72,7.487,7.54,7.5,7.501
"23","2021/01/06","09:42:15",-0.2624,17.976,33.412,44.011,52054.591,1024.061,24.062,0.19,0.19,1.91,96.44,7.466,7.53,7.479,7.479
