"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/06","11:58:32",-0.3016,NA,NA,NA,NA,NA,NA,0.4,0.4,NA,102.31,NA,NA,NA,NA
"2","2021/01/06","11:58:32",-0.3213,20.354,NA,NA,NA,1024.231,24.232,NA,NA,7.21,102.26,NA,NA,NA,NA
"3","2021/01/06","11:58:32",-0.3016,20.473,34.372,NA,52891.641,1024.156,24.157,0.4,0.4,6.85,102.18,NA,NA,NA,NA
"4","2021/01/06","11:58:32",-0.3213,20.538,34.305,NA,52788.104,1024.088,24.089,0.4,0.4,6.8,102.12,NA,NA,NA,NA
"5","2021/01/06","11:58:32",-0.3213,20.57,34.279,NA,52746.824,1024.059,24.061,0.4,0.4,6.43,101.88,NA,NA,NA,NA
"6","2021/01/06","11:58:32",-0.3016,20.597,34.219,47.559,52660.937,1024.007,24.008,0.39,0.39,6.27,101.6,NA,NA,NA,NA
"7","2021/01/06","11:58:32",-0.3016,20.607,34.219,47.569,52658.634,1024.004,24.005,0.37,0.37,6.3,101.36,7.512,NA,7.528,7.528
"8","2021/01/06","11:58:32",-0.3016,20.55,34.266,47.569,52732.465,1024.055,24.056,0.38,0.38,6.68,101.23,7.498,NA,7.514,7.514
"9","2021/01/06","11:58:32",-0.3016,20.532,34.258,47.542,52724.982,1024.054,24.055,0.37,0.37,6.97,101.28,7.505,NA,7.521,7.522
"10","2021/01/06","11:58:33",-0.3213,20.546,34.244,47.54,52703.948,1024.039,24.041,0.37,0.37,6.68,101.32,7.505,NA,7.521,7.522
"11","2021/01/06","11:58:33",-0.3213,20.56,34.224,47.528,52673.206,1024.02,24.021,0.37,0.37,6.51,101.23,7.488,NA,7.504,7.505
"12","2021/01/06","11:58:33",-0.3213,20.529,34.259,47.541,52727.083,1024.055,24.056,0.37,0.37,6.63,101.09,7.462,NA,7.479,7.479
"13","2021/01/06","11:58:33",-0.3213,20.487,34.279,47.524,52762.567,1024.082,24.083,0.38,0.38,6.58,101.23,7.464,NA,7.48,7.481
"14","2021/01/06","11:58:33",-0.3213,20.491,34.264,47.509,52740.904,1024.069,24.071,0.37,0.37,6.41,101.55,7.485,NA,7.501,7.502
"15","2021/01/06","11:58:33",-0.3213,20.488,34.249,47.487,52720.412,1024.058,24.06,0.34,0.34,6.51,101.56,7.478,NA,7.494,7.495
"16","2021/01/06","11:58:33",-0.3016,20.481,34.248,47.48,52720.766,1024.06,24.061,0.35,0.35,6.45,101.31,7.453,NA,7.47,7.471
"17","2021/01/06","11:58:33",-0.3213,20.428,34.264,47.446,52752.319,1024.086,24.087,0.34,0.34,6.24,101.1,7.43,NA,7.447,7.448
"18","2021/01/06","11:58:33",-0.3213,20.398,34.29,47.448,52792.478,1024.113,24.115,0.33,0.33,6.31,100.79,7.404,NA,7.42,7.421
"19","2021/01/06","11:58:33",-0.3213,20.398,34.283,47.439,52782.788,1024.108,24.109,0.34,0.34,6.27,100.58,7.392,NA,7.408,7.409
"20","2021/01/06","11:58:34",-0.3213,20.408,34.262,47.423,52752.551,1024.09,24.091,0.34,0.34,6.34,100.4,7.384,7.53,7.4,7.401
"21","2021/01/06","11:58:34",-0.3213,20.43,34.237,47.414,52714.189,1024.065,24.066,0.34,0.34,6.38,100.29,7.383,7.55,7.399,7.4
"22","2021/01/06","11:58:34",-0.3213,20.452,34.22,47.415,52687.008,1024.046,24.047,0.34,0.34,6.4,100.3,7.389,7.55,7.405,7.406
"23","2021/01/06","11:58:34",-0.3213,20.456,34.227,47.428,52696.264,1024.05,24.052,0.34,0.34,6.41,100.39,7.398,7.54,7.414,7.415
"24","2021/01/06","11:58:34",-0.3213,20.425,34.271,47.451,52761.914,1024.092,24.093,0.32,0.32,6.45,100.52,7.406,7.55,7.423,7.423
"25","2021/01/06","11:58:34",-0.3016,20.405,34.28,47.443,52778.491,1024.105,24.106,0.31,0.31,6.63,100.52,7.408,7.55,7.424,7.424
"26","2021/01/06","11:58:34",-0.3213,20.39,34.291,47.441,52795.493,1024.116,24.118,0.31,0.31,6.77,100.44,7.399,7.55,7.416,7.416
"27","2021/01/06","11:58:34",-0.3213,20.381,34.291,47.433,52797.977,1024.119,24.121,0.32,0.32,6.57,100.37,7.394,NA,7.41,7.411
"28","2021/01/06","11:58:34",-0.3213,20.378,34.294,47.433,52802.479,1024.122,24.124,0.31,0.31,6.61,100.38,7.392,7.55,7.408,7.409
"29","2021/01/06","11:58:34",-0.3016,20.398,34.275,47.429,52772.081,1024.102,24.103,0.32,0.32,6.64,100.13,7.366,7.54,7.382,7.383
"30","2021/01/06","11:58:35",-0.3213,20.426,34.258,47.436,52743.953,1024.082,24.083,0.33,0.33,6.84,99.93,7.348,7.55,7.364,7.365
"31","2021/01/06","11:58:35",-0.3016,20.429,34.267,47.451,52756.193,1024.088,24.089,0.33,0.33,7.03,99.78,7.332,7.56,7.349,7.349
"32","2021/01/06","11:58:35",-0.3016,20.407,34.276,47.441,52772.763,1024.101,24.102,0.32,0.32,7.04,99.69,7.321,7.55,7.338,7.338
"33","2021/01/06","11:58:35",-0.3016,20.413,34.265,47.432,52755.331,1024.09,24.092,0.33,0.33,7.07,99.47,7.305,7.56,7.321,7.322
"34","2021/01/06","11:58:35",-0.3016,20.431,34.247,47.428,52727.698,1024.072,24.073,0.33,0.33,7.2,99.55,7.32,7.57,7.336,7.337
"35","2021/01/06","11:58:35",-0.282,20.437,34.244,47.43,52722.554,1024.068,24.069,0.31,0.31,6.9,99.66,7.339,7.55,7.355,7.355
"36","2021/01/06","11:58:35",-0.3016,20.407,34.265,47.426,52756.5,1024.092,24.093,0.31,0.31,6.9,99.58,7.331,7.56,7.347,7.348
"37","2021/01/06","11:58:35",-0.3016,20.382,34.288,47.429,52792.474,1024.116,24.117,0.3,0.3,6.74,99.59,7.33,7.56,7.346,7.347
"38","2021/01/06","11:58:35",-0.3016,20.357,34.33,47.456,52855.369,1024.155,24.157,0.31,0.31,6.87,99.52,7.322,7.54,7.338,7.338
"39","2021/01/06","11:58:35",-0.3016,20.347,34.324,47.439,52848.855,1024.153,24.154,0.31,0.31,7.01,99.67,7.331,7.56,7.347,7.347
"40","2021/01/06","11:58:36",-0.3016,20.355,34.335,47.461,52862.69,1024.159,24.161,0.31,0.31,7,99.65,7.327,7.56,7.343,7.344
"41","2021/01/06","11:58:36",-0.3213,20.372,34.35,47.496,52879.875,1024.166,24.168,0.32,0.32,6.67,99.68,7.328,7.56,7.344,7.345
"42","2021/01/06","11:58:36",-0.3213,20.384,34.332,47.486,52853.287,1024.149,24.151,0.31,0.31,6.38,99.68,7.328,7.56,7.344,7.345
"43","2021/01/06","11:58:36",-0.3016,20.388,34.33,47.487,52849.16,1024.147,24.148,0.32,0.32,6.57,99.61,7.323,7.57,7.339,7.34
"44","2021/01/06","11:58:36",-0.3213,20.412,34.306,47.482,52812.086,1024.122,24.123,0.34,0.34,6.77,99.35,7.304,7.57,7.32,7.321
"45","2021/01/06","11:58:36",-0.3213,20.421,34.284,47.464,52780.378,1024.103,24.104,0.35,0.35,6.68,99.31,7.304,7.56,7.32,7.321
"46","2021/01/06","11:58:36",-0.3016,20.424,34.268,47.447,52758.293,1024.09,24.091,0.31,0.31,6.51,99.32,7.305,7.56,7.321,7.322
"47","2021/01/06","11:58:36",-0.3213,20.423,34.287,47.469,52784.555,1024.105,24.106,0.28,0.28,6.5,99.22,7.298,7.57,7.314,7.315
"48","2021/01/06","11:58:36",-0.3213,20.398,34.313,47.476,52824.51,1024.131,24.133,0.29,0.29,6.6,99.15,7.292,7.58,7.308,7.309
"49","2021/01/06","11:58:36",-0.3016,20.359,34.336,47.466,52862.523,1024.159,24.16,0.32,0.32,6.65,99.12,7.289,7.55,7.305,7.306
"50","2021/01/06","11:58:37",-0.3213,20.336,34.35,47.461,52887.019,1024.176,24.177,0.31,0.31,6.55,98.98,7.279,7.57,7.295,7.296
"51","2021/01/06","11:58:37",-0.3213,20.364,34.325,47.457,52847.134,1024.149,24.151,0.31,0.31,6.4,98.97,7.281,7.57,7.297,7.298
"52","2021/01/06","11:58:37",-0.3213,20.393,34.295,47.45,52801.448,1024.119,24.121,0.31,0.31,6.43,98.94,7.281,7.58,7.297,7.298
"53","2021/01/06","11:58:37",-0.3213,20.403,34.281,47.443,52780.345,1024.106,24.107,0.31,0.31,6.48,98.86,7.277,7.57,7.293,7.294
"54","2021/01/06","11:58:37",-0.3213,20.396,34.28,47.434,52779.719,1024.107,24.108,0.3,0.3,6.48,98.91,7.281,7.58,7.297,7.298
"55","2021/01/06","11:58:37",-0.3213,20.389,34.269,47.413,52766.312,1024.1,24.102,0.31,0.31,6.5,98.86,7.278,7.55,7.294,7.294
"56","2021/01/06","11:58:37",-0.3213,20.371,34.284,47.413,52789.225,1024.116,24.117,0.3,0.3,6.5,98.75,7.269,7.55,7.285,7.286
"57","2021/01/06","11:58:37",-0.3213,20.359,34.294,47.413,52805.193,1024.127,24.128,0.3,0.3,6.55,98.74,7.269,7.59,7.284,7.285
"58","2021/01/06","11:58:37",-0.3213,20.351,34.297,47.409,52810.662,1024.131,24.133,0.28,0.28,6.73,98.65,7.26,7.59,7.276,7.277
"59","2021/01/06","11:58:37",-0.3213,20.33,34.311,47.405,52833.524,1024.147,24.149,0.28,0.28,6.65,98.59,7.255,7.58,7.271,7.272
