"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/06","08:23:21",-0.3213,22.007,31.523,45.515,48723.892,1021.575,21.577,NA,NA,3.36,NA,NA,NA,NA,NA
"2","2021/01/06","08:23:21",-0.3213,22.008,31.575,45.583,48794.451,1021.614,21.615,NA,NA,3.33,NA,NA,NA,NA,NA
"3","2021/01/06","08:23:21",-0.3016,22.011,31.61,45.631,48842.978,1021.64,21.641,0.54,0.54,NA,NA,NA,NA,NA,NA
"4","2021/01/06","08:23:21",-0.3016,21.961,31.677,45.671,48942.556,1021.704,21.706,0.55,0.55,3.42,NA,NA,NA,NA,NA
"5","2021/01/06","08:23:21",-0.3213,21.949,31.68,45.663,48948.86,1021.71,21.712,0.55,0.55,3.5,NA,NA,NA,NA,NA
"6","2021/01/06","08:23:21",-0.3213,21.921,31.713,45.679,48998.324,1021.743,21.744,0.55,0.55,3.24,NA,NA,NA,NA,NA
"7","2021/01/06","08:23:21",-0.3016,21.928,31.711,45.683,48994.335,1021.739,21.741,NA,NA,3.43,NA,NA,NA,NA,NA
"8","2021/01/06","08:23:21",-0.3016,21.955,31.688,45.679,48958.637,1021.714,21.716,0.54,0.54,2.92,98.98,7.212,NA,7.23,7.23
"9","2021/01/06","08:23:21",-0.3016,21.958,31.683,45.676,48952.056,1021.71,21.712,0.55,0.55,2.96,98.53,7.177,7.5,7.194,7.195
"10","2021/01/06","08:23:22",-0.3016,22.01,31.632,45.658,48873.623,1021.657,21.658,NA,NA,2.93,98.18,7.154,NA,7.172,7.172
"11","2021/01/06","08:23:22",-0.3213,22.053,31.587,45.641,48805.43,1021.611,21.612,0.54,0.54,2.97,97.86,7.133,7.5,7.15,7.151
"12","2021/01/06","08:23:22",-0.3213,22.062,31.603,45.67,48825.811,1021.62,21.622,0.51,0.51,3.04,97.51,7.107,7.5,7.124,7.125
"13","2021/01/06","08:23:22",-0.3213,22.01,31.648,45.68,48895.843,1021.669,21.67,0.52,0.52,2.97,97.14,7.08,7.49,7.097,7.098
"14","2021/01/06","08:23:22",-0.3016,22.019,31.629,45.664,48868.471,1021.652,21.654,0.52,0.52,2.86,96.85,7.059,7.51,7.076,7.077
"15","2021/01/06","08:23:22",-0.3213,22.057,31.605,45.668,48830.073,1021.624,21.625,0.51,0.51,3.03,96.67,7.048,7.51,7.065,7.065
"16","2021/01/06","08:23:22",-0.3016,22.052,31.592,45.646,48811.828,1021.615,21.616,0.53,0.53,NA,96.44,7.033,7.51,7.05,7.051
"17","2021/01/06","08:23:22",-0.3016,22.034,31.582,45.617,48801.528,1021.613,21.614,0.54,0.54,NA,96.04,7.007,7.52,7.024,7.024
"18","2021/01/06","08:23:22",-0.3016,22.027,31.58,45.607,48798.971,1021.613,21.614,0.51,0.51,3.43,95.79,6.989,7.52,7.006,7.006
"19","2021/01/06","08:23:22",-0.3016,22.039,31.585,45.626,48804.422,1021.613,21.615,0.51,0.51,3.4,95.66,6.973,7.53,6.99,6.991
"20","2021/01/06","08:23:23",-0.3016,22.046,31.571,45.613,48783.936,1021.601,21.602,0.54,0.54,3.13,95.46,6.95,7.53,6.967,6.967
"21","2021/01/06","08:23:23",-0.3016,22.038,31.608,45.654,48836.957,1021.631,21.633,0.51,0.51,NA,95.24,6.929,7.54,6.946,6.947
"22","2021/01/06","08:23:23",-0.282,22.021,31.639,45.678,48881.66,1021.659,21.661,0.5,0.5,3.34,94.98,6.907,7.56,6.924,6.925
"23","2021/01/06","08:23:23",-0.3016,21.978,31.627,45.622,48870.745,1021.662,21.663,0.49,0.49,2.96,94.63,6.882,7.54,6.899,6.9
"24","2021/01/06","08:23:23",-0.3016,21.878,31.688,45.606,48969.258,1021.735,21.737,0.49,0.49,2.93,94.48,6.869,7.55,6.886,6.886
"25","2021/01/06","08:23:23",-0.3016,21.818,31.714,45.583,49013.892,1021.771,21.773,0.48,0.48,2.96,94.29,6.856,7.55,6.873,6.873
"26","2021/01/06","08:23:23",-0.3016,21.792,31.723,45.57,49031.409,1021.786,21.788,0.5,0.5,3.09,94.2,6.85,7.55,6.867,6.867
"27","2021/01/06","08:23:23",-0.3213,21.737,31.756,45.56,49083.945,1021.826,21.827,0.49,0.49,2.79,93.82,6.823,7.54,6.84,6.84
"28","2021/01/06","08:23:23",-0.3016,21.737,31.734,45.533,49054.719,1021.81,21.811,0.51,0.51,2.7,93.44,6.798,7.55,6.815,6.816
"29","2021/01/06","08:23:23",-0.3213,21.713,31.737,45.513,49061.168,1021.818,21.819,0.49,0.49,2.93,93.28,6.794,7.55,6.81,6.811
"30","2021/01/06","08:23:24",-0.3213,21.749,31.736,45.546,49054.746,1021.807,21.809,0.5,0.5,3.03,93.22,6.8,7.55,6.816,6.817
"31","2021/01/06","08:23:24",-0.3213,21.799,31.703,45.552,49002.756,1021.769,21.77,0.5,0.5,3,93.1,6.795,7.55,6.812,6.812
"32","2021/01/06","08:23:24",-0.3213,21.787,31.719,45.56,49025.446,1021.784,21.785,0.53,0.53,3.07,92.83,6.775,7.55,6.791,6.792
"33","2021/01/06","08:23:24",-0.3016,21.799,31.714,45.566,49017.745,1021.777,21.779,0.53,0.53,3.2,92.7,6.767,7.55,6.783,6.784
"34","2021/01/06","08:23:24",-0.3016,21.806,31.728,45.59,49036.377,1021.786,21.788,0.51,0.51,2.99,92.63,6.761,7.55,6.777,6.778
"35","2021/01/06","08:23:24",-0.3213,21.806,31.723,45.583,49028.25,1021.782,21.783,0.5,0.5,2.87,92.52,6.748,7.57,6.764,6.765
"36","2021/01/06","08:23:24",-0.3016,21.847,31.659,45.54,48934.306,1021.722,21.723,0.51,0.51,2.89,92.44,6.747,7.55,6.763,6.764
"37","2021/01/06","08:23:24",-0.3213,21.896,31.583,45.489,48822.253,1021.651,21.652,0.51,0.51,3.03,92.37,6.752,7.55,6.768,6.769
"38","2021/01/06","08:23:24",-0.3213,21.956,31.534,45.481,48745.669,1021.597,21.599,0.5,0.5,3.02,92.27,6.747,7.55,6.763,6.764
"39","2021/01/06","08:23:24",-0.3213,21.905,31.577,45.488,48812.116,1021.644,21.645,0.48,0.48,2.75,92.11,6.734,7.57,6.75,6.75
"40","2021/01/06","08:23:25",-0.3213,21.884,31.568,45.458,48803.005,1021.643,21.644,0.49,0.49,2.92,92.13,6.736,7.56,6.752,6.752
"41","2021/01/06","08:23:25",-0.3213,21.906,31.579,45.493,48815.493,1021.645,21.647,0.51,0.51,2.75,91.98,6.726,7.57,6.742,6.743
"42","2021/01/06","08:23:25",-0.3016,21.923,31.569,45.495,48798.479,1021.633,21.634,0.51,0.51,2.89,91.8,6.713,7.58,6.729,6.73
"43","2021/01/06","08:23:25",-0.3213,21.935,31.593,45.539,48830.697,1021.648,21.649,0.51,0.51,2.7,91.77,6.709,7.57,6.725,6.726
"44","2021/01/06","08:23:25",-0.3213,21.941,31.58,45.527,48812.12,1021.637,21.638,0.5,0.5,2.83,91.76,6.707,7.57,6.724,6.724
"45","2021/01/06","08:23:25",-0.3213,21.934,31.566,45.501,48792.507,1021.627,21.629,0.48,0.48,2.65,91.51,6.687,7.58,6.704,6.704
"46","2021/01/06","08:23:25",-0.3213,21.89,31.612,45.519,48863.029,1021.675,21.676,0.46,0.46,2.62,91.42,6.676,7.58,6.692,6.692
"47","2021/01/06","08:23:25",-0.3409,21.833,31.673,45.544,48955.502,1021.736,21.738,0.47,0.47,2.67,91.41,6.668,7.57,6.684,6.684
"48","2021/01/06","08:23:25",-0.3213,21.812,31.677,45.53,48963.783,1021.745,21.746,0.5,0.5,3.04,91.33,6.656,7.57,6.673,6.673
"49","2021/01/06","08:23:25",-0.3213,21.828,31.652,45.513,48927.867,1021.722,21.724,0.51,0.51,3.06,91.18,6.641,7.57,6.657,6.658
"50","2021/01/06","08:23:26",-0.3213,21.886,31.594,45.492,48838.268,1021.662,21.663,0.51,0.51,2.75,91.12,6.635,7.57,6.651,6.651
"51","2021/01/06","08:23:26",-0.3213,21.94,31.538,45.471,48753.25,1021.605,21.606,0.51,0.51,2.7,91.01,6.627,7.58,6.643,6.644
"52","2021/01/06","08:23:26",-0.3213,21.963,31.506,45.451,48705.462,1021.574,21.575,0.47,0.47,2.6,90.83,6.614,7.58,6.63,6.631
"53","2021/01/06","08:23:26",-0.3213,21.964,31.502,45.447,48700.459,1021.571,21.572,0.47,0.47,2.62,90.66,6.6,7.61,6.616,6.617
"54","2021/01/06","08:23:26",-0.3213,21.953,31.528,45.471,48738.179,1021.594,21.595,0.5,0.5,2.52,90.61,6.594,7.58,6.61,6.61
