"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do"
"1","2021/09/02","12:50:33",-0.4194,NA,33.595,NA,50667.418,1020.54,20.542,0.26,0.26,NA,NA,NA,NA,NA
"2","2021/09/02","12:50:33",-0.3998,NA,33.593,NA,50665.056,1020.538,20.54,0.27,0.27,NA,NA,NA,NA,NA
"3","2021/09/02","12:50:33",-0.3998,NA,33.596,NA,50668.422,1020.541,20.543,0.27,0.27,NA,NA,NA,NA,NA
"4","2021/09/02","12:50:33",-0.3998,NA,33.596,NA,50669.176,1020.541,20.543,0.28,0.28,NA,NA,NA,NA,NA
"5","2021/09/02","12:50:33",-0.4194,NA,33.596,NA,50668.473,1020.539,20.541,0.28,0.28,NA,NA,NA,NA,NA
"6","2021/09/02","12:50:33",-0.3998,30.398,33.592,NA,50662.598,1020.534,20.535,0.28,0.28,NA,NA,NA,NA,NA
"7","2021/09/02","12:50:33",-0.4194,30.401,33.592,NA,50662.081,1020.532,20.534,0.27,0.27,NA,NA,NA,NA,NA
"8","2021/09/02","12:50:33",-0.4194,30.4,33.588,NA,50657.48,1020.53,20.532,0.27,0.27,1.09,NA,NA,NA,NA
"9","2021/09/02","12:50:33",-0.4194,30.402,NA,NA,NA,1020.52,20.522,0.25,0.25,1.12,NA,NA,NA,NA
"10","2021/09/02","12:50:34",-0.4194,30.403,NA,NA,NA,1020.52,20.521,0.24,0.24,0.98,NA,NA,NA,NA
"11","2021/09/02","12:50:34",-0.439,30.408,NA,NA,NA,1020.517,20.519,0.24,0.24,0.94,NA,NA,NA,NA
"12","2021/09/02","12:50:34",-0.4194,30.415,NA,NA,NA,1020.515,20.517,0.24,0.24,0.97,NA,NA,NA,NA
"13","2021/09/02","12:50:34",-0.4194,30.415,33.579,NA,50643.758,1020.518,20.519,0.24,0.24,0.95,NA,NA,NA,NA
"14","2021/09/02","12:50:34",-0.4194,30.413,33.584,NA,50651.417,1020.523,20.524,0.24,0.24,0.97,NA,NA,NA,NA
"15","2021/09/02","12:50:34",-0.4194,30.412,33.587,NA,50654.672,1020.525,20.526,0.22,0.22,0.97,NA,NA,NA,NA
"16","2021/09/02","12:50:34",-0.3998,30.412,33.587,NA,50655.272,1020.525,20.527,0.23,0.23,1.01,NA,NA,7.46,NA
"17","2021/09/02","12:50:34",-0.4194,30.409,33.587,NA,50654.792,1020.526,20.528,0.24,0.24,1.05,NA,NA,7.46,NA
"18","2021/09/02","12:50:34",-0.4194,30.41,33.59,NA,50659.304,1020.528,20.53,0.24,0.24,1.08,NA,6.138,7.47,NA
"19","2021/09/02","12:50:34",-0.4194,30.412,33.591,56.693,50660.798,1020.528,20.53,0.24,0.24,1.09,98.63,6.139,7.46,NA
"20","2021/09/02","12:50:35",-0.3998,30.412,33.593,56.695,50662.276,1020.529,20.531,0.24,0.24,NA,98.62,6.138,7.47,NA
"21","2021/09/02","12:50:35",-0.4194,30.415,33.588,NA,50655.458,1020.524,20.526,0.23,0.23,1.09,98.76,6.147,7.47,NA
"22","2021/09/02","12:50:35",-0.4194,30.428,33.579,NA,NA,1020.513,20.515,0.22,0.22,1.05,98.68,6.142,7.48,NA
"23","2021/09/02","12:50:35",-0.3998,30.433,NA,56.693,NA,1020.51,20.512,0.22,0.22,1.04,98.77,6.147,7.48,NA
"24","2021/09/02","12:50:35",-0.4194,30.434,NA,56.695,NA,1020.51,20.512,0.24,0.24,1.07,98.73,6.145,7.48,NA
"25","2021/09/02","12:50:35",-0.3998,30.435,33.579,56.698,NA,1020.511,20.513,0.23,0.23,1.02,98.78,6.148,7.47,NA
"26","2021/09/02","12:50:35",-0.4194,30.432,33.584,56.702,50649.051,1020.516,20.517,0.21,0.21,1.01,98.85,6.153,7.47,NA
"27","2021/09/02","12:50:35",-0.3998,30.424,33.592,56.705,50660.016,1020.524,20.526,0.21,0.21,1.04,98.94,6.158,7.48,NA
