"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do"
"1","2021/09/02","12:33:49",-0.5372,30.022,33.354,55.936,50371.141,1020.483,20.486,0.34,0.34,1.04,99.42,6.2,NA,NA
"2","2021/09/02","12:33:49",-0.5372,30.034,33.355,55.95,50371.352,1020.48,20.482,0.34,0.34,1.04,99.33,6.194,NA,NA
"3","2021/09/02","12:33:49",-0.5372,30.037,33.352,55.948,50366.633,1020.476,20.478,0.34,0.34,1.04,99.42,6.2,NA,NA
"4","2021/09/02","12:33:49",-0.5372,30.034,33.339,55.925,50349.85,1020.468,20.47,0.39,0.39,1.08,99.38,6.198,NA,NA
"5","2021/09/02","12:33:49",NA,30.018,33.356,55.934,50373.327,1020.486,20.488,0.4,0.4,1.07,99.34,6.195,NA,NA
"6","2021/09/02","12:33:49",NA,30.01,33.376,55.957,50401.542,1020.504,20.506,0.41,0.41,1.07,99.07,6.176,NA,NA
"7","2021/09/02","12:33:49",NA,30.01,33.394,55.983,50425.357,1020.517,20.519,NA,NA,1.07,98.96,6.167,NA,NA
"8","2021/09/02","12:33:49",-0.5372,30.008,33.409,56.004,50445.935,1020.529,20.531,0.4,0.4,1.11,98.88,6.162,NA,NA
"9","2021/09/02","12:33:49",NA,30.003,33.423,56.02,50465.496,1020.541,20.544,0.38,0.38,NA,98.95,6.166,NA,NA
"10","2021/09/02","12:33:50",-0.5372,30.001,33.436,56.037,50482.087,1020.551,20.553,0.38,0.38,NA,99.02,6.169,NA,NA
"11","2021/09/02","12:33:50",NA,30.004,33.442,56.05,50490.935,1020.555,20.557,0.4,0.4,NA,99.08,6.173,7.47,NA
"12","2021/09/02","12:33:50",-0.5372,30.015,33.44,56.057,50487.193,1020.55,20.552,0.4,0.4,NA,99.12,6.175,NA,NA
"13","2021/09/02","12:33:50",-0.5372,30.028,33.427,56.051,50468.329,1020.536,20.538,0.39,0.39,1.12,99.11,6.176,7.46,NA
"14","2021/09/02","12:33:50",-0.5372,30.035,33.418,56.045,50455.667,1020.526,20.529,0.37,0.37,1.05,99.27,6.189,7.46,NA
"15","2021/09/02","12:33:50",-0.5372,30.036,33.435,56.071,50478.404,1020.539,20.541,0.37,0.37,1.02,99.26,6.193,7.47,NA
"16","2021/09/02","12:33:50",NA,30.034,33.437,56.072,50480.89,1020.541,20.543,0.37,0.37,1.04,99.4,6.204,7.47,NA
