//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=210       
StartTime=2020/09/17 09:37:52
EndTime=2020/09/17 09:38:12
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,09:37:52,-0.4194,28.315,0.028,0.046,43.068,996.164,-3.834,-0.03,-0.03,0.70,93.17,7.198,8.11,7.219,7.219,
2020/09/17,09:37:52,-0.4390,28.303,0.028,0.046,43.007,996.168,-3.830,0.05,0.05,1.54,93.13,7.196,8.12,7.216,7.216,
2020/09/17,09:37:52,-0.4587,28.290,0.028,0.046,43.158,996.171,-3.827,0.04,0.04,6.21,93.13,7.196,8.11,7.217,7.217,
2020/09/17,09:37:52,-0.4390,28.275,0.028,0.046,43.160,996.176,-3.822,-0.08,-0.08,94.24,93.10,7.194,8.14,7.215,7.215,
2020/09/17,09:37:52,-0.3998,28.354,31.541,51.598,48052.488,1019.680,19.681,-0.08,-0.08,148.63,93.16,6.041,8.15,6.058,6.059,
2020/09/17,09:37:52,-0.3998,28.540,20.389,34.976,32448.561,1011.279,11.281,0.22,0.22,33.38,92.83,6.397,8.15,6.416,6.416,
2020/09/17,09:37:52,-0.3802,28.663,35.458,57.591,53296.715,1022.519,22.520,0.28,0.28,8.44,92.49,5.858,8.14,5.874,5.875,
2020/09/17,09:37:52,-0.3409,28.731,33.881,55.382,51181.550,1021.312,21.314,0.30,0.30,2.75,92.07,5.879,8.18,5.895,5.896,
2020/09/17,09:37:52,-0.3409,28.769,33.852,55.380,51139.209,1021.278,21.279,0.31,0.31,1.32,91.79,5.860,8.17,5.877,5.878,
2020/09/17,09:37:52,-0.3409,28.792,33.835,55.379,51114.882,1021.258,21.259,0.30,0.30,0.88,91.45,5.838,8.18,5.854,5.855,
2020/09/17,09:37:53,-0.3409,28.808,33.824,55.378,51097.818,1021.244,21.245,0.31,0.31,0.78,91.23,5.824,8.20,5.840,5.841,
2020/09/17,09:37:53,-0.3409,28.818,33.816,55.378,51086.989,1021.235,21.236,0.30,0.30,0.72,91.15,5.817,8.17,5.834,5.835,
2020/09/17,09:37:53,-0.3409,28.826,33.813,55.382,51082.684,1021.230,21.231,0.30,0.30,0.67,90.95,5.804,8.19,5.821,5.822,
2020/09/17,09:37:53,-0.3409,28.832,33.812,55.386,51079.871,1021.227,21.228,0.28,0.28,0.64,90.78,5.793,8.20,5.809,5.810,
2020/09/17,09:37:53,-0.3409,28.835,33.811,55.388,51078.771,1021.225,21.227,0.29,0.29,0.63,90.59,5.780,8.20,5.796,5.797,
2020/09/17,09:37:53,-0.3409,28.836,33.810,55.387,51077.152,1021.224,21.226,0.30,0.30,0.63,90.42,5.769,8.20,5.785,5.786,
2020/09/17,09:37:53,-0.3409,28.838,33.809,55.388,51075.898,1021.223,21.224,0.30,0.30,0.61,90.25,5.757,8.20,5.773,5.774,
2020/09/17,09:37:53,-0.3409,28.840,33.809,55.390,51076.009,1021.222,21.224,0.30,0.30,0.63,90.21,5.754,8.20,5.771,5.771,
2020/09/17,09:37:53,-0.3409,28.840,33.810,55.392,51076.519,1021.222,21.224,0.31,0.31,0.64,89.99,5.740,8.23,5.757,5.757,
2020/09/17,09:37:53,-0.3409,28.841,33.812,55.396,51079.599,1021.224,21.225,0.28,0.28,0.63,89.87,5.733,8.24,5.749,5.750,
2020/09/17,09:37:54,-0.3605,28.841,33.814,55.399,51082.454,1021.225,21.227,0.28,0.28,0.60,89.87,5.733,8.24,5.749,5.750,
2020/09/17,09:37:54,-0.3605,28.840,33.814,55.397,51082.253,1021.226,21.227,0.28,0.28,0.65,89.77,5.726,8.25,5.743,5.743,
2020/09/17,09:37:54,-0.3409,28.841,33.814,55.398,51081.938,1021.225,21.227,0.27,0.27,0.60,89.83,5.730,8.23,5.746,5.747,
2020/09/17,09:37:54,-0.3409,28.844,33.810,55.396,51076.538,1021.221,21.223,0.27,0.27,0.55,89.80,5.728,8.24,5.744,5.745,
2020/09/17,09:37:54,-0.3409,28.849,33.807,55.396,51071.887,1021.217,21.219,0.28,0.28,0.61,89.63,5.717,8.24,5.733,5.734,
2020/09/17,09:37:54,-0.3409,28.851,33.801,55.390,51064.158,1021.212,21.214,0.30,0.30,0.78,89.55,5.712,8.26,5.728,5.729,
2020/09/17,09:37:54,-0.3605,28.853,33.801,55.391,51062.991,1021.211,21.213,0.29,0.29,0.71,89.47,5.707,8.26,5.723,5.724,
2020/09/17,09:37:54,-0.3409,28.853,33.801,55.393,51063.888,1021.212,21.213,0.27,0.27,0.67,89.52,5.710,8.26,5.726,5.726,
2020/09/17,09:37:54,-0.3409,28.851,33.806,55.397,51070.476,1021.216,21.217,0.28,0.28,0.63,89.47,5.707,8.26,5.723,5.723,
2020/09/17,09:37:54,-0.3409,28.848,33.807,55.396,51072.670,1021.218,21.219,0.28,0.28,0.55,89.38,5.700,8.25,5.716,5.717,
2020/09/17,09:37:55,-0.3409,28.848,33.808,55.398,51073.829,1021.219,21.220,0.27,0.27,0.54,89.29,5.694,8.25,5.710,5.711,
2020/09/17,09:37:55,-0.3409,28.848,33.810,55.400,51076.317,1021.220,21.222,0.28,0.28,0.58,89.16,5.686,8.25,5.702,5.703,
2020/09/17,09:37:55,-0.3409,28.845,33.812,55.400,51078.999,1021.222,21.224,0.28,0.28,0.87,89.13,5.684,8.26,5.700,5.700,
2020/09/17,09:37:55,-0.3605,28.844,33.814,55.401,51081.689,1021.224,21.226,0.27,0.27,1.34,89.13,5.684,8.27,5.700,5.701,
2020/09/17,09:37:55,-0.3605,28.845,33.817,55.407,51085.291,1021.226,21.227,0.27,0.27,0.85,89.13,5.684,8.26,5.700,5.701,
2020/09/17,09:37:55,-0.3605,28.845,33.817,55.407,51085.713,1021.226,21.227,0.27,0.27,0.63,89.11,5.683,8.27,5.699,5.700,
2020/09/17,09:37:55,-0.3409,28.846,33.816,55.406,51084.163,1021.225,21.227,0.27,0.27,0.58,89.07,5.680,8.28,5.695,5.696,
2020/09/17,09:37:55,-0.3605,28.846,33.816,55.407,51084.217,1021.225,21.226,0.26,0.26,0.54,88.88,5.668,8.27,5.684,5.685,
2020/09/17,09:37:55,-0.3409,28.845,33.815,55.404,51083.608,1021.225,21.227,0.24,0.24,0.54,88.85,5.665,8.27,5.681,5.682,
2020/09/17,09:37:55,-0.3409,28.846,33.817,55.407,51085.342,1021.226,21.227,0.27,0.27,0.53,88.86,5.666,8.28,5.682,5.683,
2020/09/17,09:37:56,-0.3409,28.846,33.815,55.405,51082.918,1021.224,21.226,0.27,0.27,0.55,88.93,5.671,8.27,5.687,5.688,
2020/09/17,09:37:56,-0.3409,28.847,33.814,55.404,51081.083,1021.223,21.224,0.25,0.25,0.54,88.89,5.668,8.29,5.684,5.685,
2020/09/17,09:37:56,-0.3409,28.847,33.814,55.406,51082.190,1021.223,21.225,0.25,0.25,0.53,88.79,5.662,8.29,5.678,5.679,
2020/09/17,09:37:56,-0.3409,28.847,33.815,55.406,51082.277,1021.224,21.225,0.27,0.27,0.50,88.81,5.663,8.29,5.679,5.680,
2020/09/17,09:37:56,-0.3409,28.846,33.817,55.408,51085.697,1021.226,21.227,0.26,0.26,0.50,88.72,5.658,8.29,5.674,5.674,
2020/09/17,09:37:56,-0.3409,28.846,33.819,55.411,51089.042,1021.228,21.229,0.26,0.26,0.51,88.69,5.656,8.29,5.671,5.672,
2020/09/17,09:37:56,-0.3409,28.846,33.821,55.413,51090.425,1021.229,21.230,0.26,0.26,0.53,88.68,5.654,8.29,5.670,5.671,
2020/09/17,09:37:56,-0.3213,28.847,33.821,55.415,51091.230,1021.229,21.230,0.25,0.25,0.53,88.60,5.650,8.27,5.665,5.666,
2020/09/17,09:37:56,-0.3409,28.845,33.823,55.415,51093.246,1021.230,21.232,0.26,0.26,0.51,88.67,5.654,8.27,5.670,5.670,
2020/09/17,09:37:56,-0.3409,28.846,33.821,55.415,51091.532,1021.229,21.231,0.25,0.25,0.50,88.58,5.648,8.28,5.664,5.665,
2020/09/17,09:37:57,-0.3409,28.847,33.821,55.415,51091.169,1021.229,21.230,0.27,0.27,0.54,88.55,5.647,8.28,5.662,5.663,
2020/09/17,09:37:57,-0.3409,28.845,33.822,55.415,51092.629,1021.230,21.231,0.26,0.26,0.55,88.55,5.646,8.27,5.662,5.663,
2020/09/17,09:37:57,-0.3409,28.848,33.820,55.414,51089.174,1021.227,21.229,0.25,0.25,0.61,88.49,5.643,8.29,5.659,5.659,
2020/09/17,09:37:57,-0.3409,28.850,33.816,55.412,51084.231,1021.224,21.225,0.25,0.25,0.74,88.51,5.644,8.28,5.660,5.661,
2020/09/17,09:37:57,-0.3409,28.853,33.814,55.411,51081.301,1021.221,21.223,0.25,0.25,0.82,88.49,5.643,8.30,5.659,5.660,
2020/09/17,09:37:57,-0.3409,28.853,33.816,55.414,51084.049,1021.223,21.224,0.28,0.28,0.68,88.40,5.637,8.27,5.653,5.654,
2020/09/17,09:37:57,-0.3409,28.854,33.816,55.415,51083.461,1021.222,21.224,0.25,0.25,0.63,88.39,5.637,8.28,5.653,5.654,
2020/09/17,09:37:57,-0.3409,28.854,33.816,55.415,51083.065,1021.222,21.223,0.25,0.25,0.57,88.36,5.635,8.30,5.651,5.652,
2020/09/17,09:37:57,-0.3409,28.852,33.818,55.416,51085.984,1021.224,21.226,0.25,0.25,0.53,88.41,5.638,8.30,5.654,5.655,
2020/09/17,09:37:57,-0.3409,28.851,33.819,55.417,51087.872,1021.225,21.227,0.26,0.26,0.47,88.36,5.634,8.29,5.650,5.651,
2020/09/17,09:37:58,-0.3409,28.851,33.819,55.416,51087.394,1021.225,21.227,0.31,0.31,0.55,88.25,5.627,8.29,5.643,5.644,
2020/09/17,09:37:58,-0.3409,28.849,33.819,55.414,51087.612,1021.226,21.227,0.28,0.28,0.63,88.18,5.623,8.30,5.639,5.640,
2020/09/17,09:37:58,-0.3409,28.848,33.819,55.413,51088.669,1021.227,21.228,0.25,0.25,0.50,88.10,5.618,8.30,5.634,5.635,
2020/09/17,09:37:58,-0.3409,28.848,33.821,55.415,51090.337,1021.228,21.229,0.25,0.25,0.48,88.17,5.623,8.29,5.638,5.639,
2020/09/17,09:37:58,-0.3409,28.847,33.825,55.421,51096.054,1021.231,21.233,0.25,0.25,0.50,88.18,5.623,8.29,5.639,5.640,
2020/09/17,09:37:58,-0.3409,28.847,33.827,55.423,51098.771,1021.233,21.234,0.26,0.26,0.47,88.21,5.625,8.29,5.641,5.642,
2020/09/17,09:37:58,-0.3409,28.847,33.827,55.423,51098.542,1021.233,21.234,0.26,0.26,0.48,88.26,5.628,8.30,5.644,5.645,
2020/09/17,09:37:58,-0.3409,28.846,33.828,55.424,51100.289,1021.234,21.235,0.26,0.26,0.51,88.22,5.625,8.30,5.641,5.642,
2020/09/17,09:37:58,-0.3409,28.847,33.826,55.422,51097.733,1021.232,21.234,0.25,0.25,0.50,88.11,5.619,8.29,5.634,5.635,
2020/09/17,09:37:58,-0.3409,28.845,33.827,55.421,51099.029,1021.234,21.235,0.24,0.24,0.51,88.10,5.618,8.29,5.634,5.635,
2020/09/17,09:37:59,-0.3409,28.844,33.825,55.418,51097.052,1021.233,21.234,0.26,0.26,0.58,88.21,5.625,8.30,5.641,5.642,
2020/09/17,09:37:59,-0.3605,28.843,33.825,55.417,51096.202,1021.232,21.234,0.31,0.31,0.87,88.11,5.619,8.30,5.635,5.636,
2020/09/17,09:37:59,-0.3409,28.843,33.823,55.414,51094.049,1021.231,21.233,0.38,0.38,1.38,88.13,5.620,8.30,5.636,5.637,
2020/09/17,09:37:59,-0.3409,28.842,33.823,55.413,51094.425,1021.232,21.233,0.41,0.41,0.91,88.06,5.616,8.30,5.632,5.633,
2020/09/17,09:37:59,-0.3409,28.842,33.822,55.412,51093.142,1021.231,21.233,0.34,0.34,0.63,88.06,5.615,8.30,5.631,5.632,
2020/09/17,09:37:59,-0.3409,28.841,33.821,55.409,51091.606,1021.230,21.232,0.28,0.28,0.57,88.05,5.616,8.29,5.631,5.632,
2020/09/17,09:37:59,-0.3409,28.841,33.820,55.407,51089.681,1021.229,21.231,0.26,0.26,0.50,88.08,5.617,8.29,5.632,5.633,
2020/09/17,09:37:59,-0.3409,28.844,33.819,55.409,51088.140,1021.228,21.229,0.25,0.25,0.48,87.99,5.611,8.30,5.627,5.628,
2020/09/17,09:37:59,-0.3409,28.844,33.819,55.409,51088.446,1021.228,21.229,0.24,0.24,0.47,87.87,5.603,8.29,5.619,5.620,
2020/09/17,09:37:59,-0.3409,28.845,33.820,55.412,51090.242,1021.229,21.230,0.24,0.24,0.48,87.87,5.604,8.30,5.619,5.620,
2020/09/17,09:38:00,-0.3409,28.845,33.822,55.415,51092.993,1021.230,21.232,0.24,0.24,0.53,87.81,5.600,8.29,5.615,5.616,
2020/09/17,09:38:00,-0.3605,28.844,33.824,55.415,51094.754,1021.232,21.233,0.25,0.25,0.50,87.75,5.596,8.29,5.612,5.612,
2020/09/17,09:38:00,-0.3409,28.844,33.824,55.417,51095.316,1021.232,21.233,0.25,0.25,0.45,87.85,5.602,8.30,5.618,5.618,
2020/09/17,09:38:00,-0.3409,28.845,33.824,55.417,51095.426,1021.232,21.233,0.25,0.25,0.47,87.92,5.606,8.31,5.622,5.623,
2020/09/17,09:38:00,-0.3605,28.845,33.822,55.415,51092.836,1021.230,21.232,0.24,0.24,0.47,87.79,5.598,8.31,5.614,5.615,
2020/09/17,09:38:00,-0.3409,28.846,33.822,55.415,51092.506,1021.230,21.231,0.23,0.23,0.50,87.70,5.592,8.30,5.608,5.609,
2020/09/17,09:38:00,-0.3409,28.846,33.821,55.414,51090.799,1021.229,21.230,0.23,0.23,0.50,87.76,5.596,8.28,5.612,5.613,
2020/09/17,09:38:00,-0.3409,28.846,33.824,55.417,51094.472,1021.231,21.232,0.24,0.24,0.45,87.74,5.595,8.29,5.610,5.611,
2020/09/17,09:38:00,-0.3409,28.846,33.824,55.419,51095.490,1021.231,21.233,0.25,0.25,0.45,87.71,5.593,8.30,5.609,5.609,
2020/09/17,09:38:00,-0.3605,28.846,33.824,55.419,51094.854,1021.231,21.232,0.25,0.25,0.47,87.69,5.591,8.29,5.607,5.608,
2020/09/17,09:38:01,-0.3409,28.846,33.825,55.420,51095.945,1021.232,21.233,0.24,0.24,0.50,87.71,5.593,8.30,5.609,5.609,
2020/09/17,09:38:01,-0.3409,28.848,33.824,55.421,51095.471,1021.231,21.232,0.23,0.23,0.50,87.61,5.587,8.30,5.602,5.603,
2020/09/17,09:38:01,-0.3605,28.849,33.825,55.423,51096.468,1021.231,21.233,0.22,0.22,0.48,87.63,5.588,8.31,5.604,5.605,
2020/09/17,09:38:01,-0.3409,28.848,33.824,55.420,51094.369,1021.230,21.231,0.24,0.24,0.47,87.68,5.591,8.28,5.607,5.607,
2020/09/17,09:38:01,-0.3409,28.850,33.822,55.420,51092.713,1021.229,21.230,0.27,0.27,0.47,87.58,5.585,8.29,5.600,5.601,
2020/09/17,09:38:01,-0.3409,28.850,33.821,55.418,51090.708,1021.228,21.229,0.27,0.27,0.45,87.58,5.585,8.31,5.600,5.601,
2020/09/17,09:38:01,-0.3409,28.850,33.821,55.418,51091.157,1021.228,21.229,0.24,0.24,0.43,87.52,5.581,8.28,5.596,5.597,
2020/09/17,09:38:01,-0.3409,28.850,33.817,55.412,51084.790,1021.224,21.226,0.24,0.24,0.51,87.51,5.580,8.31,5.596,5.597,
2020/09/17,09:38:01,-0.3605,28.854,33.811,55.408,51077.173,1021.219,21.220,0.24,0.24,0.74,87.54,5.582,8.31,5.598,5.599,
2020/09/17,09:38:01,-0.3605,28.862,33.805,55.407,51067.999,1021.211,21.213,0.28,0.28,0.58,87.48,5.579,8.29,5.595,5.595,
2020/09/17,09:38:02,-0.3409,28.864,33.806,55.411,51069.508,1021.212,21.213,0.80,0.80,0.84,87.42,5.576,8.31,5.591,5.592,
2020/09/17,09:38:02,-0.3409,28.861,33.809,55.412,51073.578,1021.215,21.216,1.26,1.26,1.02,87.42,5.575,8.30,5.591,5.592,
2020/09/17,09:38:02,-0.3409,28.857,33.812,55.413,51078.488,1021.219,21.220,0.68,0.68,0.95,87.48,5.579,8.30,5.594,5.595,
2020/09/17,09:38:02,-0.3409,28.856,33.814,55.414,51080.771,1021.220,21.222,0.37,0.37,0.97,87.43,5.575,8.30,5.591,5.592,
2020/09/17,09:38:02,-0.3409,28.853,33.817,55.415,51084.531,1021.223,21.225,0.31,0.31,0.98,87.47,5.578,8.29,5.593,5.594,
2020/09/17,09:38:02,-0.3409,28.851,33.819,55.416,51087.423,1021.225,21.227,0.27,0.27,0.64,87.47,5.578,8.30,5.594,5.595,
2020/09/17,09:38:02,-0.3409,28.850,33.817,55.413,51085.749,1021.225,21.226,0.26,0.26,0.50,87.40,5.573,8.30,5.589,5.590,
2020/09/17,09:38:02,-0.3409,28.850,33.818,55.413,51086.584,1021.225,21.227,0.26,0.26,0.45,87.38,5.572,8.28,5.588,5.589,
2020/09/17,09:38:02,-0.3605,28.850,33.817,55.412,51085.413,1021.225,21.226,0.25,0.25,0.45,87.37,5.571,8.32,5.587,5.588,
2020/09/17,09:38:02,-0.3409,28.850,33.820,55.416,51088.820,1021.227,21.228,0.24,0.24,0.50,87.38,5.572,8.30,5.588,5.589,
2020/09/17,09:38:03,-0.3409,28.851,33.822,55.422,51092.339,1021.228,21.229,0.24,0.24,0.53,87.29,5.566,8.33,5.582,5.583,
2020/09/17,09:38:03,-0.3409,28.852,33.820,55.419,51089.828,1021.226,21.228,0.22,0.22,0.53,87.21,5.561,8.29,5.577,5.577,
2020/09/17,09:38:03,-0.3605,28.853,33.821,55.422,51091.020,1021.227,21.228,0.23,0.23,0.50,87.17,5.559,8.29,5.574,5.575,
2020/09/17,09:38:03,-0.3409,28.855,33.818,55.419,51086.925,1021.224,21.225,0.23,0.23,0.44,87.21,5.561,8.28,5.577,5.578,
2020/09/17,09:38:03,-0.3409,28.854,33.819,55.419,51087.701,1021.225,21.226,0.23,0.23,0.43,87.34,5.569,8.30,5.585,5.586,
2020/09/17,09:38:03,-0.3409,28.854,33.817,55.417,51085.452,1021.224,21.225,0.24,0.24,0.44,87.30,5.567,8.31,5.582,5.583,
2020/09/17,09:38:03,-0.3605,28.854,33.816,55.414,51083.312,1021.222,21.224,0.22,0.22,0.44,87.34,5.569,8.31,5.585,5.586,
2020/09/17,09:38:03,-0.3409,28.854,33.812,55.410,51078.613,1021.219,21.221,0.22,0.22,0.44,87.23,5.563,8.31,5.578,5.579,
2020/09/17,09:38:03,-0.3409,28.854,33.813,55.411,51080.359,1021.221,21.222,0.24,0.24,0.44,87.30,5.567,8.30,5.583,5.583,
2020/09/17,09:38:03,-0.3409,28.854,33.814,55.412,51081.056,1021.221,21.222,0.23,0.23,0.44,87.20,5.560,8.30,5.576,5.577,
2020/09/17,09:38:04,-0.3409,28.853,33.817,55.415,51084.900,1021.223,21.225,0.23,0.23,0.45,87.22,5.561,8.30,5.577,5.578,
2020/09/17,09:38:04,-0.3409,28.854,33.816,55.415,51084.063,1021.223,21.224,0.22,0.22,0.44,87.22,5.562,8.31,5.577,5.578,
2020/09/17,09:38:04,-0.3605,28.853,33.817,55.415,51084.593,1021.223,21.225,0.22,0.22,0.44,87.25,5.563,8.31,5.579,5.580,
2020/09/17,09:38:04,-0.3409,28.854,33.816,55.415,51083.899,1021.223,21.224,0.22,0.22,0.45,87.19,5.560,8.31,5.575,5.576,
2020/09/17,09:38:04,-0.3605,28.855,33.817,55.417,51084.536,1021.223,21.224,0.24,0.24,0.45,87.12,5.555,8.31,5.571,5.572,
2020/09/17,09:38:04,-0.3605,28.856,33.817,55.418,51084.354,1021.222,21.224,0.23,0.23,0.44,87.12,5.555,8.28,5.571,5.572,
2020/09/17,09:38:04,-0.3409,28.856,33.817,55.419,51085.157,1021.223,21.224,0.22,0.22,0.43,87.09,5.553,8.31,5.569,5.570,
