//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=170       
StartTime=2020/09/17 11:27:19
EndTime=2020/09/17 11:27:35
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,11:27:19,-0.4194,29.154,0.028,0.046,42.078,995.920,-4.078,0.07,0.07,0.37,94.54,7.057,8.09,7.077,7.077,
2020/09/17,11:27:19,-0.4587,29.159,0.028,0.046,42.286,995.919,-4.079,0.07,0.07,0.37,94.59,7.060,8.12,7.081,7.081,
2020/09/17,11:27:19,-0.4390,29.151,0.028,0.046,42.418,995.921,-4.077,0.06,0.06,0.36,94.58,7.060,8.12,7.081,7.081,
2020/09/17,11:27:19,-0.4587,29.140,0.028,0.046,42.427,995.924,-4.074,0.06,0.06,0.36,94.57,7.059,8.13,7.080,7.080,
2020/09/17,11:27:19,-0.4390,29.127,0.028,0.046,42.501,995.928,-4.070,0.06,0.06,0.34,94.54,7.057,8.13,7.078,7.078,
2020/09/17,11:27:19,-0.4390,29.124,0.028,0.047,42.848,995.929,-4.069,0.06,0.06,0.34,94.58,7.061,8.15,7.081,7.081,
2020/09/17,11:27:19,-0.4390,29.130,0.028,0.046,42.376,995.927,-4.071,0.05,0.05,0.34,94.63,7.064,8.14,7.085,7.085,
2020/09/17,11:27:19,-0.4390,29.131,0.028,0.046,42.075,995.927,-4.071,0.05,0.05,0.34,94.57,7.060,8.17,7.080,7.080,
2020/09/17,11:27:19,-0.4390,29.126,0.028,0.046,42.455,995.929,-4.069,0.05,0.05,0.33,94.47,7.052,8.15,7.073,7.073,
2020/09/17,11:27:19,-0.4587,29.122,0.028,0.046,42.595,995.930,-4.068,0.05,0.05,0.33,94.37,7.045,8.17,7.065,7.065,
2020/09/17,11:27:20,-0.4587,29.117,0.028,0.047,42.711,995.931,-4.067,0.05,0.05,0.33,94.38,7.046,8.18,7.066,7.066,
2020/09/17,11:27:20,-0.4587,29.118,0.028,0.046,42.517,995.931,-4.067,0.05,0.05,0.33,94.32,7.041,8.18,7.061,7.061,
2020/09/17,11:27:20,-0.4390,29.118,0.028,0.046,42.524,995.931,-4.067,0.05,0.05,0.31,94.27,7.038,8.20,7.058,7.058,
2020/09/17,11:27:20,-0.4390,29.123,0.028,0.046,42.422,995.929,-4.069,0.05,0.05,0.31,94.33,7.042,8.21,7.063,7.063,
2020/09/17,11:27:20,-0.4390,29.138,0.028,0.046,42.439,995.925,-4.073,-1.53,-1.53,2.92,94.17,7.031,8.19,7.052,7.052,
2020/09/17,11:27:20,-0.4390,29.160,0.028,0.046,42.325,995.919,-4.079,-0.51,-0.51,253.46,94.02,7.021,8.22,7.041,7.041,
