//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2020/09/17 11:50:22
EndTime=2020/09/17 11:50:36
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,11:50:22,-0.4194,28.794,0.028,0.047,43.051,996.026,-3.972,0.87,0.87,8.93,92.49,6.908,8.12,6.928,6.928,
2020/09/17,11:50:22,-0.4390,28.793,0.028,0.046,42.859,996.026,-3.972,-0.02,-0.02,6.25,92.44,6.904,8.12,6.923,6.923,
2020/09/17,11:50:22,-0.4587,28.788,0.028,0.047,43.115,996.028,-3.970,-0.41,-0.41,10.83,92.38,6.901,8.13,6.920,6.920,
2020/09/17,11:50:22,-0.4587,28.789,0.028,0.047,43.175,996.027,-3.971,-0.15,-0.15,13.80,92.47,6.907,8.14,6.927,6.927,
2020/09/17,11:50:22,-0.4390,28.791,0.028,0.047,43.136,996.027,-3.971,0.57,0.57,14.22,92.56,6.914,8.16,6.933,6.933,
2020/09/17,11:50:22,-0.4587,28.798,0.028,0.047,43.061,996.025,-3.973,-0.14,-0.14,11.82,92.54,6.912,8.16,6.932,6.932,
2020/09/17,11:50:22,-0.4587,28.817,0.028,0.046,42.883,996.019,-3.979,0.02,0.02,6.14,92.59,6.916,8.14,6.936,6.936,
2020/09/17,11:50:22,-0.4390,28.836,0.028,0.047,42.984,996.013,-3.985,1.68,1.68,3.80,92.61,6.919,8.19,6.938,6.939,
2020/09/17,11:50:22,-0.4587,28.857,0.028,0.047,42.896,996.007,-3.991,0.80,0.80,4.53,92.66,6.922,8.18,6.942,6.942,
2020/09/17,11:50:22,-0.4587,28.878,0.028,0.046,42.742,996.001,-3.997,-0.09,-0.09,4.27,92.61,6.918,8.18,6.938,6.938,
2020/09/17,11:50:23,-0.4587,28.891,0.028,0.046,42.814,995.998,-4.000,0.19,0.19,5.65,92.60,6.919,8.19,6.938,6.939,
2020/09/17,11:50:23,-0.4390,28.906,0.028,0.047,42.893,995.993,-4.005,0.56,0.56,76.68,92.68,6.926,8.21,6.946,6.946,
2020/09/17,11:50:23,-0.4587,28.997,0.028,0.047,42.754,995.966,-4.032,0.16,0.16,259.12,92.91,6.944,8.21,6.964,6.965,
2020/09/17,11:50:23,-0.3998,29.477,31.814,53.095,48335.189,1019.514,19.516,0.61,0.61,58.50,93.10,5.850,8.19,5.866,5.867,
2020/09/17,11:50:23,-0.3998,29.882,26.331,45.167,40786.750,1015.280,15.282,0.77,0.77,16.32,93.24,6.038,8.20,6.055,6.055,
2020/09/17,11:50:23,-0.3409,30.150,34.495,57.768,51888.781,1021.295,21.296,0.80,0.80,6.64,93.34,5.778,8.24,5.794,5.795,
