//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/09/17 13:26:56
EndTime=2020/09/17 13:27:09
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,13:26:56,-0.4194,30.307,0.028,0.046,41.485,995.575,-4.423,0.20,0.20,135.24,96.25,7.235,8.09,7.256,7.256,
2020/09/17,13:26:56,-0.4390,30.271,0.028,0.046,41.646,995.586,-4.412,-0.50,-0.50,653.44,95.58,7.185,8.08,7.206,7.206,
2020/09/17,13:26:56,-0.4390,30.083,0.046,0.094,84.520,995.657,-4.341,0.47,0.47,157.93,94.44,7.115,8.11,7.135,7.136,
2020/09/17,13:26:56,-0.3802,29.987,25.303,43.664,39347.283,1014.478,14.480,0.70,0.70,39.93,94.71,6.222,8.13,6.240,6.240,
2020/09/17,13:26:56,-0.3213,29.935,34.437,57.454,51827.259,1021.325,21.326,0.72,0.72,11.91,95.18,5.949,8.15,5.966,5.967,
2020/09/17,13:26:56,-0.3213,29.908,33.894,56.621,51102.971,1020.927,20.928,0.75,0.75,4.90,95.45,5.985,8.14,6.002,6.003,
2020/09/17,13:26:56,-0.3409,29.894,33.913,56.635,51129.815,1020.946,20.947,0.73,0.73,3.03,95.74,6.004,8.15,6.021,6.022,
2020/09/17,13:26:56,-0.3213,29.884,33.930,56.650,51153.370,1020.962,20.963,0.70,0.70,2.38,96.14,6.029,8.16,6.046,6.047,
2020/09/17,13:26:56,-0.3213,29.878,33.935,56.651,51160.606,1020.968,20.969,0.65,0.65,2.13,96.34,6.043,8.17,6.059,6.060,
2020/09/17,13:26:56,-0.3213,29.878,33.932,56.647,51157.352,1020.966,20.968,0.67,0.67,2.01,96.58,6.059,8.16,6.076,6.077,
2020/09/17,13:26:57,-0.3213,29.879,33.940,56.659,51167.191,1020.971,20.973,0.73,0.73,1.93,96.77,6.071,8.16,6.088,6.088,
2020/09/17,13:26:57,-0.3409,29.881,33.950,56.676,51180.722,1020.978,20.980,0.77,0.77,1.81,96.97,6.082,8.18,6.099,6.100,
2020/09/17,13:26:57,-0.3213,29.880,33.954,56.682,51186.289,1020.982,20.983,0.75,0.75,1.98,97.18,6.093,8.20,6.110,6.111,
2020/09/17,13:26:57,-0.3213,29.880,33.960,56.691,51194.005,1020.986,20.987,0.70,0.70,2.12,97.33,6.101,8.19,6.118,6.118,
2020/09/17,13:26:57,-0.3213,29.876,33.968,56.698,51205.338,1020.994,20.995,0.71,0.71,1.95,97.38,6.101,8.20,6.118,6.119,
2020/09/17,13:26:57,-0.3409,29.869,33.976,56.702,51215.871,1021.002,21.003,0.68,0.68,2.12,97.56,6.110,8.20,6.127,6.128,
