//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/09/17 14:04:43
EndTime=2020/09/17 14:04:55
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,14:04:43,-0.2624,29.873,26.055,44.734,40402.844,1015.077,15.078,0.83,0.83,60.56,92.73,6.039,8.08,6.056,6.056,
2020/09/17,14:04:43,-0.3016,30.075,21.714,38.103,34276.496,1011.776,11.777,0.90,0.90,16.25,93.05,6.194,8.10,6.212,6.212,
2020/09/17,14:04:43,-0.2820,30.192,29.015,49.554,44473.618,1017.181,17.182,0.90,0.90,5.95,93.30,5.960,8.11,5.977,5.977,
2020/09/17,14:04:43,-0.2624,30.353,27.872,47.945,42893.333,1016.274,16.275,0.90,0.90,3.49,93.57,6.011,8.11,6.028,6.028,
2020/09/17,14:04:43,-0.2624,30.466,27.818,47.960,42811.692,1016.195,16.196,0.90,0.90,2.77,93.75,6.021,8.13,6.038,6.038,
2020/09/17,14:04:43,-0.2624,30.531,27.794,47.981,42775.794,1016.156,16.157,0.93,0.93,2.56,94.01,6.036,8.14,6.053,6.053,
2020/09/17,14:04:43,-0.2624,30.570,27.778,47.989,42750.942,1016.130,16.132,0.95,0.95,2.49,94.20,6.047,8.15,6.064,6.064,
2020/09/17,14:04:43,-0.2624,30.614,27.756,47.994,42717.707,1016.099,16.100,0.93,0.93,2.45,94.39,6.059,8.15,6.076,6.076,
2020/09/17,14:04:43,-0.2624,30.619,27.755,47.998,42717.059,1016.097,16.098,0.93,0.93,2.49,94.51,6.066,8.16,6.083,6.083,
2020/09/17,14:04:43,-0.2428,30.598,27.768,47.999,42735.893,1016.114,16.115,0.95,0.95,2.55,94.75,6.081,8.18,6.098,6.098,
2020/09/17,14:04:44,-0.2624,30.599,27.771,48.005,42740.300,1016.116,16.117,0.96,0.96,2.56,94.85,6.085,8.17,6.102,6.103,
2020/09/17,14:04:44,-0.2624,30.604,27.769,48.006,42736.929,1016.112,16.113,0.98,0.98,2.55,95.03,6.096,8.16,6.113,6.113,
2020/09/17,14:04:44,-0.2624,30.614,27.761,48.002,42725.538,1016.103,16.104,0.99,0.99,2.46,94.99,6.093,8.18,6.110,6.110,
2020/09/17,14:04:44,-0.2624,30.619,27.760,48.005,42723.545,1016.101,16.102,0.97,0.97,2.42,95.04,6.095,8.18,6.112,6.112,
2020/09/17,14:04:44,-0.2624,30.621,27.761,48.008,42725.085,1016.101,16.102,0.95,0.95,2.40,95.12,6.099,8.19,6.116,6.117,
2020/09/17,14:04:44,-0.2624,30.622,27.762,48.010,42725.644,1016.101,16.102,0.97,0.97,2.39,95.30,6.110,8.18,6.127,6.127,
