//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/09/17 15:23:06
EndTime=2020/09/17 15:23:17
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,15:23:06,-0.2035,31.106,33.125,56.701,49986.735,1019.940,19.941,0.41,0.41,1.68,98.02,6.062,8.11,6.077,6.078,
2020/09/17,15:23:06,-0.2231,31.101,33.131,56.707,49996.120,1019.947,19.948,0.39,0.39,1.62,98.11,6.067,8.09,6.083,6.084,
2020/09/17,15:23:06,-0.2231,31.103,33.130,56.706,49994.370,1019.945,19.946,0.38,0.38,1.51,98.10,6.066,8.10,6.082,6.083,
2020/09/17,15:23:06,-0.2231,31.104,33.130,56.707,49993.644,1019.945,19.946,0.40,0.40,1.45,98.27,6.075,8.11,6.091,6.092,
2020/09/17,15:23:06,-0.2231,31.107,33.133,56.716,49998.437,1019.946,19.947,0.41,0.41,1.42,98.17,6.067,8.11,6.083,6.084,
2020/09/17,15:23:06,-0.2231,31.109,33.133,56.717,49997.806,1019.945,19.946,0.39,0.39,1.35,98.24,6.070,8.13,6.086,6.087,
2020/09/17,15:23:06,-0.2231,31.110,33.134,56.721,49999.376,1019.946,19.947,0.38,0.38,1.29,98.26,6.071,8.13,6.087,6.088,
2020/09/17,15:23:06,-0.2231,31.113,33.138,56.730,50004.754,1019.948,19.949,0.37,0.37,1.25,98.40,6.079,8.14,6.095,6.096,
2020/09/17,15:23:06,-0.2428,31.115,33.138,56.731,50004.634,1019.947,19.948,0.38,0.38,1.24,98.52,6.086,8.15,6.102,6.103,
2020/09/17,15:23:06,-0.2231,31.114,33.141,56.734,50007.821,1019.949,19.950,0.37,0.37,1.22,98.48,6.084,8.17,6.100,6.101,
2020/09/17,15:23:07,-0.2231,31.110,33.147,56.739,50016.513,1019.956,19.957,0.38,0.38,1.27,98.45,6.083,8.17,6.098,6.099,
2020/09/17,15:23:07,-0.2231,31.105,33.155,56.747,50027.122,1019.963,19.964,0.38,0.38,1.25,98.41,6.080,8.18,6.096,6.097,
2020/09/17,15:23:07,-0.2231,31.101,33.162,56.754,50037.327,1019.970,19.971,0.38,0.38,1.25,98.44,6.081,8.18,6.097,6.097,
2020/09/17,15:23:07,-0.2231,31.096,33.167,56.756,50044.454,1019.975,19.976,0.37,0.37,1.21,98.50,6.084,8.18,6.100,6.101,
2020/09/17,15:23:07,-0.2428,31.093,33.172,56.761,50051.949,1019.981,19.982,0.40,0.40,1.19,98.51,6.084,8.19,6.100,6.100,
2020/09/17,15:23:07,-0.2231,31.090,33.167,56.750,50044.622,1019.977,19.978,0.39,0.39,1.22,98.40,6.077,8.19,6.093,6.094,
2020/09/17,15:23:07,-0.2231,31.091,33.167,56.750,50044.728,1019.977,19.978,0.37,0.37,1.38,98.42,6.078,8.19,6.094,6.095,
2020/09/17,15:23:07,-0.2231,31.091,33.169,56.755,50047.920,1019.979,19.980,0.34,0.34,1.29,98.50,6.083,8.20,6.099,6.099,
2020/09/17,15:23:07,-0.2428,31.091,33.174,56.762,50054.470,1019.982,19.984,0.36,0.36,1.15,98.51,6.082,8.20,6.098,6.099,
2020/09/17,15:23:07,-0.2231,31.090,33.175,56.763,50055.981,1019.984,19.985,0.36,0.36,1.11,98.61,6.088,8.20,6.104,6.105,
2020/09/17,15:23:08,-0.2428,31.088,33.178,56.765,50060.263,1019.987,19.988,0.35,0.35,1.07,98.61,6.087,8.19,6.103,6.104,
2020/09/17,15:23:08,-0.2231,31.085,33.177,56.760,50058.247,1019.986,19.987,0.34,0.34,1.08,98.77,6.097,8.20,6.113,6.113,
2020/09/17,15:23:08,-0.2231,31.083,33.176,56.757,50057.763,1019.987,19.988,0.34,0.34,1.22,98.63,6.088,8.22,6.103,6.104,
2020/09/17,15:23:08,-0.2231,31.082,33.180,56.761,50062.251,1019.990,19.991,0.34,0.34,1.28,98.55,6.083,8.24,6.098,6.099,
2020/09/17,15:23:08,-0.2428,31.080,33.182,56.763,50065.294,1019.992,19.993,0.34,0.34,1.08,98.48,6.078,8.22,6.094,6.094,
2020/09/17,15:23:08,-0.2428,31.082,33.190,56.777,50076.791,1019.998,19.999,0.38,0.38,0.98,98.45,6.076,8.22,6.092,6.093,
2020/09/17,15:23:08,-0.2428,31.084,33.204,56.800,50095.367,1020.008,20.009,0.37,0.37,1.00,98.48,6.077,8.22,6.093,6.094,
2020/09/17,15:23:08,-0.2231,31.089,33.192,56.787,50078.055,1019.996,19.997,0.34,0.34,1.01,98.53,6.081,8.24,6.097,6.098,
2020/09/17,15:23:08,-0.2231,31.095,33.180,56.774,50061.421,1019.985,19.986,0.34,0.34,1.00,98.62,6.086,8.23,6.102,6.103,
2020/09/17,15:23:08,-0.2231,31.100,33.172,56.768,50051.245,1019.978,19.979,0.36,0.36,1.08,98.72,6.093,8.23,6.109,6.110,
2020/09/17,15:23:09,-0.2428,31.105,33.166,56.763,50041.946,1019.971,19.972,0.38,0.38,1.44,98.72,6.094,8.22,6.110,6.110,
2020/09/17,15:23:09,-0.2231,31.110,33.162,56.762,50036.389,1019.967,19.967,0.38,0.38,1.85,98.66,6.090,8.23,6.106,6.106,
2020/09/17,15:23:09,-0.2231,31.112,33.166,56.771,50041.523,1019.969,19.970,0.35,0.35,1.89,98.66,6.090,8.23,6.106,6.106,
2020/09/17,15:23:09,-0.2231,31.114,33.168,56.775,50043.883,1019.970,19.971,0.37,0.37,1.56,98.54,6.082,8.24,6.098,6.099,
2020/09/17,15:23:09,-0.2231,31.114,33.157,56.760,50030.276,1019.962,19.963,0.37,0.37,1.39,98.64,6.088,8.23,6.104,6.104,
2020/09/17,15:23:09,-0.2428,31.114,33.154,56.754,50025.346,1019.959,19.960,0.37,0.37,1.85,98.69,6.091,8.24,6.107,6.108,
2020/09/17,15:23:09,-0.2035,31.112,33.160,56.762,50033.905,1019.965,19.965,0.38,0.38,1.82,98.69,6.091,8.24,6.107,6.108,
2020/09/17,15:23:09,-0.2231,31.110,33.168,56.771,50044.289,1019.971,19.972,0.38,0.38,1.22,98.53,6.081,8.26,6.097,6.097,
2020/09/17,15:23:09,-0.2231,31.107,33.168,56.770,50045.394,1019.972,19.973,0.37,0.37,1.07,98.59,6.085,8.23,6.100,6.101,
2020/09/17,15:23:09,-0.2428,31.108,33.167,56.769,50044.087,1019.971,19.972,0.34,0.34,1.04,98.74,6.094,8.26,6.110,6.111,
2020/09/17,15:23:10,-0.2428,31.112,33.166,56.770,50041.658,1019.969,19.970,0.33,0.33,1.00,98.66,6.089,8.24,6.105,6.106,
2020/09/17,15:23:10,-0.2231,31.114,33.166,56.773,50041.894,1019.968,19.969,0.32,0.32,0.97,98.70,6.092,8.26,6.108,6.108,
2020/09/17,15:23:10,-0.2428,31.115,33.163,56.769,50037.702,1019.966,19.967,0.33,0.33,1.00,98.80,6.098,8.25,6.114,6.115,
2020/09/17,15:23:10,-0.2231,31.119,33.159,56.767,50031.929,1019.961,19.962,0.32,0.32,1.02,98.82,6.099,8.25,6.115,6.116,
2020/09/17,15:23:10,-0.2231,31.119,33.160,56.769,50033.027,1019.962,19.963,0.34,0.34,0.98,98.70,6.092,8.26,6.108,6.109,
2020/09/17,15:23:10,-0.2231,31.120,33.156,56.763,50027.383,1019.958,19.959,0.33,0.33,1.01,98.83,6.100,8.25,6.116,6.117,
2020/09/17,15:23:10,-0.2231,31.121,33.153,56.761,50024.606,1019.957,19.958,0.33,0.33,0.98,98.96,6.108,8.25,6.124,6.125,
2020/09/17,15:23:10,-0.2231,31.120,33.153,56.759,50023.501,1019.956,19.957,0.31,0.31,0.95,98.90,6.104,8.27,6.120,6.121,
2020/09/17,15:23:10,-0.2428,31.119,33.158,56.765,50030.146,1019.960,19.961,0.34,0.34,0.94,98.93,6.106,8.23,6.122,6.123,
2020/09/17,15:23:10,-0.2428,31.116,33.162,56.769,50035.887,1019.964,19.965,0.46,0.46,0.91,98.92,6.105,8.26,6.121,6.122,
2020/09/17,15:23:11,-0.2231,31.114,33.165,56.770,50039.918,1019.967,19.968,0.34,0.34,0.98,98.93,6.106,8.25,6.122,6.122,
2020/09/17,15:23:11,-0.2231,31.111,33.163,56.766,50038.262,1019.967,19.968,0.32,0.32,0.95,98.85,6.101,8.25,6.117,6.118,
2020/09/17,15:23:11,-0.2231,31.105,33.162,56.757,50036.634,1019.968,19.969,0.31,0.31,0.92,99.01,6.111,8.26,6.127,6.128,
2020/09/17,15:23:11,-0.2428,31.101,33.159,56.748,50032.981,1019.967,19.969,0.31,0.31,0.90,99.06,6.114,8.26,6.130,6.131,
2020/09/17,15:23:11,-0.2428,31.098,33.157,56.743,50030.931,1019.967,19.968,0.32,0.32,0.91,99.06,6.114,8.27,6.130,6.131,
2020/09/17,15:23:11,-0.2231,31.098,33.158,56.744,50031.629,1019.967,19.968,0.34,0.34,0.92,99.16,6.120,8.26,6.136,6.137,
2020/09/17,15:23:11,-0.2231,31.099,33.156,56.741,50028.799,1019.966,19.967,0.32,0.32,0.91,99.19,6.122,8.27,6.138,6.139,
2020/09/17,15:23:11,-0.2428,31.096,33.157,56.741,50030.853,1019.968,19.969,0.31,0.31,0.91,99.26,6.127,8.26,6.143,6.143,
2020/09/17,15:23:11,-0.2231,31.098,33.155,56.740,50028.314,1019.966,19.967,0.33,0.33,0.92,99.19,6.122,8.26,6.138,6.139,
2020/09/17,15:23:11,-0.2231,31.100,33.154,56.740,50026.125,1019.964,19.965,0.34,0.34,0.94,99.23,6.124,8.26,6.140,6.141,
