"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/09/17","15:23:06",-0.2231,31.101,NA,56.707,NA,1019.947,19.948,0.39,0.39,NA,98.11,6.067,NA,6.083,6.084
"2","2020/09/17","15:23:06",-0.2231,31.103,NA,56.706,NA,1019.945,19.946,0.38,0.38,NA,98.1,6.066,NA,6.082,6.083
"3","2020/09/17","15:23:06",-0.2231,31.104,NA,56.707,NA,1019.945,19.946,0.4,0.4,NA,98.27,6.075,NA,6.091,6.092
"4","2020/09/17","15:23:06",-0.2231,31.107,NA,56.716,49998.437,1019.946,19.947,0.41,0.41,1.42,98.17,6.067,NA,6.083,6.084
"5","2020/09/17","15:23:06",-0.2231,31.109,NA,56.717,49997.806,1019.945,19.946,0.39,0.39,1.35,98.24,6.07,NA,6.086,6.087
"6","2020/09/17","15:23:06",-0.2231,31.11,33.134,56.721,49999.376,1019.946,19.947,0.38,0.38,1.29,98.26,6.071,NA,6.087,6.088
"7","2020/09/17","15:23:06",-0.2231,31.113,33.138,56.73,50004.754,1019.948,19.949,0.37,0.37,1.25,98.4,6.079,NA,6.095,6.096
"8","2020/09/17","15:23:06",-0.2428,31.115,33.138,56.731,50004.634,1019.947,19.948,0.38,0.38,1.24,98.52,6.086,NA,6.102,6.103
"9","2020/09/17","15:23:06",-0.2231,31.114,33.141,56.734,50007.821,1019.949,19.95,0.37,0.37,1.22,98.48,6.084,NA,6.1,6.101
"10","2020/09/17","15:23:07",-0.2231,31.11,33.147,56.739,50016.513,1019.956,19.957,0.38,0.38,1.27,98.45,6.083,NA,6.098,6.099
"11","2020/09/17","15:23:07",-0.2231,31.105,33.155,56.747,50027.122,1019.963,19.964,0.38,0.38,1.25,98.41,6.08,8.18,6.096,6.097
"12","2020/09/17","15:23:07",-0.2231,31.101,33.162,56.754,50037.327,1019.97,19.971,0.38,0.38,1.25,98.44,6.081,8.18,6.097,6.097
"13","2020/09/17","15:23:07",-0.2231,31.096,33.167,56.756,50044.454,1019.975,19.976,0.37,0.37,1.21,98.5,6.084,8.18,6.1,6.101
"14","2020/09/17","15:23:07",-0.2428,31.093,33.172,56.761,50051.949,1019.981,19.982,0.4,0.4,1.19,98.51,6.084,8.19,6.1,6.1
"15","2020/09/17","15:23:07",-0.2231,31.09,33.167,56.75,50044.622,1019.977,19.978,0.39,0.39,1.22,98.4,6.077,8.19,6.093,6.094
"16","2020/09/17","15:23:07",-0.2231,31.091,33.167,56.75,50044.728,1019.977,19.978,0.37,0.37,1.38,98.42,6.078,8.19,6.094,6.095
"17","2020/09/17","15:23:07",-0.2231,31.091,33.169,56.755,50047.92,1019.979,19.98,0.34,0.34,1.29,98.5,6.083,8.2,6.099,6.099
"18","2020/09/17","15:23:07",-0.2428,31.091,33.174,56.762,50054.47,1019.982,19.984,0.36,0.36,1.15,98.51,6.082,8.2,6.098,6.099
"19","2020/09/17","15:23:07",-0.2231,31.09,33.175,56.763,50055.981,1019.984,19.985,0.36,0.36,1.11,98.61,6.088,8.2,6.104,6.105
"20","2020/09/17","15:23:08",-0.2428,31.088,33.178,56.765,50060.263,1019.987,19.988,0.35,0.35,1.07,98.61,6.087,8.19,6.103,6.104
"21","2020/09/17","15:23:08",-0.2231,31.085,33.177,56.76,50058.247,1019.986,19.987,0.34,0.34,1.08,98.77,6.097,8.2,6.113,6.113
"22","2020/09/17","15:23:08",-0.2231,31.083,33.176,56.757,50057.763,1019.987,19.988,0.34,0.34,1.22,98.63,6.088,8.22,6.103,6.104
"23","2020/09/17","15:23:08",-0.2231,31.082,33.18,56.761,50062.251,1019.99,19.991,0.34,0.34,1.28,98.55,6.083,8.24,6.098,6.099
"24","2020/09/17","15:23:08",-0.2428,31.08,33.182,56.763,50065.294,1019.992,19.993,0.34,0.34,1.08,98.48,6.078,8.22,6.094,6.094
"25","2020/09/17","15:23:08",-0.2428,31.082,NA,56.777,NA,1019.998,19.999,0.38,0.38,0.98,98.45,6.076,8.22,6.092,6.093
"26","2020/09/17","15:23:08",-0.2428,31.084,NA,56.8,NA,NA,NA,0.37,0.37,1,98.48,6.077,8.22,6.093,6.094
"27","2020/09/17","15:23:08",-0.2231,31.089,NA,56.787,NA,1019.996,19.997,0.34,0.34,1.01,98.53,6.081,8.24,6.097,6.098
"28","2020/09/17","15:23:08",-0.2231,31.095,33.18,56.774,50061.421,1019.985,19.986,0.34,0.34,1,98.62,6.086,8.23,6.102,6.103
"29","2020/09/17","15:23:08",-0.2231,31.1,33.172,56.768,50051.245,1019.978,19.979,0.36,0.36,1.08,98.72,6.093,8.23,6.109,6.11
"30","2020/09/17","15:23:09",-0.2428,31.105,33.166,56.763,50041.946,1019.971,19.972,0.38,0.38,NA,98.72,6.094,8.22,6.11,6.11
"31","2020/09/17","15:23:09",-0.2231,31.11,33.162,56.762,50036.389,1019.967,19.967,0.38,0.38,NA,98.66,6.09,8.23,6.106,6.106
"32","2020/09/17","15:23:09",-0.2231,31.112,33.166,56.771,50041.523,1019.969,19.97,0.35,0.35,NA,98.66,6.09,8.23,6.106,6.106
"33","2020/09/17","15:23:09",-0.2231,31.114,33.168,56.775,50043.883,1019.97,19.971,0.37,0.37,NA,98.54,6.082,8.24,6.098,6.099
"34","2020/09/17","15:23:09",-0.2231,31.114,33.157,56.76,50030.276,1019.962,19.963,0.37,0.37,1.39,98.64,6.088,8.23,6.104,6.104
"35","2020/09/17","15:23:09",-0.2428,31.114,33.154,56.754,50025.346,1019.959,19.96,0.37,0.37,NA,98.69,6.091,8.24,6.107,6.108
"36","2020/09/17","15:23:09",-0.2035,31.112,33.16,56.762,50033.905,1019.965,19.965,0.38,0.38,NA,98.69,6.091,8.24,6.107,6.108
"37","2020/09/17","15:23:09",-0.2231,31.11,33.168,56.771,50044.289,1019.971,19.972,0.38,0.38,1.22,98.53,6.081,8.26,6.097,6.097
"38","2020/09/17","15:23:09",-0.2231,31.107,33.168,56.77,50045.394,1019.972,19.973,0.37,0.37,1.07,98.59,6.085,8.23,6.1,6.101
"39","2020/09/17","15:23:09",-0.2428,31.108,33.167,56.769,50044.087,1019.971,19.972,0.34,0.34,1.04,98.74,6.094,8.26,6.11,6.111
"40","2020/09/17","15:23:10",-0.2428,31.112,33.166,56.77,50041.658,1019.969,19.97,0.33,0.33,1,98.66,6.089,8.24,6.105,6.106
"41","2020/09/17","15:23:10",-0.2231,31.114,33.166,56.773,50041.894,1019.968,19.969,0.32,0.32,0.97,98.7,6.092,8.26,6.108,6.108
"42","2020/09/17","15:23:10",-0.2428,31.115,33.163,56.769,50037.702,1019.966,19.967,0.33,0.33,1,98.8,6.098,8.25,6.114,6.115
"43","2020/09/17","15:23:10",-0.2231,31.119,33.159,56.767,50031.929,1019.961,19.962,0.32,0.32,1.02,98.82,6.099,8.25,6.115,6.116
"44","2020/09/17","15:23:10",-0.2231,31.119,33.16,56.769,50033.027,1019.962,19.963,0.34,0.34,0.98,98.7,6.092,8.26,6.108,6.109
"45","2020/09/17","15:23:10",-0.2231,31.12,33.156,56.763,50027.383,1019.958,19.959,0.33,0.33,1.01,98.83,6.1,8.25,6.116,6.117
"46","2020/09/17","15:23:10",-0.2231,31.121,33.153,56.761,50024.606,1019.957,19.958,0.33,0.33,0.98,98.96,6.108,8.25,6.124,6.125
"47","2020/09/17","15:23:10",-0.2231,31.12,33.153,56.759,50023.501,1019.956,19.957,0.31,0.31,0.95,98.9,6.104,8.27,6.12,6.121
"48","2020/09/17","15:23:10",-0.2428,31.119,33.158,56.765,50030.146,1019.96,19.961,0.34,0.34,0.94,98.93,6.106,8.23,6.122,6.123
"49","2020/09/17","15:23:10",-0.2428,31.116,33.162,56.769,50035.887,1019.964,19.965,NA,NA,0.91,98.92,6.105,8.26,6.121,6.122
"50","2020/09/17","15:23:11",-0.2231,31.114,33.165,56.77,50039.918,1019.967,19.968,0.34,0.34,0.98,98.93,6.106,8.25,6.122,6.122
"51","2020/09/17","15:23:11",-0.2231,31.111,33.163,56.766,50038.262,1019.967,19.968,0.32,0.32,0.95,98.85,6.101,8.25,6.117,6.118
"52","2020/09/17","15:23:11",-0.2231,31.105,33.162,56.757,50036.634,1019.968,19.969,0.31,0.31,0.92,99.01,6.111,8.26,6.127,6.128
"53","2020/09/17","15:23:11",-0.2428,31.101,33.159,56.748,50032.981,1019.967,19.969,0.31,0.31,0.9,99.06,6.114,8.26,6.13,6.131
"54","2020/09/17","15:23:11",-0.2428,31.098,33.157,56.743,50030.931,1019.967,19.968,0.32,0.32,0.91,99.06,6.114,8.27,6.13,6.131
"55","2020/09/17","15:23:11",-0.2231,31.098,33.158,56.744,50031.629,1019.967,19.968,0.34,0.34,0.92,99.16,6.12,8.26,6.136,6.137
"56","2020/09/17","15:23:11",-0.2231,31.099,33.156,56.741,50028.799,1019.966,19.967,0.32,0.32,0.91,99.19,6.122,8.27,6.138,6.139
"57","2020/09/17","15:23:11",-0.2428,31.096,33.157,56.741,50030.853,1019.968,19.969,0.31,0.31,0.91,99.26,6.127,8.26,6.143,6.143
"58","2020/09/17","15:23:11",-0.2231,31.098,33.155,56.74,50028.314,1019.966,19.967,0.33,0.33,0.92,99.19,6.122,8.26,6.138,6.139
"59","2020/09/17","15:23:11",-0.2231,31.1,33.154,56.74,50026.125,1019.964,19.965,0.34,0.34,0.94,99.23,6.124,8.26,6.14,6.141
"60","2020/09/17","15:23:12",-0.2231,31.103,33.148,56.735,50018.732,1019.959,19.96,0.34,0.34,0.95,99.17,6.121,8.28,6.137,6.138
"61","2020/09/17","15:23:12",-0.2231,31.109,33.141,56.73,50008.101,1019.951,19.952,0.38,0.38,0.94,99.19,6.122,8.26,6.138,6.139
