//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/09/17 15:40:59
EndTime=2020/09/17 15:41:12
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,15:40:59,-0.2820,28.894,0.031,0.055,50.850,996.000,-3.999,-0.10,-0.10,207.61,104.03,7.898,8.09,7.921,7.921,
2020/09/17,15:40:59,-0.2428,28.999,6.592,12.527,11513.897,1000.866,0.867,-0.57,-0.57,462.86,104.59,7.659,8.08,7.682,7.681,
2020/09/17,15:40:59,-0.2624,29.258,19.355,33.817,30920.938,1010.282,10.283,0.18,0.18,105.33,105.05,7.169,8.11,7.190,7.190,
2020/09/17,15:40:59,-0.2231,29.416,35.678,58.723,53523.187,1022.432,22.433,0.36,0.36,27.15,105.16,6.557,8.12,6.575,6.576,
2020/09/17,15:40:59,-0.2035,29.521,34.218,56.697,51567.919,1021.302,21.302,0.34,0.34,8.31,105.32,6.618,8.13,6.637,6.638,
2020/09/17,15:40:59,-0.2035,29.608,34.156,56.697,51478.223,1021.226,21.227,0.34,0.34,3.46,105.65,6.639,8.15,6.658,6.659,
2020/09/17,15:40:59,-0.2035,29.663,34.119,56.700,51424.229,1021.179,21.180,0.38,0.38,2.03,106.02,6.662,8.15,6.680,6.681,
2020/09/17,15:40:59,-0.2035,29.696,34.098,56.703,51393.745,1021.153,21.154,0.41,0.41,1.59,106.43,6.686,8.15,6.705,6.706,
2020/09/17,15:40:59,-0.2231,29.714,34.093,56.714,51384.718,1021.142,21.143,0.43,0.43,1.39,106.66,6.700,8.16,6.718,6.719,
2020/09/17,15:40:59,-0.2231,29.721,34.093,56.722,51384.225,1021.140,21.141,0.39,0.39,1.27,106.88,6.713,8.16,6.731,6.732,
2020/09/17,15:41:00,-0.2035,29.725,34.092,56.725,51383.664,1021.139,21.139,0.35,0.35,1.18,107.25,6.735,8.17,6.753,6.754,
2020/09/17,15:41:00,-0.2035,29.727,34.089,56.722,51378.547,1021.135,21.136,0.34,0.34,1.14,107.66,6.760,8.18,6.778,6.779,
2020/09/17,15:41:00,-0.2035,29.730,34.088,56.723,51376.902,1021.133,21.134,0.36,0.36,1.07,107.97,6.778,8.18,6.797,6.798,
2020/09/17,15:41:00,-0.2035,29.733,34.092,56.733,51382.870,1021.136,21.137,0.34,0.34,1.05,108.36,6.802,8.19,6.821,6.822,
2020/09/17,15:41:00,-0.2035,29.735,34.098,56.744,51390.427,1021.139,21.140,0.34,0.34,1.09,108.71,6.823,8.19,6.842,6.843,
2020/09/17,15:41:00,-0.2035,29.736,34.102,56.750,51395.037,1021.142,21.142,0.37,0.37,1.31,109.11,6.848,8.19,6.867,6.868,
2020/09/17,15:41:00,-0.2231,29.738,34.104,56.755,51397.519,1021.142,21.143,0.35,0.35,1.14,109.68,6.883,8.20,6.901,6.903,
2020/09/17,15:41:00,-0.2035,29.740,34.104,56.758,51398.118,1021.142,21.143,0.35,0.35,1.09,110.24,6.917,8.20,6.936,6.937,
2020/09/17,15:41:00,-0.2035,29.746,34.102,56.761,51394.723,1021.139,21.139,0.35,0.35,1.08,110.58,6.938,8.21,6.957,6.958,
2020/09/17,15:41:00,-0.2035,29.750,34.101,56.764,51393.366,1021.137,21.137,0.34,0.34,1.11,111.10,6.970,8.20,6.989,6.990,
