//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/09/17 15:50:46
EndTime=2020/09/17 15:50:58
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/09/17,15:50:46,-0.2624,29.241,0.028,0.046,42.516,995.896,-4.103,-0.17,-0.17,210.09,95.26,7.251,8.07,7.272,7.272,
2020/09/17,15:50:46,-0.2624,29.272,0.028,0.046,42.446,995.886,-4.113,-0.49,-0.49,420.04,95.49,7.269,8.09,7.290,7.290,
2020/09/17,15:50:46,-0.2428,29.216,0.421,0.932,853.169,996.198,-3.801,0.09,0.09,95.89,95.53,7.265,8.08,7.286,7.286,
2020/09/17,15:50:46,-0.2035,29.191,21.393,36.981,33858.809,1011.822,11.823,0.25,0.25,24.86,95.98,6.504,8.12,6.523,6.523,
2020/09/17,15:50:46,-0.2231,29.148,22.489,38.658,35424.956,1012.654,12.655,0.28,0.28,8.44,96.57,6.505,8.13,6.524,6.524,
2020/09/17,15:50:46,-0.1642,29.151,29.185,48.865,44776.275,1017.655,17.656,0.28,0.28,4.24,96.99,6.296,8.13,6.314,6.315,
2020/09/17,15:50:46,-0.1839,29.207,28.747,48.258,44170.086,1017.309,17.309,0.31,0.31,3.00,97.62,6.353,8.15,6.371,6.371,
2020/09/17,15:50:46,-0.1839,29.268,28.714,48.263,44120.920,1017.264,17.265,0.31,0.31,2.46,98.06,6.383,8.14,6.401,6.401,
2020/09/17,15:50:46,-0.1839,29.309,28.694,48.271,44090.904,1017.236,17.236,0.30,0.30,2.43,98.40,6.405,8.15,6.423,6.424,
2020/09/17,15:50:46,-0.1642,29.332,28.687,48.281,44079.658,1017.223,17.224,0.28,0.28,2.19,98.76,6.429,8.15,6.447,6.448,
2020/09/17,15:50:47,-0.1839,29.343,28.683,48.284,44072.586,1017.216,17.216,0.28,0.28,1.99,99.15,6.452,8.16,6.471,6.471,
2020/09/17,15:50:47,-0.1839,29.339,28.694,48.297,44088.547,1017.226,17.226,0.28,0.28,1.93,99.50,6.474,8.17,6.492,6.493,
2020/09/17,15:50:47,-0.1839,29.327,28.702,48.299,44100.660,1017.236,17.236,0.27,0.27,1.93,99.77,6.491,8.18,6.509,6.510,
2020/09/17,15:50:47,-0.1839,29.313,28.711,48.299,44113.738,1017.247,17.248,0.28,0.28,1.75,100.02,6.506,8.18,6.525,6.525,
2020/09/17,15:50:47,-0.1839,29.308,28.716,48.303,44120.891,1017.252,17.253,0.27,0.27,1.64,100.18,6.516,8.18,6.535,6.535,
2020/09/17,15:50:47,-0.1839,29.315,28.717,48.311,44121.816,1017.251,17.251,0.28,0.28,1.64,100.33,6.525,8.19,6.543,6.544,
2020/09/17,15:50:47,-0.1642,29.314,28.734,48.335,44145.437,1017.264,17.265,0.30,0.30,1.62,100.55,6.539,8.18,6.557,6.558,
2020/09/17,15:50:47,-0.1839,29.314,28.725,48.322,44132.634,1017.257,17.258,0.28,0.28,1.55,100.71,6.549,8.19,6.568,6.568,
2020/09/17,15:50:47,-0.1839,29.314,28.723,48.318,44130.405,1017.256,17.257,0.30,0.30,1.56,100.72,6.549,8.19,6.568,6.568,
2020/09/17,15:50:47,-0.1839,29.316,28.726,48.325,44134.704,1017.257,17.258,0.29,0.29,1.49,100.86,6.558,8.21,6.577,6.577,
2020/09/17,15:50:48,-0.1839,29.326,28.715,48.317,44118.565,1017.246,17.247,0.28,0.28,1.42,100.98,6.566,8.22,6.585,6.585,
2020/09/17,15:50:48,-0.1839,29.337,28.699,48.303,44095.149,1017.230,17.230,0.31,0.31,1.42,101.17,6.579,8.19,6.598,6.598,
2020/09/17,15:50:48,-0.1839,29.347,28.699,48.312,44094.719,1017.227,17.227,0.41,0.41,1.42,101.35,6.590,8.21,6.609,6.610,
2020/09/17,15:50:48,-0.1839,29.352,28.706,48.326,44103.531,1017.230,17.231,0.34,0.34,1.51,101.39,6.592,8.20,6.611,6.611,
2020/09/17,15:50:48,-0.1839,29.354,28.707,48.330,44104.821,1017.230,17.231,0.28,0.28,1.64,101.39,6.592,8.23,6.611,6.611,
2020/09/17,15:50:48,-0.1839,29.356,28.706,48.331,44104.309,1017.229,17.230,0.28,0.28,1.48,101.39,6.592,8.22,6.611,6.611,
2020/09/17,15:50:48,-0.2035,29.355,28.706,48.330,44104.240,1017.229,17.230,0.28,0.28,1.38,101.48,6.598,8.22,6.616,6.617,
2020/09/17,15:50:48,-0.1839,29.353,28.705,48.326,44102.514,1017.229,17.230,0.28,0.28,1.36,101.57,6.603,8.22,6.622,6.623,
2020/09/17,15:50:48,-0.1839,29.352,28.706,48.327,44104.122,1017.230,17.231,0.28,0.28,1.36,101.76,6.616,8.24,6.635,6.635,
2020/09/17,15:50:48,-0.1839,29.351,28.705,48.325,44102.850,1017.230,17.231,0.28,0.28,1.41,101.79,6.618,8.24,6.637,6.637,
2020/09/17,15:50:49,-0.1839,29.351,28.702,48.319,44098.420,1017.228,17.228,0.27,0.27,1.51,101.75,6.615,8.24,6.633,6.634,
2020/09/17,15:50:49,-0.1839,29.351,28.701,48.318,44096.793,1017.227,17.227,0.27,0.27,1.42,101.88,6.623,8.23,6.642,6.642,
2020/09/17,15:50:49,-0.1839,29.349,28.703,48.319,44099.522,1017.229,17.229,0.29,0.29,1.39,101.91,6.624,8.24,6.643,6.644,
2020/09/17,15:50:49,-0.1839,29.349,28.703,48.320,44100.584,1017.229,17.230,0.28,0.28,1.56,101.92,6.625,8.23,6.644,6.644,
2020/09/17,15:50:49,-0.1839,29.349,28.703,48.320,44100.150,1017.229,17.230,0.27,0.27,1.65,101.91,6.624,8.24,6.643,6.644,
2020/09/17,15:50:49,-0.1839,29.351,28.704,48.323,44101.149,1017.229,17.230,0.25,0.25,1.44,101.93,6.626,8.26,6.645,6.645,
2020/09/17,15:50:49,-0.1839,29.355,28.703,48.325,44099.435,1017.227,17.228,0.25,0.25,1.35,102.06,6.633,8.23,6.652,6.653,
2020/09/17,15:50:49,-0.1839,29.362,28.698,48.324,44092.770,1017.221,17.222,0.24,0.24,1.36,102.19,6.643,8.24,6.662,6.662,
2020/09/17,15:50:49,-0.1839,29.366,28.693,48.320,44085.954,1017.216,17.217,0.26,0.26,1.44,102.26,6.647,8.24,6.666,6.666,
2020/09/17,15:50:49,-0.1839,29.371,28.689,48.318,44079.687,1017.211,17.212,0.27,0.27,1.51,102.25,6.647,8.23,6.666,6.666,
2020/09/17,15:50:50,-0.1839,29.373,28.691,48.323,44081.620,1017.212,17.213,0.25,0.25,1.54,102.32,6.651,8.24,6.670,6.670,
2020/09/17,15:50:50,-0.1839,29.375,28.692,48.327,44083.713,1017.212,17.213,0.26,0.26,1.41,102.37,6.654,8.26,6.673,6.674,
2020/09/17,15:50:50,-0.2035,29.376,28.697,48.335,44090.769,1017.216,17.217,0.25,0.25,1.29,102.27,6.647,8.25,6.666,6.666,
2020/09/17,15:50:50,-0.1839,29.374,28.700,48.337,44094.046,1017.218,17.219,0.26,0.26,1.29,102.31,6.650,8.26,6.669,6.670,
2020/09/17,15:50:50,-0.1839,29.373,28.699,48.335,44093.109,1017.218,17.219,0.28,0.28,1.32,102.40,6.656,8.26,6.675,6.675,
2020/09/17,15:50:50,-0.1839,29.372,28.695,48.329,44087.648,1017.215,17.216,0.28,0.28,1.32,102.45,6.659,8.25,6.678,6.679,
2020/09/17,15:50:50,-0.1839,29.371,28.694,48.326,44086.199,1017.215,17.216,0.28,0.28,1.34,102.43,6.657,8.25,6.676,6.677,
2020/09/17,15:50:50,-0.1839,29.371,28.695,48.328,44088.367,1017.216,17.217,0.29,0.29,1.31,102.52,6.663,8.25,6.682,6.682,
2020/09/17,15:50:50,-0.1839,29.372,28.700,48.335,44093.908,1017.219,17.220,0.28,0.28,1.27,102.56,6.665,8.26,6.685,6.685,
2020/09/17,15:50:50,-0.1839,29.370,28.706,48.343,44102.439,1017.224,17.225,0.27,0.27,1.27,102.59,6.667,8.25,6.686,6.686,
2020/09/17,15:50:51,-0.1839,29.370,28.713,48.353,44112.532,1017.230,17.230,0.25,0.25,1.31,102.59,6.667,8.27,6.686,6.686,
2020/09/17,15:50:51,-0.1839,29.370,28.715,48.356,44114.882,1017.231,17.232,0.26,0.26,1.36,102.77,6.678,8.25,6.698,6.698,
2020/09/17,15:50:51,-0.1839,29.371,28.719,48.363,44120.601,1017.234,17.235,0.26,0.26,1.35,102.66,6.671,8.25,6.690,6.690,
2020/09/17,15:50:51,-0.1839,29.369,28.722,48.366,44124.418,1017.236,17.237,0.26,0.26,1.35,102.66,6.671,8.26,6.690,6.690,
2020/09/17,15:50:51,-0.1839,29.370,28.723,48.368,44125.846,1017.237,17.238,0.25,0.25,1.32,102.71,6.674,8.26,6.693,6.693,
2020/09/17,15:50:51,-0.1839,29.370,28.723,48.368,44126.384,1017.237,17.238,0.26,0.26,1.28,102.79,6.679,8.25,6.698,6.699,
2020/09/17,15:50:51,-0.1642,29.369,28.725,48.370,44128.486,1017.239,17.239,0.28,0.28,1.32,102.80,6.679,8.26,6.698,6.699,
2020/09/17,15:50:51,-0.2035,29.368,28.727,48.373,44132.350,1017.241,17.242,0.28,0.28,1.34,102.81,6.681,8.26,6.700,6.700,
2020/09/17,15:50:51,-0.1839,29.368,28.728,48.374,44133.212,1017.242,17.242,0.28,0.28,1.28,102.84,6.682,8.23,6.701,6.702,
2020/09/17,15:50:51,-0.1839,29.368,28.730,48.378,44136.448,1017.243,17.244,0.28,0.28,1.27,102.70,6.673,8.25,6.692,6.692,
2020/09/17,15:50:52,-0.1839,29.367,28.728,48.374,44133.561,1017.242,17.243,0.27,0.27,1.27,102.71,6.673,8.28,6.692,6.693,
2020/09/17,15:50:52,-0.1839,29.368,28.722,48.365,44124.623,1017.237,17.238,0.25,0.25,1.31,102.79,6.679,8.26,6.698,6.698,
2020/09/17,15:50:52,-0.1839,29.368,28.718,48.360,44120.012,1017.234,17.235,0.25,0.25,1.35,102.86,6.683,8.26,6.702,6.702,
2020/09/17,15:50:52,-0.1839,29.367,28.718,48.359,44119.801,1017.234,17.235,0.27,0.27,1.36,103.07,6.697,8.26,6.716,6.716,
2020/09/17,15:50:52,-0.1642,29.369,28.720,48.364,44122.445,1017.235,17.236,0.28,0.28,1.36,103.08,6.697,8.27,6.716,6.717,
2020/09/17,15:50:52,-0.1839,29.369,28.720,48.364,44122.793,1017.235,17.236,0.28,0.28,1.25,102.99,6.691,8.26,6.710,6.711,
2020/09/17,15:50:52,-0.1839,29.371,28.719,48.363,44120.161,1017.233,17.234,0.26,0.26,1.22,102.85,6.682,8.26,6.702,6.702,
2020/09/17,15:50:52,-0.1839,29.372,28.718,48.363,44119.423,1017.233,17.233,0.25,0.25,1.22,102.98,6.690,8.26,6.710,6.710,
2020/09/17,15:50:52,-0.1839,29.372,28.719,48.364,44120.327,1017.233,17.234,0.24,0.24,1.21,102.91,6.686,8.26,6.705,6.705,
2020/09/17,15:50:52,-0.1839,29.372,28.719,48.365,44120.892,1017.233,17.234,0.27,0.27,1.22,102.96,6.689,8.26,6.708,6.709,
2020/09/17,15:50:53,-0.1839,29.371,28.721,48.367,44123.343,1017.235,17.236,0.26,0.26,1.27,103.11,6.698,8.28,6.718,6.718,
2020/09/17,15:50:53,-0.1839,29.372,28.723,48.370,44125.720,1017.236,17.237,0.26,0.26,1.32,103.07,6.696,8.28,6.716,6.716,
2020/09/17,15:50:53,-0.1839,29.372,28.724,48.373,44127.819,1017.237,17.238,0.27,0.27,1.29,103.00,6.692,8.26,6.711,6.711,
2020/09/17,15:50:53,-0.1839,29.373,28.727,48.377,44131.292,1017.239,17.240,0.26,0.26,1.31,103.00,6.691,8.26,6.710,6.711,
2020/09/17,15:50:53,-0.1839,29.372,28.729,48.380,44134.251,1017.241,17.241,0.26,0.26,1.32,103.22,6.705,8.26,6.724,6.724,
2020/09/17,15:50:53,-0.1839,29.372,28.730,48.382,44136.060,1017.242,17.242,0.24,0.24,1.34,103.24,6.706,8.26,6.725,6.726,
2020/09/17,15:50:53,-0.1839,29.372,28.731,48.383,44137.513,1017.242,17.243,0.26,0.26,1.35,103.24,6.706,8.26,6.725,6.725,
2020/09/17,15:50:53,-0.1642,29.371,28.734,48.387,44141.739,1017.245,17.246,0.26,0.26,1.36,103.20,6.704,8.26,6.723,6.723,
2020/09/17,15:50:53,-0.1839,29.373,28.734,48.388,44141.274,1017.244,17.245,0.26,0.26,1.36,103.12,6.698,8.31,6.717,6.718,
2020/09/17,15:50:53,-0.1839,29.380,28.731,48.390,44136.920,1017.240,17.241,0.27,0.27,1.31,103.05,6.694,8.27,6.713,6.714,
2020/09/17,15:50:54,-0.1642,29.387,28.729,48.392,44132.821,1017.236,17.236,0.26,0.26,1.29,103.15,6.700,8.25,6.719,6.720,
2020/09/17,15:50:54,-0.1839,29.392,28.726,48.393,44129.004,1017.232,17.233,0.24,0.24,1.27,103.20,6.704,8.26,6.723,6.724,
2020/09/17,15:50:54,-0.1839,29.396,28.723,48.393,44125.187,1017.229,17.229,0.24,0.24,1.24,103.21,6.705,8.29,6.724,6.724,
