//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2021/01/21 09:37:04
EndTime=2021/01/21 09:37:19
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/21,09:37:04,-0.2035,19.931,0.029,0.046,51.226,998.241,-1.758,-0.05,-0.05,0.72,96.45,8.582,7.39,8.600,8.600,
2021/01/21,09:37:04,-0.2428,19.933,0.029,0.045,51.146,998.240,-1.759,0.00,0.00,2.10,96.47,8.585,7.42,8.603,8.604,
2021/01/21,09:37:04,-0.2035,19.944,1.090,1.919,2159.323,999.048,-0.951,0.02,0.02,41.20,96.36,8.524,7.43,8.542,8.543,
2021/01/21,09:37:04,-0.1446,20.323,35.665,49.063,54689.670,1025.183,25.183,0.15,0.15,16.78,96.55,6.973,7.43,6.989,6.990,
2021/01/21,09:37:04,-0.1446,20.793,35.207,48.981,53977.768,1024.707,24.708,0.18,0.18,4.00,97.14,7.027,7.43,7.043,7.044,
2021/01/21,09:37:04,-0.1446,21.068,34.996,49.001,53641.552,1024.472,24.472,0.18,0.18,1.41,97.60,7.057,7.42,7.073,7.074,
2021/01/21,09:37:04,-0.1446,21.210,34.890,49.014,53472.341,1024.352,24.353,0.18,0.18,0.85,97.87,7.073,7.45,7.090,7.091,
2021/01/21,09:37:04,-0.1446,21.280,34.829,49.009,53377.257,1024.286,24.287,0.18,0.18,0.74,98.09,7.088,7.45,7.104,7.105,
2021/01/21,09:37:04,-0.1446,21.314,34.803,49.010,53335.986,1024.257,24.258,0.18,0.18,0.71,98.22,7.099,7.46,7.116,7.117,
2021/01/21,09:37:04,-0.1054,21.332,34.794,49.018,53321.272,1024.246,24.247,0.18,0.18,0.74,98.20,7.099,7.50,7.115,7.116,
2021/01/21,09:37:05,-0.1054,21.345,34.785,49.020,53306.661,1024.236,24.236,0.18,0.18,0.82,98.09,7.089,7.48,7.105,7.106,
2021/01/21,09:37:05,-0.1250,21.350,34.776,49.014,53293.052,1024.227,24.227,0.18,0.18,0.90,97.91,7.071,7.47,7.088,7.089,
2021/01/21,09:37:05,-0.1250,21.349,34.776,49.013,53293.751,1024.228,24.228,0.17,0.17,0.91,97.74,7.055,7.48,7.072,7.073,
2021/01/21,09:37:05,-0.1054,21.346,34.777,49.011,53295.810,1024.229,24.230,0.18,0.18,0.84,97.64,7.045,7.48,7.062,7.063,
2021/01/21,09:37:05,-0.1250,21.348,34.774,49.009,53290.716,1024.226,24.227,0.18,0.18,0.82,97.60,7.040,7.48,7.057,7.058,
2021/01/21,09:37:05,-0.1250,21.349,34.771,49.006,53286.136,1024.223,24.224,0.18,0.18,0.82,97.54,7.034,7.48,7.051,7.052,
2021/01/21,09:37:05,-0.1250,21.346,34.773,49.006,53290.144,1024.226,24.227,0.23,0.23,0.95,97.37,7.021,7.49,7.037,7.038,
2021/01/21,09:37:05,-0.1250,21.343,34.779,49.011,53299.042,1024.232,24.232,0.23,0.23,0.91,97.27,7.014,7.49,7.030,7.031,
2021/01/21,09:37:05,-0.1250,21.344,34.780,49.013,53299.957,1024.232,24.233,0.22,0.22,0.98,97.11,7.001,7.51,7.017,7.018,
2021/01/21,09:37:05,-0.1054,21.348,34.782,49.019,53301.346,1024.232,24.233,0.18,0.18,0.82,97.01,6.994,7.51,7.010,7.011,
2021/01/21,09:37:06,-0.1250,21.352,34.782,49.024,53301.797,1024.231,24.232,0.19,0.19,0.84,96.83,6.981,7.52,6.997,6.998,
2021/01/21,09:37:06,-0.1250,21.352,34.783,49.025,53302.204,1024.232,24.232,0.18,0.18,0.81,96.86,6.984,7.51,7.000,7.001,
