//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2021/01/21 09:26:20
EndTime=2021/01/21 09:26:34
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/21,09:26:20,-0.2231,20.177,0.029,0.046,51.030,998.190,-1.809,0.11,0.11,0.40,98.02,8.700,7.39,8.719,8.719,
2021/01/21,09:26:20,-0.2428,20.192,0.029,0.045,50.845,998.186,-1.813,0.11,0.11,0.38,98.09,8.706,7.41,8.724,8.725,
2021/01/21,09:26:20,-0.2231,20.201,0.029,0.046,51.113,998.185,-1.814,0.11,0.11,0.38,98.01,8.700,7.44,8.719,8.719,
2021/01/21,09:26:20,-0.2428,20.204,0.029,0.046,51.415,998.184,-1.815,0.11,0.11,0.37,98.06,8.705,7.42,8.724,8.724,
2021/01/21,09:26:20,-0.2428,20.207,0.029,0.045,50.619,998.183,-1.816,0.10,0.10,0.37,98.09,8.708,7.42,8.727,8.727,
2021/01/21,09:26:20,-0.2428,20.208,0.029,0.045,50.723,998.183,-1.816,0.10,0.10,0.37,98.00,8.699,7.45,8.718,8.718,
2021/01/21,09:26:20,-0.2428,20.207,0.029,0.046,50.955,998.183,-1.816,0.10,0.10,0.36,97.89,8.689,7.44,8.708,8.708,
2021/01/21,09:26:20,-0.2428,20.206,0.029,0.045,50.814,998.183,-1.815,0.10,0.10,0.36,98.05,8.704,7.45,8.722,8.723,
2021/01/21,09:26:20,-0.2428,20.204,0.029,0.046,51.136,998.184,-1.815,0.09,0.09,0.36,98.18,8.716,7.45,8.735,8.735,
2021/01/21,09:26:20,-0.2428,20.206,0.029,0.045,50.752,998.183,-1.815,0.09,0.09,0.34,98.08,8.709,7.47,8.728,8.728,
2021/01/21,09:26:21,-0.2624,20.206,0.029,0.045,50.855,998.183,-1.815,0.09,0.09,0.34,98.11,8.711,7.48,8.730,8.730,
2021/01/21,09:26:21,-0.2428,20.203,0.029,0.045,50.577,998.184,-1.815,0.08,0.08,0.34,98.02,8.704,7.48,8.722,8.723,
2021/01/21,09:26:21,-0.2428,20.197,0.029,0.045,50.617,998.185,-1.814,0.08,0.08,0.33,98.06,8.709,7.47,8.728,8.728,
2021/01/21,09:26:21,-0.2428,20.190,0.029,0.046,51.082,998.187,-1.812,0.02,0.02,0.54,98.11,8.715,7.47,8.734,8.734,
2021/01/21,09:26:21,-0.2428,20.183,0.029,0.045,50.840,998.188,-1.811,-0.05,-0.05,1.38,98.13,8.718,7.50,8.736,8.737,
2021/01/21,09:26:21,-0.2428,20.182,0.029,0.046,51.177,998.189,-1.810,-0.06,-0.06,1.83,98.02,8.707,7.50,8.726,8.726,
2021/01/21,09:26:21,-0.2428,20.184,0.029,0.045,50.804,998.188,-1.811,-0.01,-0.01,2.60,98.10,8.715,7.49,8.734,8.734,
2021/01/21,09:26:21,-0.2428,20.194,0.029,0.045,50.709,998.186,-1.813,0.00,0.00,4.31,98.06,8.712,7.50,8.730,8.731,
2021/01/21,09:26:21,-0.2428,20.190,0.029,0.045,50.850,998.187,-1.812,-0.10,-0.10,63.60,98.05,8.712,7.51,8.730,8.731,
2021/01/21,09:26:21,-0.2428,20.175,22.115,31.826,35605.886,1014.920,14.921,-0.15,-0.15,179.73,97.69,7.648,7.51,7.666,7.666,
2021/01/21,09:26:22,-0.1642,20.171,35.675,48.917,54731.548,1025.231,25.231,0.19,0.19,38.83,97.90,7.114,7.53,7.129,7.130,
2021/01/21,09:26:22,-0.1642,20.184,34.450,47.430,53050.970,1024.293,24.293,0.27,0.27,11.31,98.27,7.213,7.52,7.229,7.230,
2021/01/21,09:26:22,-0.1446,20.207,34.429,47.427,53018.586,1024.271,24.272,0.28,0.28,3.99,98.52,7.243,7.52,7.259,7.260,
2021/01/21,09:26:22,-0.1642,20.223,34.421,47.434,53004.181,1024.260,24.261,0.28,0.28,1.83,98.79,7.268,7.53,7.284,7.285,
2021/01/21,09:26:22,-0.1446,20.233,34.423,47.446,53004.889,1024.259,24.260,0.31,0.31,1.38,98.82,7.272,7.52,7.287,7.288,
2021/01/21,09:26:22,-0.1446,20.239,34.425,47.455,53006.746,1024.259,24.260,0.36,0.36,1.31,98.77,7.268,7.52,7.284,7.285,
2021/01/21,09:26:22,-0.1446,20.243,34.425,47.460,53006.619,1024.258,24.259,0.34,0.34,1.17,98.74,7.266,7.53,7.282,7.282,
2021/01/21,09:26:22,-0.1642,20.246,34.436,47.476,53021.305,1024.266,24.267,0.32,0.32,1.09,98.66,7.259,7.53,7.275,7.276,
2021/01/21,09:26:22,-0.1446,20.248,34.447,47.490,53035.245,1024.274,24.274,0.33,0.33,1.08,98.61,7.254,7.53,7.270,7.271,
2021/01/21,09:26:22,-0.1446,20.250,34.443,47.488,53030.332,1024.271,24.271,0.30,0.30,1.09,98.46,7.242,7.55,7.258,7.259,
2021/01/21,09:26:23,-0.1446,20.259,34.439,47.492,53023.192,1024.265,24.266,0.28,0.28,1.09,98.35,7.235,7.53,7.250,7.251,
2021/01/21,09:26:23,-0.1642,20.279,34.431,47.502,53007.874,1024.253,24.254,0.28,0.28,1.02,98.35,7.235,7.55,7.251,7.252,
2021/01/21,09:26:23,-0.1446,20.299,34.402,47.487,52964.572,1024.226,24.227,0.28,0.28,1.00,98.19,7.226,7.55,7.242,7.243,
2021/01/21,09:26:23,-0.1642,20.306,34.358,47.440,52903.188,1024.191,24.191,0.27,0.27,0.98,98.02,7.216,7.54,7.232,7.232,
2021/01/21,09:26:23,-0.1446,20.301,34.350,47.425,52893.098,1024.186,24.187,0.26,0.26,1.04,97.77,7.199,7.56,7.214,7.215,
2021/01/21,09:26:23,-0.1642,20.305,34.394,47.483,52951.985,1024.218,24.219,0.27,0.27,1.00,97.52,7.178,7.55,7.193,7.194,
2021/01/21,09:26:23,-0.1642,20.302,34.384,47.469,52939.924,1024.212,24.212,0.26,0.26,1.01,97.17,7.153,7.55,7.169,7.169,
2021/01/21,09:26:23,-0.1642,20.303,34.370,47.452,52919.553,1024.200,24.201,0.28,0.28,0.95,96.78,7.124,7.55,7.140,7.141,
2021/01/21,09:26:23,-0.1642,20.290,34.371,47.439,52923.649,1024.205,24.205,0.28,0.28,0.97,96.42,7.099,7.55,7.114,7.115,
2021/01/21,09:26:23,-0.1642,20.296,34.366,47.440,52915.786,1024.199,24.200,0.29,0.29,0.91,96.15,7.079,7.56,7.094,7.095,
2021/01/21,09:26:24,-0.1446,20.298,34.371,47.448,52922.998,1024.203,24.204,0.28,0.28,0.90,95.75,7.049,7.55,7.064,7.065,
2021/01/21,09:26:24,-0.1839,20.301,34.362,47.440,52909.832,1024.195,24.196,0.27,0.27,0.90,95.46,7.027,7.55,7.043,7.043,
2021/01/21,09:26:24,-0.1642,20.289,34.373,47.440,52926.251,1024.206,24.207,0.26,0.26,0.90,95.23,7.010,7.54,7.026,7.026,
2021/01/21,09:26:24,-0.1642,20.293,34.373,47.445,52925.894,1024.206,24.206,0.25,0.25,0.92,95.04,6.995,7.55,7.010,7.011,
2021/01/21,09:26:24,-0.1642,20.287,34.372,47.438,52925.196,1024.206,24.207,0.26,0.26,0.94,94.89,6.984,7.55,6.999,7.000,
2021/01/21,09:26:24,-0.1642,20.286,34.373,47.439,52927.573,1024.208,24.208,0.26,0.26,0.91,94.61,6.962,7.58,6.977,6.977,
2021/01/21,09:26:24,-0.1642,20.288,34.378,47.446,52933.197,1024.210,24.211,0.24,0.24,0.97,94.45,6.949,7.54,6.964,6.965,
2021/01/21,09:26:24,-0.1642,20.290,34.378,47.448,52933.825,1024.210,24.211,0.25,0.25,0.94,94.47,6.950,7.54,6.965,6.966,
2021/01/21,09:26:24,-0.1446,20.291,34.388,47.462,52947.054,1024.218,24.218,0.27,0.27,0.92,94.30,6.936,7.55,6.951,6.952,
2021/01/21,09:26:24,-0.1446,20.293,34.391,47.467,52950.304,1024.219,24.220,0.26,0.26,0.95,94.17,6.925,7.56,6.940,6.941,
