"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/21","12:27:37",-0.1642,21.108,34.68,48.648,53203.827,1024.221,24.221,NA,NA,2.32,NA,NA,NA,NA,NA
"2","2021/01/21","12:27:37",-0.1446,21.111,34.671,48.64,53190.802,1024.213,24.213,NA,NA,2.3,NA,NA,NA,NA,NA
"3","2021/01/21","12:27:37",-0.1446,21.111,34.666,48.633,53182.943,1024.208,24.209,NA,NA,2.15,NA,7.062,NA,7.078,7.079
"4","2021/01/21","12:27:37",-0.1446,21.108,34.663,48.627,53180.413,1024.208,24.208,NA,NA,2.22,NA,NA,NA,NA,NA
"5","2021/01/21","12:27:37",-0.125,21.102,34.668,48.626,53187.407,1024.213,24.213,NA,NA,2.16,NA,NA,NA,NA,NA
"6","2021/01/21","12:27:37",-0.1446,21.101,34.668,48.625,53188.191,1024.213,24.214,NA,NA,2.29,NA,7.062,NA,7.078,7.079
"7","2021/01/21","12:27:37",-0.1446,21.103,34.67,48.631,53190.855,1024.214,24.215,NA,NA,2.2,NA,7.057,NA,7.073,7.074
"8","2021/01/21","12:27:37",-0.1446,21.105,34.672,48.635,53193.098,1024.215,24.216,NA,NA,2.36,NA,7.063,NA,7.079,7.08
"9","2021/01/21","12:27:37",-0.1446,21.113,34.663,48.632,53178.974,1024.206,24.206,NA,NA,2.38,97.62,7.067,NA,7.083,7.084
"10","2021/01/21","12:27:38",-0.1446,21.138,34.641,48.629,53144.514,1024.182,24.183,NA,NA,2.43,97.75,7.077,NA,7.093,7.094
"11","2021/01/21","12:27:38",-0.1446,21.149,34.638,48.637,53139.188,1024.177,24.178,0.26,0.26,2.48,97.8,7.081,NA,7.097,7.098
"12","2021/01/21","12:27:38",-0.1446,21.144,34.644,48.639,53148.033,1024.183,24.184,0.26,0.26,2.33,97.71,7.075,NA,7.091,7.092
"13","2021/01/21","12:27:38",-0.1446,21.132,34.662,48.65,53174.38,1024.2,24.201,0.25,0.25,2.32,97.74,7.076,NA,7.092,7.093
"14","2021/01/21","12:27:38",-0.1446,21.127,34.665,48.649,53179.581,1024.204,24.204,0.26,0.26,2.23,97.79,7.079,NA,7.095,7.096
"15","2021/01/21","12:27:38",-0.1446,21.12,34.673,48.651,53191.519,1024.212,24.212,0.26,0.26,2.19,97.75,7.076,NA,7.092,7.093
"16","2021/01/21","12:27:38",-0.1446,21.107,34.681,48.648,53204.575,1024.221,24.222,0.25,0.25,2.15,97.86,7.083,NA,7.1,7.101
"17","2021/01/21","12:27:38",-0.1446,21.1,34.688,48.649,53215.439,1024.229,24.229,0.24,0.24,2.25,97.83,7.08,NA,7.096,7.097
"18","2021/01/21","12:27:38",-0.1446,21.099,34.689,48.65,53217.273,1024.23,24.23,0.24,0.24,2.39,97.89,7.084,NA,7.1,7.101
"19","2021/01/21","12:27:38",-0.1446,21.099,34.69,48.651,53217.866,1024.23,24.231,0.25,0.25,2.35,97.79,7.076,NA,7.093,7.094
"20","2021/01/21","12:27:39",-0.1446,21.099,34.688,48.649,53215.102,1024.228,24.229,0.24,0.24,2.45,97.78,7.075,7.53,7.091,7.092
"21","2021/01/21","12:27:39",-0.125,21.097,34.694,48.654,53224.492,1024.234,24.235,0.24,0.24,2.33,97.77,7.073,NA,7.09,7.091
"22","2021/01/21","12:27:39",-0.1446,21.098,34.697,48.66,53228.852,1024.236,24.237,0.23,0.23,2.32,97.89,7.084,NA,7.1,7.101
"23","2021/01/21","12:27:39",-0.1446,21.104,34.69,48.656,53217.598,1024.229,24.23,0.24,0.24,2.59,97.94,7.089,NA,7.105,7.106
"24","2021/01/21","12:27:39",-0.125,21.119,34.685,48.666,53208.848,1024.221,24.222,0.24,0.24,2.42,97.88,7.086,NA,7.102,7.103
"25","2021/01/21","12:27:39",-0.125,21.124,34.685,48.67,53207.323,1024.22,24.22,0.24,0.24,2.43,97.96,7.092,7.52,7.109,7.11
"26","2021/01/21","12:27:39",-0.1642,21.121,34.682,48.664,53204.341,1024.218,24.219,0.22,0.22,2.45,97.93,7.089,7.52,7.106,7.107
"27","2021/01/21","12:27:39",-0.125,21.12,34.67,48.648,53187.828,1024.21,24.21,0.22,0.22,2.28,97.91,7.088,NA,7.105,7.105
"28","2021/01/21","12:27:39",-0.125,21.114,34.683,48.657,53205.875,1024.221,24.221,0.23,0.23,2.43,97.83,7.08,7.53,7.097,7.097
"29","2021/01/21","12:27:39",-0.1446,21.103,34.684,48.648,53209.639,1024.225,24.225,0.22,0.22,2.53,97.9,7.086,7.54,7.102,7.103
"30","2021/01/21","12:27:40",-0.125,21.097,34.697,48.657,53227.865,1024.236,24.237,0.21,0.21,2.5,97.91,7.088,7.52,7.104,7.105
"31","2021/01/21","12:27:40",-0.125,21.096,34.7,48.66,53232.028,1024.238,24.239,0.23,0.23,2.55,97.97,7.091,7.53,7.107,7.108
"32","2021/01/21","12:27:40",-0.125,21.1,34.695,48.658,53224.679,1024.234,24.234,0.23,0.23,NA,98,7.093,7.54,7.11,7.111
"33","2021/01/21","12:27:40",-0.125,21.103,34.694,48.66,53223.826,1024.233,24.233,0.21,0.21,NA,97.98,7.091,7.54,7.108,7.108
"34","2021/01/21","12:27:40",-0.125,21.101,34.699,48.665,53230.878,1024.237,24.237,0.21,0.21,NA,97.97,7.089,7.54,7.105,7.106
"35","2021/01/21","12:27:40",-0.125,21.103,34.701,48.669,53233.549,1024.238,24.239,0.21,0.21,NA,97.99,7.089,7.54,7.106,7.106
"36","2021/01/21","12:27:40",NA,21.11,34.697,48.67,53225.7,1024.233,24.233,0.21,0.21,NA,98.06,7.095,7.53,7.112,7.112
"37","2021/01/21","12:27:40",-0.125,21.116,34.692,48.671,53218.917,1024.228,24.228,0.2,0.2,NA,98.04,7.094,7.53,7.111,7.112
"38","2021/01/21","12:27:40",-0.1446,21.122,34.678,48.66,53197.893,1024.215,24.215,0.2,0.2,NA,98,7.093,7.54,7.11,7.11
"39","2021/01/21","12:27:40",-0.125,21.127,34.676,48.662,53195.073,1024.212,24.213,0.2,0.2,2.48,97.95,7.09,7.53,7.106,7.107
"40","2021/01/21","12:27:41",-0.1446,21.134,34.675,48.668,53191.698,1024.209,24.21,0.2,0.2,2.28,97.81,7.08,7.54,7.097,7.097
"41","2021/01/21","12:27:41",-0.125,21.135,34.673,48.667,53189.689,1024.208,24.209,0.2,0.2,2.19,97.86,7.084,7.55,7.1,7.101
"42","2021/01/21","12:27:41",-0.1446,21.131,34.68,48.671,53199.82,1024.214,24.215,0.2,0.2,2.2,97.96,7.091,7.55,7.108,7.109
"43","2021/01/21","12:27:41",-0.1446,21.133,34.682,48.676,53202.213,1024.215,24.216,0.19,0.19,2.2,97.98,7.092,7.54,7.108,7.109
"44","2021/01/21","12:27:41",-0.1446,21.135,34.684,48.68,53204.31,1024.216,24.217,0.18,0.18,2.13,97.98,7.092,7.54,7.108,7.109
"45","2021/01/21","12:27:41",-0.1642,21.14,34.683,48.683,53201.343,1024.214,24.214,0.19,0.19,2.08,97.92,7.086,7.54,7.102,7.103
"46","2021/01/21","12:27:41",-0.1446,21.141,34.684,48.687,53203.591,1024.215,24.215,0.18,0.18,2.03,97.93,7.087,7.56,7.103,7.104
"47","2021/01/21","12:27:41",-0.1446,21.141,34.687,48.69,53207.437,1024.217,24.217,0.18,0.18,2.02,97.97,7.089,7.53,7.106,7.107
"48","2021/01/21","12:27:41",-0.1642,21.139,34.687,48.688,53207.515,1024.217,24.218,0.18,0.18,2.03,97.94,7.085,7.55,7.101,7.102
"49","2021/01/21","12:27:41",-0.1642,21.139,34.688,48.689,53208.409,1024.218,24.218,0.18,0.18,2.03,97.98,7.087,7.55,7.103,7.104
"50","2021/01/21","12:27:42",-0.1642,21.136,34.685,48.682,53205.622,1024.217,24.217,0.18,0.18,1.99,98.09,7.094,7.55,7.11,7.111
"51","2021/01/21","12:27:42",-0.1446,21.135,34.685,48.682,53205.328,1024.217,24.217,0.18,0.18,1.96,98.03,7.087,7.55,7.103,7.104
"52","2021/01/21","12:27:42",-0.1446,21.137,34.687,48.685,53207.472,1024.218,24.218,0.19,0.19,1.93,98.02,7.085,7.55,7.102,7.103
"53","2021/01/21","12:27:42",-0.1446,21.139,34.684,48.683,53202.929,1024.215,24.215,0.18,0.18,1.95,97.98,7.083,7.55,7.099,7.1
"54","2021/01/21","12:27:42",-0.1642,21.139,34.679,48.678,53196.832,1024.211,24.212,0.18,0.18,1.93,97.98,7.083,7.55,7.1,7.101
