"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.14,NA,NA,NA,NA
"2","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.07,NA,NA,NA,NA
"3","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.07,NA,NA,NA,NA
"4","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,98.07,NA,NA,NA,NA
"5","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,98.03,NA,NA,NA,NA
"6","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,98.05,NA,NA,NA,NA
"7","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,97.98,NA,NA,NA,NA
"8","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,97.97,NA,NA,NA,NA
"9","2021/01/21","07:56:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,97.87,NA,NA,NA,NA
"10","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,97.76,NA,NA,NA,NA
"11","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,97.79,NA,NA,NA,NA
"12","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,97.8,NA,NA,NA,NA
"13","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,97.78,NA,NA,NA,NA
"14","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,97.68,NA,NA,NA,NA
"15","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,97.62,NA,NA,NA,NA
"16","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,97.67,NA,NA,NA,NA
"17","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,97.73,NA,NA,NA,NA
"18","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.75,NA,NA,NA,NA
"19","2021/01/21","07:56:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.68,NA,NA,NA,NA
"20","2021/01/21","07:56:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.57,NA,NA,NA,NA
"21","2021/01/21","07:56:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.63,NA,7.52,NA,NA
"22","2021/01/21","07:56:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.67,NA,7.52,NA,NA
"23","2021/01/21","07:56:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,NA,7.53,NA,NA
"24","2021/01/21","07:56:10",-0.1642,NA,NA,NA,NA,NA,NA,0.28,0.28,NA,99.28,NA,7.52,NA,NA
"25","2021/01/21","07:56:10",-0.1642,21.049,NA,NA,NA,NA,NA,0.28,0.28,NA,99.86,7.751,7.53,7.769,7.769
"26","2021/01/21","07:56:10",NA,21.088,NA,NA,NA,NA,NA,0.29,0.29,NA,100.18,7.314,7.55,7.331,7.332
"27","2021/01/21","07:56:10",-0.1446,21.108,NA,NA,NA,NA,NA,0.29,0.29,NA,100.19,7.214,7.53,7.23,7.231
"28","2021/01/21","07:56:10",-0.1446,21.113,34.457,48.374,52897.913,1024.05,24.05,0.31,0.31,0.88,100.38,7.294,7.53,7.311,7.312
"29","2021/01/21","07:56:10",-0.1446,21.113,34.462,48.381,52904.57,1024.053,24.054,0.31,0.31,0.81,100.53,7.302,7.52,7.319,7.32
"30","2021/01/21","07:56:11",-0.1446,21.108,34.472,NA,52918.845,1024.062,24.063,0.28,0.28,0.7,100.67,7.309,7.53,7.326,7.327
"31","2021/01/21","07:56:11",-0.125,21.11,34.472,NA,52918.987,1024.062,24.062,0.28,0.28,0.72,100.64,7.305,7.54,7.322,7.323
"32","2021/01/21","07:56:11",-0.1446,21.111,34.481,NA,52930.553,1024.068,24.069,0.29,0.29,0.71,100.53,7.296,7.54,7.312,7.313
"33","2021/01/21","07:56:11",-0.1446,21.117,34.468,NA,52911.879,1024.057,24.057,0.29,0.29,0.72,100.5,7.293,7.54,7.31,7.311
"34","2021/01/21","07:56:11",-0.1446,21.118,34.471,NA,52916.101,1024.059,24.059,0.28,0.28,0.67,100.37,7.283,7.55,7.3,7.301
"35","2021/01/21","07:56:11",-0.1446,21.122,34.465,NA,52906.691,1024.053,24.053,0.28,0.28,0.63,100.09,7.263,7.55,7.28,7.281
"36","2021/01/21","07:56:11",-0.1446,21.126,34.455,48.385,52892.88,1024.044,24.045,0.28,0.28,0.65,99.86,7.248,7.54,7.265,7.265
"37","2021/01/21","07:56:11",-0.125,21.127,NA,NA,NA,NA,NA,0.28,0.28,0.71,99.6,7.24,7.55,7.256,7.257
"38","2021/01/21","07:56:11",NA,21.121,NA,NA,NA,NA,NA,0.28,0.28,0.98,99.31,8.592,7.55,8.612,8.612
"39","2021/01/21","07:56:11",NA,21.093,NA,NA,NA,NA,NA,0.38,0.38,NA,99.14,NA,7.55,NA,NA
"40","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,98.76,NA,7.55,NA,NA
"41","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.38,NA,7.55,NA,NA
"42","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,0.21,0.21,NA,97.96,NA,7.55,NA,NA
"43","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.63,NA,7.55,NA,NA
"44","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.31,NA,7.55,NA,NA
"45","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.02,8.64,7.55,8.659,8.659
"46","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.78,8.626,7.55,8.644,8.644
"47","2021/01/21","07:56:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.61,8.614,7.55,8.633,8.633
