//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=220       
StartTime=2021/01/21 10:55:48
EndTime=2021/01/21 10:56:09
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/21,10:55:48,-0.2428,20.626,0.028,0.045,49.397,998.095,-1.904,0.22,0.22,0.48,97.53,8.595,7.39,8.614,8.614,
2021/01/21,10:55:48,-0.2428,20.620,0.028,0.045,49.424,998.096,-1.903,0.22,0.22,0.47,97.61,8.601,7.40,8.620,8.620,
2021/01/21,10:55:48,-0.2624,20.615,0.028,0.045,49.390,998.097,-1.902,0.21,0.21,0.47,97.68,8.606,7.43,8.625,8.626,
2021/01/21,10:55:48,-0.2428,20.606,0.028,0.044,49.037,998.099,-1.900,0.21,0.21,0.47,97.54,8.592,7.43,8.611,8.612,
2021/01/21,10:55:48,-0.2624,20.598,0.028,0.044,49.173,998.100,-1.898,0.21,0.21,0.45,97.53,8.588,7.43,8.607,8.607,
2021/01/21,10:55:48,-0.2428,20.596,0.028,0.045,49.337,998.101,-1.898,0.20,0.20,0.45,97.57,8.591,7.44,8.610,8.611,
2021/01/21,10:55:48,-0.2624,20.594,0.028,0.045,49.412,998.101,-1.898,0.20,0.20,0.44,97.50,8.584,7.44,8.603,8.603,
2021/01/21,10:55:48,-0.2428,20.596,0.028,0.044,49.221,998.101,-1.898,0.19,0.19,0.44,97.70,8.603,7.43,8.621,8.622,
2021/01/21,10:55:48,-0.2624,20.596,0.028,0.044,49.200,998.101,-1.898,0.18,0.18,0.43,97.60,8.594,7.46,8.613,8.613,
2021/01/21,10:55:48,-0.2428,20.596,0.028,0.044,48.767,998.101,-1.898,0.18,0.18,0.43,97.58,8.591,7.47,8.610,8.610,
2021/01/21,10:55:49,-0.2624,20.596,0.028,0.044,49.066,998.101,-1.898,0.18,0.18,0.43,97.59,8.594,7.47,8.613,8.613,
2021/01/21,10:55:49,-0.2624,20.597,0.028,0.045,49.389,998.101,-1.898,0.18,0.18,0.41,97.61,8.596,7.48,8.615,8.616,
2021/01/21,10:55:49,-0.2428,20.601,0.028,0.044,49.016,998.100,-1.899,0.17,0.17,0.41,97.61,8.597,7.48,8.616,8.616,
2021/01/21,10:55:49,-0.2624,20.604,0.028,0.044,49.013,998.099,-1.900,0.17,0.17,0.40,97.69,8.605,7.50,8.624,8.625,
2021/01/21,10:55:49,-0.2624,20.606,0.028,0.044,49.068,998.099,-1.900,0.16,0.16,0.40,97.57,8.595,7.50,8.614,8.614,
2021/01/21,10:55:49,-0.2624,20.610,0.028,0.044,49.189,998.098,-1.901,0.16,0.16,0.40,97.58,8.596,7.50,8.615,8.615,
2021/01/21,10:55:49,-0.2624,20.612,0.028,0.044,48.995,998.097,-1.902,0.15,0.15,0.40,97.73,8.609,7.49,8.628,8.628,
2021/01/21,10:55:49,-0.2624,20.612,0.028,0.044,48.806,998.097,-1.902,0.21,0.21,1.24,97.80,8.616,7.50,8.635,8.636,
2021/01/21,10:55:49,-0.2624,20.613,0.028,0.044,48.884,998.097,-1.902,0.45,0.45,2.46,97.64,8.602,7.50,8.621,8.622,
2021/01/21,10:55:49,-0.2624,20.607,0.028,0.044,49.080,998.098,-1.900,0.57,0.57,3.34,97.61,8.601,7.51,8.620,8.620,
2021/01/21,10:55:50,-0.2624,20.601,0.028,0.044,49.183,998.100,-1.899,0.62,0.62,3.43,97.62,8.601,7.53,8.620,8.620,
2021/01/21,10:55:50,-0.2624,20.596,0.028,0.044,49.157,998.101,-1.898,0.68,0.68,2.72,97.59,8.597,7.49,8.615,8.616,
2021/01/21,10:55:50,-0.2624,20.592,0.028,0.044,49.031,998.102,-1.897,0.67,0.67,2.13,97.63,8.600,7.49,8.619,8.619,
2021/01/21,10:55:50,-0.2624,20.586,0.028,0.044,49.211,998.103,-1.896,0.56,0.56,1.75,97.60,8.595,7.52,8.614,8.614,
2021/01/21,10:55:50,-0.2624,20.572,0.028,0.045,49.422,998.106,-1.893,0.53,0.53,1.81,97.66,8.599,7.51,8.617,8.618,
2021/01/21,10:55:50,-0.2624,20.555,0.028,0.044,49.241,998.109,-1.889,0.58,0.58,3.07,97.53,8.585,7.52,8.604,8.604,
2021/01/21,10:55:50,-0.2624,20.538,0.028,0.045,49.355,998.113,-1.886,0.59,0.59,5.50,97.45,8.576,7.53,8.595,8.595,
2021/01/21,10:55:50,-0.2624,20.527,0.028,0.044,49.084,998.115,-1.883,0.55,0.55,60.30,97.37,8.568,7.53,8.587,8.587,
2021/01/21,10:55:50,-0.2231,20.547,0.079,0.147,162.535,998.150,-1.849,0.12,0.12,242.74,97.10,8.560,7.54,8.578,8.579,
2021/01/21,10:55:50,-0.2035,20.733,22.941,33.293,36742.904,1015.408,15.409,0.32,0.32,52.19,96.83,7.494,7.54,7.512,7.512,
2021/01/21,10:55:51,-0.2035,20.871,33.929,47.472,52215.583,1023.713,23.714,0.38,0.38,12.80,97.16,7.063,7.53,7.079,7.080,
2021/01/21,10:55:51,-0.1839,20.956,32.467,45.722,50187.246,1022.578,22.578,0.39,0.39,4.06,97.41,7.148,7.54,7.164,7.165,
2021/01/21,10:55:51,-0.1839,21.012,32.414,45.709,50104.727,1022.522,22.523,0.39,0.39,1.95,97.49,7.159,7.55,7.176,7.176,
2021/01/21,10:55:51,-0.1839,21.045,32.388,45.707,50063.475,1022.494,22.494,0.40,0.40,1.42,97.36,7.151,7.54,7.167,7.168,
2021/01/21,10:55:51,-0.1642,21.062,32.386,45.722,50059.130,1022.488,22.489,0.38,0.38,1.22,97.42,7.155,7.54,7.171,7.172,
2021/01/21,10:55:51,-0.1839,21.070,32.380,45.722,50048.902,1022.481,22.482,0.38,0.38,1.07,97.23,7.141,7.54,7.157,7.158,
2021/01/21,10:55:51,-0.1642,21.074,32.396,45.747,50070.695,1022.492,22.493,0.38,0.38,1.01,97.14,7.133,7.55,7.149,7.150,
2021/01/21,10:55:51,-0.1642,21.075,32.380,45.726,50048.020,1022.480,22.480,0.38,0.38,0.97,96.93,7.116,7.54,7.133,7.134,
2021/01/21,10:55:51,-0.1642,21.078,32.372,45.720,50037.012,1022.473,22.474,0.36,0.36,0.95,96.70,7.100,7.55,7.117,7.117,
2021/01/21,10:55:51,-0.1839,21.084,32.364,45.714,50024.345,1022.465,22.466,0.38,0.38,0.98,96.47,7.083,7.55,7.099,7.100,
2021/01/21,10:55:52,-0.1839,21.090,32.353,45.707,50008.438,1022.455,22.456,0.38,0.38,1.02,96.22,7.065,7.55,7.081,7.082,
2021/01/21,10:55:52,-0.1642,21.097,32.361,45.724,50018.926,1022.460,22.460,0.36,0.36,1.11,95.95,7.045,7.55,7.061,7.062,
2021/01/21,10:55:52,-0.1642,21.111,32.340,45.710,49987.191,1022.440,22.440,0.37,0.37,1.08,95.68,7.025,7.55,7.041,7.042,
2021/01/21,10:55:52,-0.1642,21.123,32.321,45.698,49959.033,1022.422,22.423,0.38,0.38,0.98,95.43,7.007,7.56,7.023,7.024,
2021/01/21,10:55:52,-0.1839,21.131,32.310,45.692,49942.285,1022.411,22.412,0.37,0.37,0.95,95.23,6.992,7.55,7.009,7.009,
2021/01/21,10:55:52,-0.1642,21.133,32.301,45.682,49930.594,1022.405,22.405,0.37,0.37,0.92,94.88,6.966,7.55,6.983,6.983,
2021/01/21,10:55:52,-0.1642,21.132,32.304,45.685,49934.492,1022.407,22.408,0.37,0.37,0.92,94.62,6.946,7.55,6.963,6.963,
2021/01/21,10:55:52,-0.1642,21.132,32.297,45.675,49924.282,1022.401,22.402,0.37,0.37,1.01,94.46,6.935,7.56,6.951,6.952,
2021/01/21,10:55:52,-0.1642,21.121,32.313,45.686,49948.717,1022.417,22.417,0.38,0.38,1.01,94.27,6.920,7.56,6.936,6.937,
2021/01/21,10:55:52,-0.1642,21.116,32.324,45.695,49963.818,1022.426,22.427,0.37,0.37,1.00,94.12,6.908,7.55,6.924,6.925,
2021/01/21,10:55:53,-0.1642,21.116,32.327,45.698,49968.126,1022.428,22.429,0.35,0.35,0.98,93.95,6.895,7.56,6.911,6.912,
2021/01/21,10:55:53,-0.1446,21.116,32.325,45.697,49965.960,1022.427,22.428,0.37,0.37,0.97,93.87,6.889,7.55,6.905,6.906,
2021/01/21,10:55:53,-0.1446,21.116,32.330,45.703,49972.744,1022.431,22.432,0.37,0.37,0.95,93.74,6.879,7.57,6.895,6.895,
2021/01/21,10:55:53,-0.1446,21.117,32.335,45.710,49979.637,1022.435,22.435,0.37,0.37,0.92,93.74,6.877,7.55,6.893,6.894,
2021/01/21,10:55:53,-0.1642,21.118,32.336,45.712,49980.402,1022.435,22.435,0.37,0.37,0.95,93.64,6.871,7.55,6.887,6.887,
2021/01/21,10:55:53,-0.1446,21.117,32.333,45.707,49976.259,1022.433,22.433,0.34,0.34,0.92,93.57,6.866,7.56,6.882,6.883,
2021/01/21,10:55:53,-0.1642,21.118,32.339,45.716,49984.885,1022.437,22.438,0.35,0.35,0.92,93.50,6.861,7.56,6.877,6.878,
2021/01/21,10:55:53,-0.1446,21.113,32.342,45.714,49989.702,1022.441,22.442,0.35,0.35,0.94,93.49,6.860,7.55,6.876,6.877,
2021/01/21,10:55:53,-0.1642,21.113,32.338,45.709,49983.813,1022.438,22.438,0.35,0.35,0.88,93.43,6.856,7.57,6.872,6.873,
2021/01/21,10:55:53,-0.1642,21.116,32.339,45.714,49985.597,1022.438,22.439,0.34,0.34,0.84,93.34,6.849,7.56,6.865,6.865,
2021/01/21,10:55:54,-0.1642,21.116,32.336,45.710,49980.899,1022.435,22.436,0.35,0.35,0.82,93.41,6.853,7.56,6.869,6.870,
2021/01/21,10:55:54,-0.1642,21.117,32.331,45.704,49973.578,1022.431,22.432,0.36,0.36,0.85,93.42,6.853,7.57,6.869,6.870,
2021/01/21,10:55:54,-0.1642,21.118,32.324,45.696,49963.668,1022.426,22.426,0.34,0.34,0.87,93.36,6.849,7.55,6.865,6.866,
2021/01/21,10:55:54,-0.1642,21.120,32.319,45.692,49956.417,1022.421,22.422,0.33,0.33,0.87,93.30,6.844,7.55,6.860,6.860,
2021/01/21,10:55:54,-0.1642,21.124,32.309,45.683,49941.957,1022.412,22.413,0.33,0.33,0.81,93.25,6.840,7.55,6.856,6.856,
2021/01/21,10:55:54,-0.1642,21.126,32.309,45.685,49941.438,1022.412,22.413,0.32,0.32,0.85,93.15,6.832,7.55,6.848,6.848,
