//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/01/21 11:14:09
EndTime=2021/01/21 11:14:28
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/21,11:14:09,-0.2231,20.912,0.029,0.046,50.014,998.034,-1.965,0.08,0.08,0.47,99.61,8.718,7.40,8.738,8.738,
2021/01/21,11:14:09,-0.2428,20.917,0.029,0.046,50.170,998.033,-1.966,0.08,0.08,0.45,99.57,8.714,7.39,8.733,8.734,
2021/01/21,11:14:09,-0.2428,20.918,0.029,0.046,50.488,998.032,-1.967,0.07,0.07,0.45,99.57,8.714,7.43,8.733,8.734,
2021/01/21,11:14:09,-0.2428,20.921,0.029,0.046,50.515,998.032,-1.967,0.07,0.07,0.44,99.59,8.717,7.40,8.736,8.736,
2021/01/21,11:14:09,-0.2231,20.929,0.029,0.046,50.127,998.030,-1.969,0.07,0.07,0.44,99.45,8.705,7.43,8.724,8.725,
2021/01/21,11:14:09,-0.2428,20.938,0.029,0.046,50.267,998.028,-1.971,0.07,0.07,0.44,99.41,8.702,7.43,8.722,8.722,
2021/01/21,11:14:09,-0.2624,20.947,0.029,0.046,50.350,998.026,-1.973,0.06,0.06,0.43,99.59,8.720,7.42,8.739,8.739,
2021/01/21,11:14:09,-0.2428,20.952,0.029,0.046,50.196,998.025,-1.974,0.06,0.06,0.43,99.61,8.722,7.47,8.741,8.742,
2021/01/21,11:14:09,-0.2428,20.948,0.029,0.046,50.177,998.026,-1.973,0.06,0.06,0.43,99.61,8.720,7.45,8.740,8.740,
2021/01/21,11:14:09,-0.2428,20.944,0.029,0.046,50.297,998.027,-1.972,0.06,0.06,0.41,99.66,8.723,7.47,8.743,8.743,
2021/01/21,11:14:10,-0.2428,20.941,0.029,0.046,50.036,998.027,-1.972,0.06,0.06,0.40,99.50,8.710,7.47,8.729,8.729,
2021/01/21,11:14:10,-0.2428,20.941,0.029,0.046,50.246,998.027,-1.972,0.05,0.05,0.41,99.39,8.700,7.48,8.719,8.719,
2021/01/21,11:14:10,-0.2428,20.938,0.029,0.045,49.908,998.028,-1.971,0.05,0.05,0.40,99.45,8.706,7.47,8.725,8.726,
2021/01/21,11:14:10,-0.2428,20.928,0.029,0.046,50.429,998.030,-1.969,0.05,0.05,0.40,99.36,8.700,7.48,8.719,8.719,
2021/01/21,11:14:10,-0.2624,20.920,0.029,0.046,50.259,998.032,-1.967,0.02,0.02,11.26,99.35,8.701,7.48,8.721,8.721,
2021/01/21,11:14:10,-0.2428,20.913,0.029,0.046,50.275,998.033,-1.966,0.02,0.02,34.90,99.35,8.701,7.48,8.720,8.721,
