//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/01/21 10:44:30
EndTime=2021/01/21 10:44:47
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/21,10:44:30,-0.2428,21.052,0.028,0.044,48.239,998.003,-1.996,-0.09,-0.09,163.93,94.41,8.234,7.39,8.252,8.253,
2021/01/21,10:44:30,-0.2035,21.041,20.617,30.418,33320.299,1013.572,13.572,0.11,0.11,130.46,94.65,7.355,7.40,7.373,7.373,
2021/01/21,10:44:30,-0.1642,21.082,35.634,49.811,54509.290,1024.954,24.954,0.35,0.35,29.36,95.36,6.816,7.42,6.833,6.834,
2021/01/21,10:44:30,-0.1642,21.144,34.838,48.881,53412.968,1024.331,24.331,0.41,0.41,7.91,96.04,6.911,7.43,6.927,6.928,
2021/01/21,10:44:30,-0.1642,21.192,34.804,48.888,53358.387,1024.292,24.292,0.42,0.42,3.00,96.51,6.954,7.42,6.971,6.972,
2021/01/21,10:44:30,-0.1642,21.217,34.779,48.883,53320.587,1024.266,24.267,0.41,0.41,1.83,96.92,6.988,7.46,7.004,7.005,
2021/01/21,10:44:30,-0.1839,21.236,34.766,48.886,53299.433,1024.251,24.252,0.42,0.42,1.46,97.20,7.010,7.43,7.027,7.028,
2021/01/21,10:44:30,-0.1642,21.250,34.765,48.898,53294.890,1024.246,24.247,0.41,0.41,1.29,97.24,7.014,7.47,7.031,7.032,
2021/01/21,10:44:30,-0.1642,21.258,34.751,48.889,53275.255,1024.234,24.234,0.40,0.40,1.38,97.41,7.027,7.46,7.044,7.045,
2021/01/21,10:44:30,-0.1446,21.267,34.742,48.886,53260.572,1024.224,24.224,0.39,0.39,1.34,97.55,7.038,7.45,7.055,7.056,
2021/01/21,10:44:31,-0.1642,21.273,34.738,48.888,53254.223,1024.219,24.220,0.38,0.38,1.17,97.65,7.046,7.46,7.063,7.064,
2021/01/21,10:44:31,-0.1446,21.279,34.734,48.889,53247.852,1024.214,24.215,0.38,0.38,1.17,97.65,7.046,7.47,7.062,7.063,
2021/01/21,10:44:31,-0.1446,21.295,34.730,48.901,53240.108,1024.207,24.208,0.39,0.39,1.17,97.59,7.041,7.49,7.058,7.059,
2021/01/21,10:44:31,-0.1446,21.307,34.712,48.890,53213.433,1024.190,24.191,0.38,0.38,1.05,97.53,7.037,7.48,7.054,7.055,
2021/01/21,10:44:31,-0.1446,21.319,34.696,48.881,53189.317,1024.175,24.175,0.38,0.38,1.07,97.47,7.033,7.50,7.050,7.051,
2021/01/21,10:44:31,-0.1446,21.328,34.661,48.847,53139.686,1024.145,24.146,0.39,0.39,1.05,97.55,7.040,7.49,7.057,7.058,
2021/01/21,10:44:31,-0.1446,21.329,34.677,48.868,53162.519,1024.158,24.159,0.38,0.38,1.00,97.51,7.037,7.49,7.053,7.054,
2021/01/21,10:44:31,-0.1446,21.328,34.684,48.876,53171.212,1024.163,24.164,0.38,0.38,1.00,97.49,7.034,7.50,7.051,7.051,
2021/01/21,10:44:31,-0.1446,21.326,34.695,48.888,53186.354,1024.172,24.172,0.38,0.38,1.01,97.37,7.024,7.51,7.040,7.041,
2021/01/21,10:44:31,-0.1446,21.325,34.693,48.885,53184.893,1024.171,24.172,0.38,0.38,0.98,97.41,7.026,7.49,7.042,7.043,
2021/01/21,10:44:32,-0.1446,21.325,34.700,48.893,53194.153,1024.176,24.177,0.38,0.38,1.00,97.35,7.020,7.51,7.037,7.038,
