"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,97.58,NA,NA,NA,NA
"2","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,97.57,NA,NA,NA,NA
"3","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,97.63,NA,NA,NA,NA
"4","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,97.47,NA,NA,NA,NA
"5","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,97.47,NA,NA,NA,NA
"6","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,97.62,NA,NA,NA,NA
"7","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.56,NA,NA,NA,NA
"8","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.73,NA,NA,NA,NA
"9","2021/02/04","09:51:23",NA,NA,NA,NA,NA,NA,NA,0.16,0.16,0.6,97.71,NA,NA,NA,NA
"10","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,NA,NA,NA,NA
"11","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.81,NA,NA,NA,NA
"12","2021/02/04","09:51:24",-0.2624,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.84,NA,NA,NA,NA
"13","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.75,NA,NA,NA,NA
"14","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,0.12,0.12,0.7,97.76,NA,NA,NA,NA
"15","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.76,NA,NA,NA,NA
"16","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.84,NA,NA,NA,NA
"17","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.73,NA,NA,NA,NA
"18","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.64,NA,NA,NA,NA
"19","2021/02/04","09:51:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.65,NA,NA,NA,NA
"20","2021/02/04","09:51:25",-0.2624,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.71,NA,NA,NA,NA
"21","2021/02/04","09:51:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.82,NA,NA,NA,NA
