"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/04","09:39:38",NA,NA,NA,NA,NA,NA,NA,0.13,0.13,NA,NA,NA,NA,NA,NA
"2","2021/02/04","09:39:38",-0.2035,NA,NA,NA,NA,NA,NA,0.13,0.13,NA,NA,NA,NA,NA,NA
"3","2021/02/04","09:39:38",-0.2035,NA,NA,NA,NA,NA,NA,0.13,0.13,NA,NA,NA,NA,NA,NA
"4","2021/02/04","09:39:38",-0.1839,NA,NA,NA,NA,NA,NA,0.13,0.13,NA,NA,NA,NA,NA,NA
"5","2021/02/04","09:39:38",-0.1839,NA,NA,NA,NA,NA,NA,0.12,0.12,NA,NA,NA,NA,NA,NA
"6","2021/02/04","09:39:38",-0.1839,NA,34.052,45.217,52845.392,1024.437,24.438,0.12,0.12,NA,NA,NA,NA,NA,NA
"7","2021/02/04","09:39:38",-0.1642,NA,34.051,45.22,52843.034,1024.435,24.436,0.14,0.14,NA,NA,NA,NA,NA,NA
"8","2021/02/04","09:39:38",-0.1642,NA,34.055,45.223,52849.774,1024.439,24.44,0.13,0.13,1.46,NA,NA,NA,NA,NA
"9","2021/02/04","09:39:38",-0.1642,NA,34.057,45.218,52853.736,1024.442,24.443,0.13,0.13,NA,NA,NA,NA,NA,NA
"10","2021/02/04","09:39:39",-0.1642,NA,34.066,45.22,NA,NA,NA,0.13,0.13,1.46,NA,NA,NA,NA,NA
"11","2021/02/04","09:39:39",-0.1839,NA,34.066,45.218,NA,NA,NA,0.13,0.13,NA,NA,NA,NA,NA,NA
"12","2021/02/04","09:39:39",-0.1642,NA,34.064,45.222,52864.623,NA,NA,0.14,0.14,1.55,NA,NA,NA,NA,NA
"13","2021/02/04","09:39:39",-0.1839,NA,34.058,45.22,52854.777,1024.443,24.443,0.14,0.14,1.54,NA,NA,NA,NA,NA
"14","2021/02/04","09:39:39",-0.1642,NA,34.05,45.22,52841.582,1024.434,24.435,NA,NA,1.56,NA,NA,NA,NA,NA
"15","2021/02/04","09:39:39",-0.1642,18.45,34.042,45.217,52829.431,1024.427,24.427,0.14,0.14,1.59,NA,NA,NA,NA,NA
"16","2021/02/04","09:39:39",-0.1642,18.451,34.044,45.22,52831.928,1024.428,24.429,NA,NA,1.62,NA,NA,NA,NA,NA
"17","2021/02/04","09:39:39",-0.1446,18.45,34.044,45.219,52832.551,1024.428,24.429,NA,NA,1.64,NA,NA,NA,NA,NA
"18","2021/02/04","09:39:39",-0.1642,18.453,34.043,45.221,52830.168,1024.427,24.427,0.13,0.13,1.69,NA,NA,NA,NA,NA
"19","2021/02/04","09:39:39",-0.1642,18.454,34.042,45.22,52827.977,1024.425,24.426,0.14,0.14,1.71,NA,NA,NA,NA,NA
"20","2021/02/04","09:39:40",-0.1446,18.454,34.042,45.22,52828.386,1024.426,24.426,0.14,0.14,1.68,NA,NA,NA,NA,NA
"21","2021/02/04","09:39:40",-0.1839,18.452,34.039,45.215,52824.836,1024.424,24.425,0.14,0.14,1.71,NA,NA,NA,NA,NA
"22","2021/02/04","09:39:40",-0.1446,18.453,34.039,45.216,52825.121,1024.424,24.425,0.14,0.14,1.75,NA,NA,7.49,NA,NA
"23","2021/02/04","09:39:40",-0.1642,18.454,34.039,45.216,52823.848,1024.423,24.424,0.13,0.13,1.79,NA,NA,NA,NA,NA
"24","2021/02/04","09:39:40",-0.1446,18.455,34.038,45.216,52822.262,1024.422,24.423,0.12,0.12,1.81,NA,NA,7.49,NA,NA
"25","2021/02/04","09:39:40",-0.1642,18.456,34.037,45.217,52821.702,1024.422,24.422,0.13,0.13,1.78,NA,NA,7.5,NA,NA
"26","2021/02/04","09:39:40",-0.1642,18.457,34.037,45.217,52820.81,1024.421,24.422,0.13,0.13,1.78,NA,NA,7.5,NA,NA
"27","2021/02/04","09:39:40",-0.1642,18.457,34.039,45.22,52823.641,1024.423,24.423,NA,NA,1.72,NA,NA,7.53,NA,NA
"28","2021/02/04","09:39:40",-0.1642,18.457,34.038,45.219,52823.108,1024.422,24.423,NA,NA,1.68,92.12,7.04,7.5,7.053,NA
"29","2021/02/04","09:39:40",-0.1642,18.457,34.037,45.218,52821.142,1024.421,24.422,0.14,0.14,1.65,91.91,7.024,7.49,7.037,7.037
"30","2021/02/04","09:39:41",-0.1642,18.457,34.038,45.219,52822.394,1024.422,24.422,0.13,0.13,1.71,91.74,7.011,7.51,7.024,7.024
"31","2021/02/04","09:39:41",-0.1642,18.457,34.036,45.217,52819.36,1024.42,24.421,0.13,0.13,1.75,91.58,6.998,7.5,7.011,7.012
"32","2021/02/04","09:39:41",-0.1642,18.457,34.037,45.218,52821.138,1024.421,24.422,0.12,0.12,1.78,91.47,6.99,7.5,7.003,7.004
"33","2021/02/04","09:39:41",-0.1642,18.455,34.04,45.219,52825.241,1024.424,24.424,0.13,0.13,1.78,91.39,6.984,7.51,6.996,6.997
"34","2021/02/04","09:39:41",-0.1642,18.455,34.04,45.219,52825.978,1024.424,24.425,0.13,0.13,1.69,91.26,6.973,7.52,6.986,6.986
"35","2021/02/04","09:39:41",-0.1642,18.455,34.041,45.22,52826.982,1024.425,24.425,0.13,0.13,1.69,91.07,6.959,7.51,6.971,6.972
"36","2021/02/04","09:39:41",-0.1642,18.455,34.042,45.221,52828.356,1024.425,24.426,0.12,0.12,1.68,90.92,6.946,7.52,6.959,6.96
"37","2021/02/04","09:39:41",-0.1642,18.453,34.043,45.221,52830.097,1024.427,24.427,0.12,0.12,1.69,90.84,6.94,7.49,6.953,6.954
"38","2021/02/04","09:39:41",-0.1642,18.453,34.043,45.221,52829.398,1024.426,24.427,0.12,0.12,1.78,90.84,6.941,7.49,6.954,6.954
"39","2021/02/04","09:39:41",-0.1446,18.455,34.041,45.221,52826.934,1024.425,24.425,0.13,0.13,1.89,90.73,6.932,7.51,6.945,6.946
"40","2021/02/04","09:39:42",-0.1446,18.456,34.041,45.222,52826.608,1024.424,24.425,0.14,0.14,NA,90.6,6.922,7.53,6.935,6.936
"41","2021/02/04","09:39:42",-0.1446,18.457,34.04,45.221,52824.822,1024.423,24.424,0.14,0.14,NA,90.53,6.917,7.52,6.93,6.931
"42","2021/02/04","09:39:42",-0.1446,18.457,34.04,45.221,52824.582,1024.423,24.424,0.13,0.13,NA,90.43,6.91,7.54,6.923,6.923
"43","2021/02/04","09:39:42",-0.1446,18.457,34.041,45.222,52826.7,1024.424,24.425,0.13,0.13,NA,90.37,6.905,7.52,6.918,6.918
"44","2021/02/04","09:39:42",-0.1446,18.457,34.041,45.222,52826.416,1024.424,24.425,0.13,0.13,NA,90.34,6.903,7.52,6.916,6.916
"45","2021/02/04","09:39:42",-0.1446,18.457,34.043,45.225,52829.693,1024.426,24.427,0.13,0.13,1.93,90.27,6.898,7.51,6.911,6.911
"46","2021/02/04","09:39:42",-0.1642,18.457,34.042,45.223,52827.537,1024.425,24.425,0.13,0.13,1.86,90.15,6.888,7.52,6.901,6.901
"47","2021/02/04","09:39:42",-0.1642,18.458,34.044,45.227,52830.634,1024.426,24.427,0.13,0.13,1.78,90.15,6.888,7.52,6.901,6.902
"48","2021/02/04","09:39:42",-0.1446,18.458,34.042,45.225,52827.64,1024.425,24.425,0.12,0.12,1.75,90.04,6.88,7.53,6.893,6.893
"49","2021/02/04","09:39:42",-0.1446,18.459,34.043,45.227,52829.559,1024.426,24.426,0.12,0.12,1.72,90.04,6.88,7.53,6.893,6.893
"50","2021/02/04","09:39:43",-0.1642,18.457,34.046,45.228,52832.911,1024.428,24.428,0.11,0.11,1.71,89.99,6.876,7.51,6.889,6.889
"51","2021/02/04","09:39:43",-0.1642,18.457,34.046,45.229,52833.382,1024.428,24.429,0.11,0.11,1.69,89.97,6.874,7.52,6.887,6.888
"52","2021/02/04","09:39:43",-0.1642,18.458,34.043,45.226,52829.002,1024.425,24.426,0.11,0.11,1.68,89.99,6.876,7.52,6.888,6.889
"53","2021/02/04","09:39:43",-0.1642,18.459,34.043,45.227,52829.345,1024.425,24.426,0.11,0.11,1.76,89.97,6.875,7.53,6.887,6.888
"54","2021/02/04","09:39:43",-0.1642,18.459,34.045,45.229,52831.954,1024.427,24.428,0.11,0.11,1.75,89.89,6.868,7.52,6.881,6.881
"55","2021/02/04","09:39:43",-0.1642,18.459,34.043,45.227,52829.511,1024.425,24.426,0.12,0.12,1.75,89.88,6.868,7.53,6.881,6.881
"56","2021/02/04","09:39:43",-0.1446,18.458,34.045,45.228,52832.072,1024.427,24.428,0.12,0.12,1.75,89.93,6.871,7.53,6.884,6.884
"57","2021/02/04","09:39:43",-0.1446,18.458,34.046,45.229,52833.023,1024.428,24.428,0.12,0.12,1.75,89.81,6.862,7.51,6.875,6.876
"58","2021/02/04","09:39:43",-0.1642,18.458,34.046,45.229,52832.875,1024.427,24.428,0.12,0.12,1.76,89.74,6.857,7.54,6.869,6.87
"59","2021/02/04","09:39:43",-0.1642,18.457,34.048,45.231,52836.132,1024.429,24.43,0.12,0.12,1.73,89.75,6.858,7.52,6.87,6.871
"60","2021/02/04","09:39:44",-0.1446,18.457,34.048,45.231,52836.762,1024.43,24.43,0.13,0.13,1.75,89.7,6.854,7.53,6.866,6.867
"61","2021/02/04","09:39:44",-0.1642,18.457,34.05,45.233,52838.248,1024.431,24.431,0.12,0.12,1.88,89.73,6.855,7.54,6.868,6.869
"62","2021/02/04","09:39:44",-0.1642,18.457,34.049,45.232,52838.28,1024.431,24.431,0.13,0.13,1.89,89.65,6.85,7.53,6.863,6.863
"63","2021/02/04","09:39:44",-0.1642,18.456,34.05,45.233,52839.709,1024.431,24.432,NA,NA,1.81,89.59,6.845,7.53,6.858,6.858
"64","2021/02/04","09:39:44",-0.1642,18.457,34.052,45.234,52841.283,1024.432,24.433,NA,NA,1.78,89.52,6.84,7.53,6.852,6.853
"65","2021/02/04","09:39:44",-0.1642,18.457,34.05,45.232,52838.501,1024.431,24.431,0.13,0.13,1.81,89.56,6.843,7.54,6.856,6.856
"66","2021/02/04","09:39:44",-0.1642,18.456,34.05,45.232,52838.995,1024.431,24.432,0.14,0.14,1.82,89.59,6.845,7.53,6.858,6.858
"67","2021/02/04","09:39:44",-0.1642,18.456,34.05,45.233,52839.145,1024.431,24.432,0.12,0.12,1.79,89.58,6.845,7.53,6.858,6.858
"68","2021/02/04","09:39:44",-0.1642,18.457,34.049,45.232,52837.942,1024.43,24.431,0.13,0.13,1.72,89.49,6.837,7.54,6.85,6.85
"69","2021/02/04","09:39:44",-0.1642,18.458,34.049,45.232,52836.853,1024.43,24.43,0.14,0.14,1.75,89.48,6.837,7.51,6.849,6.85
"70","2021/02/04","09:39:45",-0.1446,18.458,34.048,45.232,52836.502,1024.43,24.43,0.13,0.13,1.81,89.43,6.833,7.54,6.846,6.846
"71","2021/02/04","09:39:45",-0.1642,18.457,34.049,45.232,52837.769,1024.43,24.431,0.13,0.13,1.76,89.44,6.833,7.54,6.846,6.847
"72","2021/02/04","09:39:45",-0.1642,18.456,34.051,45.233,52840.273,1024.432,24.433,0.12,0.12,1.76,89.46,6.835,7.54,6.848,6.848
"73","2021/02/04","09:39:45",-0.1642,18.456,34.051,45.233,52840.403,1024.432,24.433,0.11,0.11,1.82,89.46,6.835,7.54,6.847,6.848
"74","2021/02/04","09:39:45",-0.1642,18.456,34.05,45.231,52838.839,1024.431,24.432,0.11,0.11,1.76,89.42,6.832,7.53,6.844,6.845
"75","2021/02/04","09:39:45",-0.1642,18.454,34.053,45.234,52843.885,1024.434,24.435,0.11,0.11,1.72,89.37,6.828,7.55,6.84,6.841
"76","2021/02/04","09:39:45",-0.1642,18.454,34.055,45.236,52846.762,1024.436,24.436,0.13,0.13,1.71,89.4,6.83,7.53,6.843,6.843
"77","2021/02/04","09:39:45",-0.1446,18.453,34.057,45.238,52849.623,1024.437,24.438,0.13,0.13,1.69,89.34,6.825,7.55,6.837,6.838
"78","2021/02/04","09:39:45",-0.1642,18.454,34.056,45.237,52848.172,1024.436,24.437,0.13,0.13,1.71,89.31,6.822,7.53,6.835,6.836
"79","2021/02/04","09:39:45",-0.1642,18.454,34.055,45.236,52846.288,1024.435,24.436,0.13,0.13,1.71,89.31,6.822,7.55,6.835,6.835
"80","2021/02/04","09:39:46",-0.1642,18.454,34.056,45.237,52848.138,1024.436,24.437,0.13,0.13,1.79,89.29,6.821,7.53,6.834,6.834
"81","2021/02/04","09:39:46",-0.1839,18.454,34.055,45.236,52846.049,1024.435,24.436,0.13,0.13,1.79,89.25,6.818,7.53,6.831,6.831
"82","2021/02/04","09:39:46",-0.1642,18.454,34.056,45.237,52847.781,1024.436,24.437,0.13,0.13,1.76,89.26,6.819,7.54,6.831,6.832
"83","2021/02/04","09:39:46",-0.1642,18.455,34.055,45.237,52847.013,1024.436,24.436,0.11,0.11,1.73,89.2,6.814,7.54,6.827,6.827
"84","2021/02/04","09:39:46",-0.1642,18.455,34.056,45.238,52847.884,1024.436,24.437,0.11,0.11,1.72,89.17,6.812,7.54,6.824,6.825
"85","2021/02/04","09:39:46",-0.1642,18.456,34.055,45.238,52845.975,1024.435,24.436,0.12,0.12,1.69,89.12,6.808,7.54,6.82,6.821
"86","2021/02/04","09:39:46",-0.1642,18.458,34.052,45.236,52841.303,1024.432,24.433,0.13,0.13,1.72,89.22,6.816,7.54,6.829,6.829
"87","2021/02/04","09:39:46",-0.1642,18.46,34.052,45.238,52840.661,1024.432,24.432,0.12,0.12,1.79,89.18,6.813,7.55,6.826,6.826
"88","2021/02/04","09:39:46",-0.1642,18.461,34.049,45.236,52837.247,1024.429,24.43,0.14,0.14,1.72,89.19,6.813,7.53,6.826,6.826
"89","2021/02/04","09:39:46",-0.1642,18.462,34.05,45.238,52838.084,1024.43,24.431,0.14,0.14,1.65,89.16,6.811,7.55,6.824,6.824
"90","2021/02/04","09:39:47",-0.1642,18.462,34.049,45.237,52837.199,1024.429,24.43,0.13,0.13,1.65,89.12,6.808,7.52,6.82,6.821
"91","2021/02/04","09:39:47",-0.1642,18.461,34.05,45.237,52838.064,1024.43,24.431,0.14,0.14,1.66,89.13,6.809,7.54,6.821,6.822
"92","2021/02/04","09:39:47",-0.1642,18.462,34.049,45.236,52836.015,1024.429,24.429,0.12,0.12,1.68,89.13,6.809,7.54,6.821,6.822
"93","2021/02/04","09:39:47",-0.1642,18.462,34.049,45.236,52836.004,1024.429,24.429,0.12,0.12,1.66,89.09,6.806,7.54,6.818,6.819
"94","2021/02/04","09:39:47",-0.1642,18.462,34.05,45.237,52837.821,1024.43,24.43,0.13,0.13,1.66,89.13,6.809,7.54,6.822,6.822
"95","2021/02/04","09:39:47",-0.1642,18.461,34.051,45.239,52839.575,1024.431,24.431,0.13,0.13,1.65,89.07,6.804,7.54,6.817,6.817
"96","2021/02/04","09:39:47",-0.1642,18.462,34.051,45.238,52838.931,1024.43,24.431,0.13,0.13,1.64,89.07,6.805,7.52,6.817,6.818
"97","2021/02/04","09:39:47",-0.1642,18.461,34.05,45.237,52837.46,1024.43,24.43,0.12,0.12,1.64,89.04,6.802,7.53,6.815,6.815
"98","2021/02/04","09:39:47",-0.1839,18.461,34.052,45.238,52840.337,1024.431,24.432,0.13,0.13,1.65,89,6.799,7.53,6.812,6.812
"99","2021/02/04","09:39:47",-0.1642,18.46,34.053,45.239,52842.238,1024.432,24.433,0.12,0.12,1.65,89.05,6.803,7.54,6.815,6.816
"100","2021/02/04","09:39:48",-0.1642,18.459,34.053,45.239,52843.24,1024.433,24.434,0.12,0.12,1.65,89.02,6.801,7.52,6.813,6.814
"101","2021/02/04","09:39:48",-0.1642,18.459,34.055,45.241,52845.449,1024.434,24.435,0.12,0.12,1.65,89.07,6.804,7.55,6.817,6.817
"102","2021/02/04","09:39:48",-0.1642,18.459,34.054,45.239,52843.386,1024.433,24.434,0.13,0.13,1.65,88.95,6.795,7.54,6.808,6.808
"103","2021/02/04","09:39:48",-0.1642,18.46,34.053,45.24,52842.812,1024.433,24.433,0.12,0.12,1.66,88.99,6.798,7.54,6.811,6.811
"104","2021/02/04","09:39:48",-0.1839,18.46,34.052,45.239,52841.238,1024.432,24.432,0.13,0.13,1.68,88.97,6.797,7.55,6.81,6.81
"105","2021/02/04","09:39:48",-0.1642,18.46,34.052,45.239,52841.418,1024.432,24.433,0.13,0.13,1.69,88.83,6.786,7.55,6.799,6.799
"106","2021/02/04","09:39:48",-0.1642,18.461,34.052,45.239,52841.032,1024.432,24.432,0.12,0.12,1.72,88.93,6.794,7.55,6.807,6.807
"107","2021/02/04","09:39:48",-0.1839,18.461,34.052,45.239,52841.152,1024.432,24.432,0.12,0.12,1.75,88.89,6.791,7.55,6.803,6.804
"108","2021/02/04","09:39:48",-0.1642,18.461,34.053,45.24,52842.04,1024.432,24.433,0.13,0.13,1.72,88.89,6.791,7.53,6.803,6.804
"109","2021/02/04","09:39:48",-0.1642,18.46,34.054,45.241,52843.787,1024.433,24.434,0.13,0.13,1.72,88.83,6.786,7.55,6.799,6.799
"110","2021/02/04","09:39:49",-0.1642,18.46,34.055,45.242,52844.595,1024.434,24.434,0.13,0.13,1.75,88.83,6.787,7.54,6.799,6.8
"111","2021/02/04","09:39:49",-0.1642,18.46,34.054,45.241,52844.167,1024.433,24.434,0.12,0.12,1.78,88.86,6.789,7.55,6.801,6.802
"112","2021/02/04","09:39:49",-0.1642,18.46,34.054,45.241,52843.977,1024.433,24.434,0.13,0.13,1.75,88.81,6.785,7.53,6.797,6.798
"113","2021/02/04","09:39:49",-0.1642,18.46,34.054,45.242,52844.444,1024.434,24.434,0.14,0.14,1.78,88.83,6.786,7.54,6.799,6.799
"114","2021/02/04","09:39:49",-0.1642,18.461,34.054,45.242,52843.344,1024.433,24.433,NA,NA,1.91,88.97,6.797,7.55,6.809,6.81
"115","2021/02/04","09:39:49",-0.1839,18.461,34.054,45.242,52844.314,1024.433,24.434,0.13,0.13,1.89,88.87,6.79,7.55,6.802,6.803
"116","2021/02/04","09:39:49",-0.1642,18.461,34.056,45.244,52846.776,1024.435,24.435,0.13,0.13,1.85,88.83,6.786,7.52,6.798,6.799
"117","2021/02/04","09:39:49",-0.1642,18.461,34.056,45.244,52846.861,1024.435,24.435,0.13,0.13,1.83,88.83,6.786,7.55,6.798,6.799
"118","2021/02/04","09:39:49",-0.1642,18.461,34.056,45.244,52845.891,1024.434,24.435,0.12,0.12,1.85,88.82,6.786,7.54,6.798,6.799
"119","2021/02/04","09:39:49",-0.1642,18.462,34.053,45.241,52842.409,1024.432,24.433,0.13,0.13,1.91,88.84,6.787,7.53,6.8,6.8
"120","2021/02/04","09:39:50",-0.1642,18.461,34.057,45.245,52847.157,1024.435,24.436,0.13,0.13,1.95,88.87,6.789,7.53,6.802,6.802
"121","2021/02/04","09:39:50",-0.1839,18.461,34.057,45.246,52848.364,1024.436,24.436,0.12,0.12,1.92,88.87,6.79,7.54,6.802,6.803
"122","2021/02/04","09:39:50",-0.1839,18.461,34.058,45.247,52849.806,1024.436,24.437,0.13,0.13,1.86,88.87,6.789,7.54,6.802,6.802
"123","2021/02/04","09:39:50",-0.1839,18.461,34.058,45.247,52849.662,1024.436,24.437,0.12,0.12,1.79,88.81,6.785,7.55,6.797,6.798
"124","2021/02/04","09:39:50",-0.1642,18.46,34.058,45.246,52849.58,1024.436,24.437,0.12,0.12,1.78,88.8,6.784,7.53,6.797,6.797
"125","2021/02/04","09:39:50",-0.1642,18.461,34.059,45.247,52850.268,1024.437,24.437,0.11,0.11,1.76,88.83,6.786,7.55,6.799,6.799
"126","2021/02/04","09:39:50",-0.1839,18.461,34.058,45.246,52848.572,1024.436,24.436,0.11,0.11,1.76,88.84,6.787,7.54,6.799,6.8
"127","2021/02/04","09:39:50",-0.1642,18.462,34.059,45.249,52850.677,1024.437,24.437,0.11,0.11,1.76,88.76,6.781,7.55,6.794,6.794
"128","2021/02/04","09:39:50",-0.1642,18.462,34.058,45.247,52849.33,1024.436,24.437,0.12,0.12,1.78,88.79,6.783,7.55,6.796,6.797
"129","2021/02/04","09:39:50",-0.1839,18.461,34.06,45.25,52852.461,1024.438,24.439,0.13,0.13,1.79,88.8,6.784,7.54,6.796,6.797
"130","2021/02/04","09:39:51",-0.1642,18.46,34.06,45.248,52851.928,1024.438,24.438,0.12,0.12,1.75,88.72,6.778,7.54,6.79,6.791
"131","2021/02/04","09:39:51",-0.1642,18.46,34.059,45.247,52851.265,1024.437,24.438,0.11,0.11,1.75,88.73,6.778,7.55,6.791,6.791
"132","2021/02/04","09:39:51",-0.1642,18.459,34.061,45.248,52854.383,1024.439,24.44,0.11,0.11,1.76,88.8,6.784,7.55,6.797,6.797
"133","2021/02/04","09:39:51",-0.1839,18.459,34.06,45.247,52852.468,1024.438,24.439,0.12,0.12,1.75,88.72,6.778,7.54,6.791,6.791
"134","2021/02/04","09:39:51",-0.1642,18.459,34.059,45.245,52850.404,1024.437,24.438,0.11,0.11,1.75,88.69,6.776,7.55,6.788,6.789
"135","2021/02/04","09:39:51",-0.1642,18.459,34.06,45.247,52851.843,1024.438,24.438,0.12,0.12,1.76,88.66,6.773,7.55,6.785,6.786
"136","2021/02/04","09:39:51",-0.1642,18.459,34.054,45.24,52844.471,1024.434,24.434,0.11,0.11,1.81,88.71,6.777,7.54,6.79,6.79
"137","2021/02/04","09:39:51",-0.1839,18.461,34.051,45.238,52840.181,1024.431,24.432,0.12,0.12,1.92,88.74,6.78,7.55,6.792,6.793
"138","2021/02/04","09:39:51",-0.1642,18.461,34.059,45.247,52849.959,1024.436,24.437,0.12,0.12,1.96,88.62,6.771,7.54,6.783,6.784
"139","2021/02/04","09:39:51",-0.1839,18.462,34.058,45.247,52849.752,1024.436,24.437,0.13,0.13,1.83,88.67,6.774,7.55,6.787,6.787
"140","2021/02/04","09:39:52",-0.1839,18.461,34.058,45.246,52848.573,1024.436,24.436,0.12,0.12,1.72,88.65,6.773,7.54,6.785,6.786
"141","2021/02/04","09:39:52",-0.1839,18.462,34.053,45.241,52841.688,1024.432,24.433,0.13,0.13,1.64,88.58,6.768,7.54,6.78,6.781
"142","2021/02/04","09:39:52",-0.1839,18.461,34.053,45.241,52842.859,1024.432,24.433,0.12,0.12,1.59,88.62,6.77,7.55,6.782,6.783
"143","2021/02/04","09:39:52",-0.1642,18.461,34.056,45.243,52845.764,1024.434,24.435,0.11,0.11,1.61,88.63,6.77,7.54,6.783,6.783
"144","2021/02/04","09:39:52",-0.1839,18.461,34.055,45.243,52845.575,1024.434,24.435,0.11,0.11,1.62,88.67,6.773,7.54,6.786,6.786
"145","2021/02/04","09:39:52",-0.1642,18.461,34.052,45.24,52841.1,1024.432,24.432,0.11,0.11,1.68,88.66,6.773,7.53,6.785,6.786
"146","2021/02/04","09:39:52",-0.1839,18.462,34.046,45.233,52832.685,1024.427,24.428,0.12,0.12,1.72,88.56,6.766,7.53,6.778,6.779
"147","2021/02/04","09:39:52",-0.1839,18.461,34.045,45.231,52830.915,1024.426,24.427,0.12,0.12,1.79,88.56,6.765,7.54,6.778,6.778
