//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=230       
StartTime=2021/02/04 13:04:53
EndTime=2021/02/04 13:05:15
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/02/04,13:04:53,-0.2231,19.644,0.029,0.046,52.347,998.300,-1.699,-0.04,-0.04,0.09,100.26,8.882,7.37,8.901,8.902,
2021/02/04,13:04:53,-0.2428,19.665,0.029,0.046,51.983,998.295,-1.704,-0.05,-0.05,0.09,100.27,8.889,7.38,8.908,8.909,
2021/02/04,13:04:53,-0.2428,19.683,0.029,0.046,52.318,998.292,-1.707,-0.04,-0.04,0.09,100.15,8.879,7.40,8.898,8.898,
2021/02/04,13:04:53,-0.2428,19.677,0.029,0.046,52.296,998.293,-1.706,-0.04,-0.04,0.09,100.39,8.900,7.39,8.919,8.920,
2021/02/04,13:04:53,-0.2428,19.675,0.029,0.046,52.093,998.293,-1.706,-0.05,-0.05,0.09,100.51,8.913,7.40,8.932,8.933,
2021/02/04,13:04:53,-0.2428,19.664,0.029,0.046,52.218,998.295,-1.704,-0.04,-0.04,0.07,100.44,8.908,7.42,8.927,8.927,
2021/02/04,13:04:53,-0.2428,19.666,0.029,0.046,52.290,998.295,-1.704,-0.04,-0.04,0.09,100.69,8.928,7.42,8.947,8.948,
2021/02/04,13:04:53,-0.2624,19.680,0.029,0.046,51.907,998.292,-1.707,-0.04,-0.04,0.09,100.51,8.912,7.42,8.932,8.932,
2021/02/04,13:04:53,-0.2624,19.696,0.029,0.046,51.827,998.289,-1.710,-0.04,-0.04,0.09,100.39,8.900,7.42,8.919,8.919,
2021/02/04,13:04:53,-0.2624,19.725,0.029,0.046,51.998,998.283,-1.716,-0.05,-0.05,0.09,100.49,8.908,7.43,8.927,8.927,
2021/02/04,13:04:54,-0.2624,19.737,0.029,0.046,52.299,998.280,-1.718,-0.05,-0.05,0.09,100.53,8.912,7.45,8.931,8.931,
2021/02/04,13:04:54,-0.2428,19.749,0.029,0.046,51.936,998.278,-1.721,-0.04,-0.04,0.09,100.62,8.921,7.46,8.940,8.941,
2021/02/04,13:04:54,-0.2428,19.764,0.029,0.046,52.148,998.275,-1.724,-0.05,-0.05,0.09,100.58,8.920,7.45,8.939,8.940,
2021/02/04,13:04:54,-0.2428,19.784,0.029,0.046,51.912,998.271,-1.728,-0.04,-0.04,0.09,100.56,8.919,7.47,8.938,8.939,
2021/02/04,13:04:54,-0.2428,19.782,0.029,0.046,51.795,998.271,-1.728,-0.04,-0.04,0.09,100.41,8.908,7.47,8.928,8.928,
2021/02/04,13:04:54,-0.2428,19.753,0.029,0.046,52.012,998.277,-1.722,-0.05,-0.05,0.07,100.31,8.904,7.45,8.923,8.923,
2021/02/04,13:04:54,-0.2624,19.705,0.029,0.046,52.023,998.287,-1.712,-0.05,-0.05,0.09,100.40,8.917,7.50,8.936,8.937,
2021/02/04,13:04:54,-0.2624,19.664,0.029,0.046,52.139,998.295,-1.704,-0.05,-0.05,0.07,100.38,8.921,7.49,8.940,8.940,
2021/02/04,13:04:54,-0.2624,19.624,0.029,0.046,51.794,998.303,-1.696,-0.05,-0.05,0.07,100.33,8.922,7.46,8.941,8.942,
2021/02/04,13:04:54,-0.2624,19.590,0.029,0.046,51.974,998.310,-1.689,-0.16,-0.16,0.10,100.33,8.926,7.49,8.945,8.946,
2021/02/04,13:04:55,-0.2624,19.552,0.029,0.046,52.266,998.318,-1.681,-3.87,-3.87,-4.58,100.35,8.934,7.49,8.953,8.953,
2021/02/04,13:04:55,-0.2624,19.504,0.029,0.046,52.149,998.328,-1.671,-1.35,-1.35,-1.70,60.27,5.368,7.48,5.380,5.380,
2021/02/04,13:04:55,-0.2624,19.457,0.029,0.046,52.576,998.337,-1.662,-1.80,-1.80,-1.16,83.43,7.435,7.51,7.451,7.451,
2021/02/04,13:04:55,-0.2428,19.468,0.030,0.048,54.586,998.336,-1.663,-0.90,-0.90,23.80,93.99,8.377,7.50,8.395,8.395,
2021/02/04,13:04:55,-0.2035,20.072,29.727,41.470,46513.061,1020.726,20.727,-0.15,-0.15,6.58,97.51,7.304,7.50,7.321,7.322,
2021/02/04,13:04:55,-0.1839,20.582,35.782,49.474,54800.757,1025.202,25.203,0.00,0.00,3.29,99.70,7.199,7.51,7.215,7.216,
2021/02/04,13:04:55,-0.1642,20.912,34.901,48.724,53538.562,1024.441,24.442,0.04,0.04,2.95,100.87,7.313,7.51,7.330,7.331,
2021/02/04,13:04:55,-0.1642,21.112,34.728,48.711,53267.677,1024.255,24.256,0.05,0.05,2.97,101.66,7.372,7.51,7.389,7.390,
2021/02/04,13:04:55,-0.1642,21.231,34.627,48.706,53109.451,1024.146,24.147,0.05,0.05,2.87,102.01,7.394,7.51,7.411,7.412,
2021/02/04,13:04:55,-0.1642,21.299,34.567,48.699,53016.622,1024.082,24.083,0.05,0.05,2.86,102.17,7.403,7.52,7.420,7.421,
2021/02/04,13:04:56,-0.1642,21.336,34.529,48.689,52957.957,1024.043,24.044,0.05,0.05,2.76,102.36,7.413,7.50,7.430,7.431,
2021/02/04,13:04:56,-0.1642,21.357,34.507,48.683,52924.980,1024.021,24.021,0.05,0.05,2.77,102.39,7.408,7.51,7.425,7.426,
2021/02/04,13:04:56,-0.1642,21.369,34.505,48.693,52920.492,1024.016,24.017,0.06,0.06,2.97,102.40,7.401,7.50,7.419,7.419,
2021/02/04,13:04:56,-0.1642,21.372,34.505,48.696,52920.112,1024.015,24.016,0.06,0.06,2.76,102.29,7.388,7.52,7.406,7.407,
2021/02/04,13:04:56,-0.1642,21.387,34.517,48.727,52933.620,1024.020,24.021,0.06,0.06,2.76,102.05,7.366,7.51,7.384,7.385,
2021/02/04,13:04:56,-0.1642,21.413,34.524,48.760,52938.268,1024.018,24.019,0.05,0.05,2.99,101.94,7.353,7.52,7.371,7.372,
2021/02/04,13:04:56,-0.1642,21.425,34.530,48.781,52945.347,1024.020,24.020,0.04,0.04,3.12,101.99,7.354,7.54,7.371,7.372,
2021/02/04,13:04:56,-0.1446,21.442,34.519,48.784,52927.448,1024.007,24.007,0.05,0.05,2.95,102.03,7.354,7.53,7.371,7.372,
2021/02/04,13:04:56,-0.1446,21.468,34.495,48.780,52889.898,1023.981,23.982,0.04,0.04,3.02,101.95,7.347,7.52,7.365,7.366,
2021/02/04,13:04:56,-0.1446,21.483,34.474,48.769,52859.510,1023.961,23.962,0.04,0.04,2.92,101.87,7.341,7.50,7.358,7.359,
