"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.27,NA,NA,NA,NA
"2","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.15,NA,NA,NA,NA
"3","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.39,NA,NA,NA,NA
"4","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.51,NA,NA,NA,NA
"5","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.44,NA,NA,NA,NA
"6","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.69,NA,NA,NA,NA
"7","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.51,NA,NA,NA,NA
"8","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.39,NA,NA,NA,NA
"9","2021/02/04","13:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.49,NA,NA,NA,NA
"10","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.53,NA,NA,NA,NA
"11","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.62,NA,NA,NA,NA
"12","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.58,NA,NA,NA,NA
"13","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.56,NA,NA,NA,NA
"14","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.41,NA,NA,NA,NA
"15","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.31,NA,NA,NA,NA
"16","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.4,NA,NA,NA,NA
"17","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.38,NA,NA,NA,NA
"18","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.33,NA,NA,NA,NA
"19","2021/02/04","13:04:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.33,NA,NA,NA,NA
"20","2021/02/04","13:04:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.35,NA,NA,NA,NA
