"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/04","08:10:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/02/04","08:10:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/02/04","08:10:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/02/04","08:10:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/02/04","08:10:55",-0.1642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/02/04","08:10:55",-0.1642,NA,NA,NA,NA,NA,NA,0.53,0.53,NA,NA,NA,NA,NA,NA
"7","2021/02/04","08:10:55",-0.1642,NA,NA,NA,NA,NA,NA,0.55,0.55,NA,NA,NA,NA,NA,NA
"8","2021/02/04","08:10:55",-0.1642,19.376,NA,33.633,NA,NA,NA,0.57,0.57,1.72,NA,NA,NA,NA,NA
"9","2021/02/04","08:10:55",-0.1642,19.495,23.876,33.619,38251.57,1016.422,16.423,0.57,0.57,1.58,NA,NA,7.45,NA,NA
"10","2021/02/04","08:10:56",-0.1642,19.578,23.812,33.597,38147.374,1016.353,16.354,0.56,0.56,1.58,NA,NA,NA,NA,NA
"11","2021/02/04","08:10:56",-0.1446,NA,23.756,33.567,38058.833,1016.297,16.298,0.54,0.54,1.58,NA,NA,7.44,NA,NA
"12","2021/02/04","08:10:56",-0.1446,NA,23.739,33.555,38032.256,1016.281,16.281,0.56,0.56,1.55,NA,NA,NA,NA,NA
"13","2021/02/04","08:10:56",-0.1446,NA,23.762,33.585,38066.449,1016.299,16.299,0.57,0.57,1.68,NA,NA,7.45,NA,NA
"14","2021/02/04","08:10:56",-0.1446,NA,23.773,33.577,38086.311,1016.314,16.315,0.55,0.55,1.54,NA,NA,7.44,NA,NA
"15","2021/02/04","08:10:56",-0.1642,19.579,23.788,33.568,38112.991,1016.335,16.336,0.55,0.55,1.49,NA,NA,7.46,NA,NA
"16","2021/02/04","08:10:56",-0.1446,19.58,23.771,33.546,38087.712,1016.322,16.322,0.54,0.54,1.52,NA,7.658,7.47,7.674,7.674
"17","2021/02/04","08:10:56",-0.1446,19.604,23.764,33.554,38074.596,1016.311,16.311,0.57,0.57,1.65,95.62,7.628,7.45,7.644,7.643
"18","2021/02/04","08:10:56",-0.1446,19.598,23.773,33.562,38089.193,1016.319,16.32,0.6,0.6,1.79,95.31,7.602,7.47,7.618,7.618
"19","2021/02/04","08:10:56",-0.1642,19.6,23.763,33.551,38074.515,1016.311,16.312,0.57,0.57,1.56,95,7.578,7.49,7.594,7.594
"20","2021/02/04","08:10:57",-0.1446,19.586,23.765,33.543,38078.216,1016.316,16.316,0.59,0.59,1.51,94.8,7.56,7.47,7.576,7.575
"21","2021/02/04","08:10:57",-0.1642,19.572,23.759,33.525,38071.893,1016.315,16.316,0.57,0.57,1.55,94.48,7.532,7.49,7.548,7.547
"22","2021/02/04","08:10:57",-0.1446,19.564,23.758,33.519,38071.808,1016.316,16.317,0.57,0.57,1.85,94.19,7.51,7.47,7.526,7.526
"23","2021/02/04","08:10:57",-0.1446,19.568,23.75,33.512,38059.981,1016.309,16.31,NA,NA,2.05,94.08,7.503,7.49,7.519,7.518
"24","2021/02/04","08:10:57",-0.1446,19.587,23.728,33.497,38024.834,1016.288,16.288,0.62,0.62,1.86,93.86,7.485,7.5,7.501,7.501
"25","2021/02/04","08:10:57",-0.1446,19.568,23.727,33.481,38025.733,1016.291,16.292,0.56,0.56,1.93,93.66,7.467,7.48,7.483,7.483
"26","2021/02/04","08:10:57",-0.1446,19.523,23.745,33.473,38058.217,1016.316,16.317,0.53,0.53,2.03,93.49,7.451,7.48,7.467,7.467
"27","2021/02/04","08:10:57",-0.1446,19.49,23.76,33.468,38084.631,1016.336,16.336,0.52,0.52,2.03,93.28,7.436,7.48,7.451,7.451
"28","2021/02/04","08:10:57",-0.125,19.458,23.772,33.46,38105.634,1016.352,16.353,0.54,0.54,2.03,93.19,7.43,7.5,7.446,7.445
"29","2021/02/04","08:10:57",-0.1446,19.448,23.78,33.463,38118.855,1016.361,16.361,0.54,0.54,1.89,93.24,7.434,7.49,7.45,7.45
"30","2021/02/04","08:10:58",-0.1446,19.453,23.79,33.479,38132.388,1016.367,16.368,0.54,0.54,1.81,93.08,7.419,7.5,7.435,7.434
"31","2021/02/04","08:10:58",-0.1446,19.461,23.779,33.471,38115.889,1016.357,16.358,0.53,0.53,1.71,92.98,7.41,7.49,7.426,7.426
"32","2021/02/04","08:10:58",-0.1446,19.464,23.772,33.464,38104.512,1016.351,16.351,0.53,0.53,1.69,92.85,7.402,7.5,7.418,7.418
"33","2021/02/04","08:10:58",-0.1642,19.433,23.782,33.455,38124.279,1016.366,16.367,0.52,0.52,1.78,92.79,7.4,7.5,7.416,7.415
"34","2021/02/04","08:10:58",-0.1446,19.419,23.786,33.45,38131.899,1016.373,16.373,0.52,0.52,1.93,92.82,7.402,7.5,7.418,7.418
"35","2021/02/04","08:10:58",-0.1446,19.419,23.785,33.448,38129.562,1016.371,16.372,0.58,0.58,1.83,92.89,7.408,7.5,7.424,7.424
"36","2021/02/04","08:10:58",-0.1446,19.422,23.775,33.438,38115.161,1016.363,16.364,0.58,0.58,1.79,93.03,7.42,7.51,7.435,7.435
"37","2021/02/04","08:10:58",-0.1446,19.436,23.755,33.422,38083.673,1016.344,16.345,0.55,0.55,1.89,93.04,7.422,7.49,7.437,7.437
"38","2021/02/04","08:10:58",-0.1446,19.449,23.738,33.411,38058.319,1016.329,16.33,0.57,0.57,1.92,92.95,7.415,7.49,7.431,7.431
"39","2021/02/04","08:10:58",-0.1446,19.455,23.732,33.407,38048.533,1016.323,16.323,0.6,0.6,1.96,92.94,7.416,7.49,7.432,7.431
"40","2021/02/04","08:10:59",-0.1446,19.453,23.73,33.403,38045.819,1016.322,16.322,0.6,0.6,1.92,92.92,7.417,7.5,7.432,7.432
"41","2021/02/04","08:10:59",-0.125,19.445,23.73,33.397,38046.891,1016.324,16.324,0.6,0.6,1.99,92.88,7.415,7.49,7.43,7.43
"42","2021/02/04","08:10:59",-0.1446,19.421,23.739,33.391,38063.653,1016.337,16.337,0.56,0.56,2.06,92.89,7.415,7.5,7.431,7.43
"43","2021/02/04","08:10:59",-0.125,19.426,23.738,33.394,38061.439,1016.335,16.335,0.54,0.54,NA,92.79,7.41,7.5,7.425,7.425
"44","2021/02/04","08:10:59",-0.1446,19.447,23.725,33.391,38038.725,1016.319,16.32,0.54,0.54,2.16,92.79,7.413,7.52,7.429,7.429
"45","2021/02/04","08:10:59",-0.1446,19.461,23.714,33.388,38021.175,1016.307,16.308,0.53,0.53,2.1,92.74,7.414,7.51,7.43,7.429
"46","2021/02/04","08:10:59",-0.1446,19.454,23.711,33.379,38017.768,1016.307,16.307,0.56,0.56,2.03,92.72,7.416,7.51,7.432,7.431
"47","2021/02/04","08:10:59",-0.1446,19.442,23.711,33.371,38020.282,1016.31,16.311,0.56,0.56,1.95,92.72,7.419,7.5,7.435,7.434
"48","2021/02/04","08:10:59",-0.1446,19.424,23.724,33.375,38041.477,1016.324,16.325,0.55,0.55,1.96,92.68,7.415,7.52,7.431,7.431
"49","2021/02/04","08:10:59",-0.125,19.407,23.735,33.376,38058.424,1016.336,16.337,0.53,0.53,1.88,92.57,7.404,7.52,7.42,7.42
"50","2021/02/04","08:11:00",-0.1446,19.393,23.742,33.375,38071.189,1016.345,16.346,0.53,0.53,1.82,92.44,7.391,7.51,7.407,7.406
