//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=280       
StartTime=2021/02/04 07:54:36
EndTime=2021/02/04 07:55:03
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/02/04,07:54:36,-0.1250,14.385,0.030,0.046,59.444,999.214,-0.785,-0.01,-0.01,1.17,101.54,10.474,7.35,10.489,10.489,
2021/02/04,07:54:36,-0.1446,14.379,0.030,0.046,60.057,999.215,-0.784,-0.02,-0.02,1.05,101.59,10.479,7.35,10.494,10.494,
2021/02/04,07:54:36,-0.1446,14.376,0.030,0.046,59.968,999.216,-0.784,-0.01,-0.01,0.87,101.56,10.476,7.35,10.491,10.491,
2021/02/04,07:54:36,-0.1446,14.374,0.030,0.046,59.971,999.216,-0.783,-0.05,-0.05,0.81,101.59,10.479,7.37,10.494,10.494,
2021/02/04,07:54:36,-0.1446,14.374,0.030,0.046,60.019,999.216,-0.783,-0.05,-0.05,0.81,101.51,10.471,7.38,10.486,10.486,
2021/02/04,07:54:36,-0.1446,14.375,0.030,0.046,59.691,999.216,-0.784,-0.02,-0.02,0.75,101.52,10.472,7.41,10.487,10.487,
2021/02/04,07:54:36,-0.1446,14.374,0.030,0.046,59.882,999.216,-0.783,-0.02,-0.02,0.71,101.63,10.483,7.41,10.498,10.498,
2021/02/04,07:54:36,-0.1446,14.369,0.030,0.046,60.074,999.217,-0.783,-0.04,-0.04,0.70,101.57,10.477,7.41,10.492,10.492,
2021/02/04,07:54:36,-0.1446,14.366,0.030,0.046,59.987,999.217,-0.782,-0.02,-0.02,0.68,101.57,10.477,7.42,10.492,10.491,
2021/02/04,07:54:36,-0.1446,14.367,0.030,0.046,60.173,999.217,-0.782,-0.05,-0.05,0.72,101.60,10.480,7.42,10.495,10.495,
2021/02/04,07:54:37,-0.1446,14.370,0.030,0.046,59.979,999.217,-0.783,-0.04,-0.04,0.68,101.57,10.477,7.43,10.492,10.492,
2021/02/04,07:54:37,-0.1446,14.372,0.030,0.046,60.304,999.216,-0.783,-0.02,-0.02,0.72,101.54,10.474,7.42,10.489,10.489,
2021/02/04,07:54:37,-0.1446,14.375,0.030,0.046,60.017,999.216,-0.783,0.00,0.00,0.91,101.61,10.481,7.45,10.496,10.496,
2021/02/04,07:54:37,-0.1446,14.380,0.030,0.046,60.055,999.215,-0.784,-0.02,-0.02,1.48,101.66,10.486,7.45,10.501,10.501,
2021/02/04,07:54:37,-0.1446,14.386,0.030,0.046,60.091,999.214,-0.785,-0.02,-0.02,2.29,101.65,10.484,7.45,10.499,10.499,
