"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/04","10:53:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/02/04","10:53:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/02/04","10:53:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"4","2021/02/04","10:53:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA
"5","2021/02/04","10:53:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA
"6","2021/02/04","10:53:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/02/04","10:53:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/02/04","10:53:34",-0.2428,NA,NA,49.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/02/04","10:53:34",-0.2428,NA,34.959,49.263,53539.559,1024.36,24.361,0.14,0.14,NA,NA,NA,NA,NA,NA
"10","2021/02/04","10:53:35",-0.2428,NA,34.901,49.237,53453.179,1024.304,24.305,0.14,0.14,1.42,NA,NA,NA,NA,NA
"11","2021/02/04","10:53:35",-0.2428,NA,34.905,49.265,53454.941,1024.301,24.302,0.14,0.14,0.82,NA,NA,NA,NA,NA
"12","2021/02/04","10:53:35",-0.2428,NA,34.891,49.261,53433.603,1024.287,24.288,0.15,0.15,0.75,NA,NA,NA,NA,NA
"13","2021/02/04","10:53:35",-0.2428,NA,34.879,49.263,53414.079,1024.273,24.274,0.16,0.16,0.71,NA,NA,NA,NA,NA
"14","2021/02/04","10:53:35",-0.2428,21.489,34.848,49.246,53368.41,1024.243,24.244,0.15,0.15,0.72,NA,NA,NA,NA,NA
"15","2021/02/04","10:53:35",-0.2231,21.503,34.826,49.233,53336.185,1024.223,24.224,0.15,0.15,0.84,NA,NA,NA,NA,NA
"16","2021/02/04","10:53:35",-0.2035,21.512,34.803,49.213,53304.046,1024.203,24.204,0.15,0.15,0.87,NA,NA,NA,NA,NA
"17","2021/02/04","10:53:35",-0.2231,21.515,34.797,49.209,53294.82,1024.198,24.198,0.15,0.15,1.01,NA,NA,NA,NA,NA
"18","2021/02/04","10:53:35",-0.2231,21.518,34.811,49.229,53313.273,1024.207,24.208,0.15,0.15,1.18,NA,NA,NA,NA,NA
"19","2021/02/04","10:53:35",-0.2231,21.518,34.825,49.246,53332.034,1024.218,24.219,0.15,0.15,1.28,NA,NA,NA,NA,NA
"20","2021/02/04","10:53:36",-0.2231,21.519,34.809,49.228,53310.292,1024.205,24.206,0.15,0.15,1.31,NA,NA,NA,NA,NA
"21","2021/02/04","10:53:36",-0.2035,21.516,34.817,49.235,53321.673,1024.212,24.213,0.15,0.15,1.31,NA,NA,NA,NA,NA
"22","2021/02/04","10:53:36",-0.2035,21.516,34.828,49.249,53336.616,1024.221,24.222,0.15,0.15,1.32,NA,NA,NA,NA,NA
"23","2021/02/04","10:53:36",-0.2231,21.518,34.824,49.245,53330.79,1024.217,24.218,0.15,0.15,1.44,NA,NA,NA,NA,NA
"24","2021/02/04","10:53:36",-0.2035,21.519,34.816,49.236,53319.319,1024.211,24.211,0.16,0.16,1.49,NA,NA,NA,NA,NA
"25","2021/02/04","10:53:36",-0.2231,21.519,34.827,49.25,53334.411,1024.219,24.22,NA,NA,1.48,NA,NA,NA,NA,NA
"26","2021/02/04","10:53:36",-0.2035,21.519,34.848,49.276,53363.419,1024.235,24.236,0.15,0.15,1.51,NA,NA,NA,NA,NA
"27","2021/02/04","10:53:36",-0.2231,21.518,34.838,49.263,53350.505,1024.228,24.229,0.16,0.16,1.45,NA,NA,NA,NA,NA
"28","2021/02/04","10:53:36",-0.2231,21.522,34.824,49.25,53330.171,1024.216,24.217,0.15,0.15,1.41,NA,NA,NA,NA,NA
"29","2021/02/04","10:53:36",-0.2231,21.521,34.842,49.271,53355.447,1024.23,24.231,0.16,0.16,1.36,NA,NA,NA,NA,NA
