//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=210       
StartTime=2021/02/18 10:04:53
EndTime=2021/02/18 10:05:13
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/02/18,10:04:53,-0.2820,13.817,0.029,0.044,57.999,999.293,-0.706,-0.03,-0.03,0.17,98.11,9.705,7.32,9.720,9.720,
2021/02/18,10:04:53,-0.3016,13.807,0.029,0.043,57.537,999.294,-0.705,-0.03,-0.03,0.17,97.96,9.688,7.33,9.703,9.703,
2021/02/18,10:04:53,-0.3213,13.810,0.029,0.044,58.466,999.294,-0.705,-0.04,-0.04,0.17,97.93,9.682,7.36,9.698,9.698,
2021/02/18,10:04:53,-0.3213,13.816,0.030,0.044,58.878,999.293,-0.706,-0.02,-0.02,0.50,97.89,9.677,7.36,9.692,9.692,
2021/02/18,10:04:53,-0.3016,13.828,0.029,0.044,58.282,999.291,-0.707,-0.11,-0.11,1.04,97.99,9.686,7.36,9.701,9.701,
2021/02/18,10:04:53,-0.3016,13.855,0.029,0.044,58.170,999.287,-0.711,-0.09,-0.09,0.98,97.86,9.672,7.37,9.687,9.687,
2021/02/18,10:04:53,-0.3016,13.881,0.029,0.044,58.301,999.284,-0.715,-0.03,-0.03,1.32,97.99,9.685,7.35,9.700,9.700,
2021/02/18,10:04:53,-0.3016,13.912,0.029,0.044,58.149,999.280,-0.719,-0.02,-0.02,2.57,97.95,9.680,7.38,9.695,9.695,
2021/02/18,10:04:53,-0.3016,13.943,0.029,0.044,58.371,999.275,-0.723,0.00,0.00,9.47,97.96,9.680,7.39,9.696,9.696,
2021/02/18,10:04:53,-0.3016,13.925,4.657,6.569,8684.551,1002.853,2.855,-0.30,-0.30,269.31,96.36,9.274,7.39,9.289,9.288,
2021/02/18,10:04:54,-0.2624,13.816,23.346,28.985,38443.926,1017.235,17.237,0.31,0.31,69.35,95.98,8.297,7.41,8.309,8.308,
2021/02/18,10:04:54,-0.2428,13.753,35.093,41.795,55537.826,1026.310,26.311,0.50,0.50,22.54,97.26,7.882,7.40,7.891,7.891,
2021/02/18,10:04:54,-0.2428,13.741,33.724,40.322,53598.089,1025.254,25.255,0.61,0.61,13.10,98.33,8.073,7.40,8.082,8.082,
2021/02/18,10:04:54,-0.2231,13.748,33.717,40.320,53584.659,1025.246,25.247,0.73,0.73,11.89,99.25,8.177,7.41,8.186,8.186,
2021/02/18,10:04:54,-0.2231,13.766,33.729,40.351,53597.356,1025.253,25.254,0.92,0.92,12.81,99.95,8.267,7.42,8.276,8.276,
2021/02/18,10:04:54,-0.2231,13.789,33.736,40.380,53600.359,1025.253,25.254,1.31,1.31,13.57,100.47,8.337,7.43,8.345,8.345,
2021/02/18,10:04:54,-0.2231,13.805,33.730,40.389,53585.852,1025.245,25.246,2.10,2.10,15.08,100.99,8.403,7.41,8.411,8.411,
2021/02/18,10:04:54,-0.2231,13.822,33.720,40.394,53565.862,1025.233,25.234,2.56,2.56,15.76,101.37,8.451,7.42,8.459,8.459,
2021/02/18,10:04:54,-0.2231,13.843,33.727,40.421,53570.311,1025.235,25.236,2.93,2.93,16.13,101.52,8.471,7.45,8.478,8.478,
2021/02/18,10:04:54,-0.2231,13.858,33.703,40.409,53530.774,1025.213,25.214,2.80,2.80,16.54,101.55,8.478,7.45,8.485,8.485,
2021/02/18,10:04:55,-0.2231,13.880,33.683,40.408,53495.618,1025.193,25.194,3.67,3.67,18.14,101.58,8.483,7.46,8.490,8.490,
2021/02/18,10:04:55,-0.2231,13.908,33.644,40.393,53431.355,1025.157,25.158,3.57,3.57,19.80,101.56,8.481,7.45,8.489,8.489,
2021/02/18,10:04:55,-0.2231,13.932,33.619,40.388,53388.622,1025.133,25.134,2.89,2.89,19.85,101.63,8.488,7.45,8.496,8.496,
2021/02/18,10:04:55,-0.2231,13.945,33.609,40.391,53370.524,1025.123,25.124,2.34,2.34,19.22,101.65,8.491,7.43,8.499,8.499,
2021/02/18,10:04:55,-0.2231,13.962,33.596,40.392,53346.776,1025.109,25.110,2.12,2.12,18.40,101.63,8.492,7.44,8.499,8.499,
2021/02/18,10:04:55,-0.2231,13.965,33.584,40.383,53329.603,1025.100,25.101,2.11,2.11,18.08,101.60,8.489,7.44,8.496,8.496,
2021/02/18,10:04:55,-0.2035,13.976,33.589,40.398,53331.934,1025.100,25.101,2.27,2.27,21.10,101.40,8.470,7.46,8.477,8.477,
2021/02/18,10:04:55,-0.2231,13.973,33.591,40.397,53336.215,1025.103,25.104,2.99,2.99,23.84,101.39,8.468,7.46,8.475,8.475,
2021/02/18,10:04:55,-0.2035,13.976,33.602,40.412,53350.520,1025.111,25.111,3.87,3.87,24.31,101.33,8.464,7.45,8.471,8.471,
2021/02/18,10:04:55,-0.2231,13.979,33.595,40.407,53340.518,1025.105,25.106,3.87,3.87,22.06,101.32,8.465,7.47,8.473,8.473,
