//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2021/02/18 13:50:18
EndTime=2021/02/18 13:50:31
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/02/18,13:50:18,-0.3016,11.613,0.059,0.090,128.184,999.587,-0.412,0.20,0.20,0.45,100.45,10.407,7.32,10.421,10.421,
2021/02/18,13:50:18,-0.3016,11.587,0.059,0.091,128.946,999.590,-0.408,0.19,0.19,0.45,100.63,10.434,7.33,10.449,10.449,
2021/02/18,13:50:18,-0.3213,11.566,0.059,0.091,128.911,999.592,-0.406,0.18,0.18,0.44,100.67,10.446,7.32,10.461,10.461,
2021/02/18,13:50:18,-0.3213,11.554,0.060,0.092,130.628,999.594,-0.404,0.18,0.18,0.44,100.67,10.453,7.33,10.467,10.467,
2021/02/18,13:50:18,-0.3213,11.549,0.060,0.093,131.810,999.595,-0.403,0.18,0.18,0.43,100.83,10.473,7.34,10.487,10.487,
2021/02/18,13:50:18,-0.3213,11.550,0.060,0.092,131.166,999.595,-0.404,0.21,0.21,0.44,100.80,10.473,7.35,10.488,10.488,
2021/02/18,13:50:18,-0.3213,11.560,0.060,0.093,132.244,999.594,-0.404,0.14,0.14,0.75,100.89,10.485,7.35,10.499,10.499,
2021/02/18,13:50:18,-0.3213,11.582,0.061,0.094,133.697,999.592,-0.406,0.15,0.15,1.96,100.93,10.489,7.38,10.504,10.504,
2021/02/18,13:50:18,-0.3213,11.626,0.061,0.094,133.244,999.587,-0.411,0.13,0.13,29.90,101.03,10.501,7.35,10.516,10.516,
2021/02/18,13:50:18,-0.2820,12.568,34.141,39.654,54581.685,1025.811,25.812,0.12,0.12,105.91,104.68,8.633,7.39,8.641,8.642,
2021/02/18,13:50:19,-0.2035,15.531,37.671,46.386,58591.457,1027.912,27.913,0.31,0.31,26.43,105.30,8.197,7.40,8.208,8.208,
2021/02/18,13:50:19,-0.2231,17.361,35.970,46.375,55743.246,1026.171,26.172,0.34,0.34,10.03,104.44,8.027,7.38,8.040,8.041,
2021/02/18,13:50:19,-0.2035,18.342,35.124,46.388,54348.380,1025.281,25.282,0.35,0.35,6.53,103.64,7.911,7.41,7.925,7.925,
2021/02/18,13:50:19,-0.2035,18.900,34.598,46.324,53504.919,1024.739,24.740,0.36,0.36,5.61,103.49,7.875,7.41,7.890,7.891,
2021/02/18,13:50:19,-0.1839,19.206,34.294,46.265,53023.453,1024.428,24.429,0.37,0.37,5.35,103.18,7.832,7.38,7.847,7.847,
2021/02/18,13:50:19,-0.2231,19.260,34.277,46.297,52988.965,1024.401,24.402,0.38,0.38,5.06,102.64,7.771,7.44,7.786,7.787,
