//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=190       
StartTime=2021/02/18 11:35:40
EndTime=2021/02/18 11:35:58
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/02/18,11:35:40,-0.2428,12.950,0.028,0.041,55.792,999.406,-0.593,0.24,0.24,0.58,99.64,10.000,7.32,10.015,10.015,
2021/02/18,11:35:40,-0.2820,12.938,0.028,0.041,55.745,999.407,-0.592,0.24,0.24,0.57,99.60,9.994,7.32,10.010,10.010,
2021/02/18,11:35:40,-0.2820,12.904,0.028,0.041,55.814,999.411,-0.587,0.23,0.23,0.57,99.61,9.993,7.32,10.008,10.008,
2021/02/18,11:35:40,-0.2820,12.871,0.028,0.041,55.804,999.415,-0.583,0.22,0.22,0.55,99.49,9.983,7.37,9.998,9.998,
2021/02/18,11:35:40,-0.2820,12.840,0.028,0.041,55.823,999.419,-0.579,0.19,0.19,0.82,99.58,9.989,7.35,10.005,10.005,
2021/02/18,11:35:40,-0.2820,12.815,0.028,0.041,55.727,999.422,-0.576,0.20,0.20,0.85,99.47,9.978,7.35,9.993,9.993,
2021/02/18,11:35:40,-0.2820,12.782,0.028,0.041,55.813,999.427,-0.572,0.19,0.19,0.85,99.53,9.984,7.35,9.999,9.999,
2021/02/18,11:35:40,-0.2820,12.750,0.028,0.041,55.933,999.431,-0.568,0.19,0.19,0.87,99.39,9.971,7.37,9.987,9.987,
2021/02/18,11:35:40,-0.2820,12.727,0.028,0.041,56.069,999.433,-0.565,0.15,0.15,0.85,99.39,9.974,7.39,9.989,9.989,
2021/02/18,11:35:40,-0.2820,12.716,0.028,0.041,55.848,999.435,-0.564,0.12,0.12,0.95,99.24,9.958,7.38,9.973,9.973,
2021/02/18,11:35:41,-0.2820,12.705,0.028,0.041,55.878,999.436,-0.563,0.15,0.15,1.05,99.14,9.947,7.39,9.962,9.962,
2021/02/18,11:35:41,-0.2820,12.689,0.028,0.041,55.969,999.438,-0.561,0.18,0.18,1.18,99.25,9.956,7.38,9.971,9.971,
2021/02/18,11:35:41,-0.2820,12.670,0.028,0.041,56.089,999.440,-0.558,0.18,0.18,3.03,99.25,9.958,7.40,9.974,9.974,
2021/02/18,11:35:41,-0.2428,12.972,5.843,7.931,10784.296,1003.905,3.906,-0.01,-0.01,162.14,100.96,9.738,7.40,9.753,9.752,
2021/02/18,11:35:41,-0.2035,15.250,34.524,42.637,54281.401,1025.549,25.550,0.38,0.38,38.32,103.19,8.199,7.41,8.211,8.211,
2021/02/18,11:35:41,-0.2035,16.816,33.153,42.600,51954.230,1024.140,24.140,0.47,0.47,9.83,103.95,8.218,7.41,8.231,8.231,
