//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=250       
StartTime=2021/03/04 09:55:47
EndTime=2021/03/04 09:56:11
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/04,09:55:47,-0.1839,18.773,0.029,0.045,52.001,998.472,-1.527,-0.04,-0.04,0.10,96.44,8.795,7.29,8.813,8.813,
2021/03/04,09:55:47,-0.2231,18.763,0.029,0.045,51.887,998.473,-1.526,-0.04,-0.04,0.10,96.46,8.796,7.29,8.813,8.814,
2021/03/04,09:55:47,-0.2231,18.761,0.029,0.045,51.948,998.474,-1.525,-0.04,-0.04,0.09,96.42,8.793,7.30,8.810,8.810,
2021/03/04,09:55:47,-0.2231,18.759,0.029,0.045,51.721,998.474,-1.525,-0.04,-0.04,0.09,96.42,8.792,7.32,8.809,8.810,
2021/03/04,09:55:47,-0.2035,18.772,0.029,0.045,52.148,998.472,-1.527,-0.04,-0.04,0.09,96.31,8.783,7.33,8.800,8.801,
2021/03/04,09:55:47,-0.2231,18.787,0.029,0.045,51.907,998.469,-1.530,-0.04,-0.04,0.09,96.31,8.786,7.33,8.804,8.804,
2021/03/04,09:55:47,-0.2231,18.790,0.029,0.045,52.092,998.468,-1.531,-0.04,-0.04,0.09,96.38,8.796,7.33,8.813,8.814,
2021/03/04,09:55:47,-0.2231,18.787,0.029,0.045,51.768,998.469,-1.530,-0.05,-0.05,0.09,96.46,8.806,7.34,8.823,8.823,
2021/03/04,09:55:47,-0.2231,18.784,0.029,0.045,52.097,998.470,-1.529,-0.13,-0.13,0.72,96.45,8.807,7.35,8.825,8.825,
2021/03/04,09:55:47,-0.2231,18.768,0.029,0.045,51.966,998.473,-1.526,-0.17,-0.17,1.07,96.35,8.799,7.37,8.817,8.817,
2021/03/04,09:55:48,-0.2231,18.758,0.029,0.045,51.868,998.475,-1.524,-0.11,-0.11,1.27,96.29,8.795,7.36,8.812,8.813,
2021/03/04,09:55:48,-0.2231,18.744,0.029,0.045,52.031,998.477,-1.522,-0.11,-0.11,2.49,96.31,8.796,7.38,8.813,8.814,
2021/03/04,09:55:48,-0.1642,18.777,11.685,17.237,19971.203,1007.336,7.336,-0.33,-0.33,162.07,96.39,8.218,7.39,8.235,8.235,
2021/03/04,09:55:48,-0.1446,19.225,35.325,47.522,54438.082,1025.211,25.211,0.02,0.02,46.92,96.63,7.157,7.39,7.171,7.172,
2021/03/04,09:55:48,-0.1446,19.573,34.625,47.031,53407.816,1024.587,24.588,0.15,0.15,10.02,96.85,7.198,7.38,7.213,7.213,
