"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/03/04","09:55:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/03/04","09:55:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA
"11","2021/03/04","09:55:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/03/04","09:55:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021/03/04","09:55:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021/03/04","09:55:48",NA,NA,NA,47.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021/03/04","09:55:48",NA,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,NA,NA,NA,NA,NA
"16","2021/03/04","09:55:48",-0.125,NA,NA,NA,NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA
"17","2021/03/04","09:55:48",-0.125,NA,NA,NA,NA,NA,NA,0.18,0.18,1.54,NA,NA,NA,NA,NA
"18","2021/03/04","09:55:48",NA,NA,NA,47.033,NA,NA,NA,0.21,0.21,1.78,NA,NA,NA,NA,NA
"19","2021/03/04","09:55:48",NA,NA,34.299,47.029,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA
"20","2021/03/04","09:55:49",NA,19.97,34.296,47.028,52879.861,1024.232,24.233,0.22,0.22,NA,NA,NA,NA,NA,NA
"21","2021/03/04","09:55:49",-0.125,19.971,34.299,47.032,NA,NA,24.234,0.22,0.22,NA,NA,NA,NA,NA,NA
"22","2021/03/04","09:55:49",NA,19.977,34.296,NA,52878.56,1024.231,24.231,0.21,0.21,NA,NA,NA,NA,NA,NA
"23","2021/03/04","09:55:49",-0.125,19.978,34.292,47.032,52872.99,1024.227,24.228,0.21,0.21,1.82,NA,NA,NA,NA,NA
"24","2021/03/04","09:55:49",NA,19.977,34.295,47.033,52876.425,1024.229,24.23,0.19,0.19,1.76,NA,NA,NA,NA,NA
"25","2021/03/04","09:55:49",NA,19.978,34.292,47.031,52872.722,1024.227,24.228,0.18,0.18,1.75,NA,NA,7.42,NA,NA
"26","2021/03/04","09:55:49",NA,19.976,34.294,47.031,52875.867,1024.229,24.23,0.18,0.18,1.92,NA,NA,7.44,NA,NA
"27","2021/03/04","09:55:49",-0.125,19.973,34.292,47.027,52873.88,1024.229,24.229,0.18,0.18,1.95,NA,NA,7.44,NA,NA
"28","2021/03/04","09:55:49",NA,19.971,34.294,47.027,52876.949,1024.231,24.231,0.19,0.19,1.91,NA,NA,7.42,NA,NA
"29","2021/03/04","09:55:49",-0.125,19.97,34.295,47.026,52878.014,1024.231,24.232,0.18,0.18,1.81,NA,NA,7.42,NA,NA
"30","2021/03/04","09:55:50",-0.125,19.97,34.294,47.025,52876.571,1024.231,24.231,NA,NA,1.66,NA,NA,NA,NA,NA
"31","2021/03/04","09:55:50",-0.125,19.971,34.291,47.023,52872.463,1024.228,24.229,NA,NA,1.66,NA,NA,7.44,NA,NA
"32","2021/03/04","09:55:50",NA,19.974,34.29,47.024,52870.673,1024.227,24.227,0.2,0.2,1.75,NA,NA,7.44,NA,NA
"33","2021/03/04","09:55:50",NA,19.975,34.29,47.025,52869.71,1024.226,24.226,0.21,0.21,1.73,NA,NA,NA,NA,NA
"34","2021/03/04","09:55:50",NA,19.975,34.288,47.024,52868.156,1024.225,24.226,0.23,0.23,1.62,NA,NA,7.43,NA,NA
"35","2021/03/04","09:55:50",NA,19.975,34.288,47.023,52868.142,1024.225,24.226,0.19,0.19,1.69,NA,NA,7.43,NA,NA
"36","2021/03/04","09:55:50",-0.125,19.975,34.288,47.023,52867.901,1024.225,24.225,0.18,0.18,1.83,NA,NA,7.44,NA,NA
"37","2021/03/04","09:55:50",-0.125,19.975,34.289,47.023,52868.366,1024.225,24.226,0.18,0.18,1.85,NA,NA,7.44,NA,NA
"38","2021/03/04","09:55:50",NA,19.973,34.289,47.022,52868.628,1024.226,24.226,0.18,0.18,1.73,NA,NA,7.44,7.014,7.015
"39","2021/03/04","09:55:50",NA,19.974,34.289,47.024,52869.449,1024.226,24.226,0.18,0.18,1.66,94.34,6.995,7.44,7.01,7.011
"40","2021/03/04","09:55:51",NA,19.975,34.288,47.023,52868.182,1024.225,24.226,0.18,0.18,1.39,94.32,6.994,7.44,7.009,7.009
"41","2021/03/04","09:55:51",NA,19.975,34.293,47.029,52874.824,1024.229,24.229,NA,NA,1.27,94.28,6.99,7.44,7.005,7.006
"42","2021/03/04","09:55:51",NA,19.975,34.293,47.029,52874.047,1024.228,24.229,NA,NA,1.12,94.09,6.977,7.44,6.992,6.992
