"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.15,NA,NA,NA,NA
"2","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.16,NA,NA,NA,NA
"3","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.24,NA,NA,NA,NA
"4","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.18,NA,NA,NA,NA
"5","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.1,NA,NA,NA,NA
"6","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.22,NA,NA,NA,NA
"7","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.11,NA,NA,NA,NA
"8","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.02,NA,NA,NA,NA
"9","2021/03/04","09:32:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.07,NA,NA,NA,NA
"10","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.95,NA,NA,NA,NA
"11","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.88,NA,NA,NA,NA
"12","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.89,NA,NA,NA,NA
"13","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.85,NA,NA,NA,NA
"14","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.08,NA,NA,NA,NA
"15","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.07,NA,NA,NA,NA
"16","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.07,NA,NA,NA,NA
"17","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.12,NA,NA,NA,NA
"18","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.19,NA,NA,NA,NA
"19","2021/03/04","09:32:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.21,NA,NA,NA,NA
"20","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.18,NA,NA,NA,NA
"21","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.06,NA,NA,NA,NA
"22","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,100.18,NA,NA,NA,NA
"23","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,100.18,NA,7.42,NA,NA
"24","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.09,NA,NA,NA,NA
"25","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.04,NA,NA,NA,NA
"26","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.08,NA,7.42,NA,NA
"27","2021/03/04","09:32:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.45,NA,7.44,NA,NA
"28","2021/03/04","09:32:08",-0.1642,NA,NA,NA,NA,NA,NA,0.23,0.23,NA,100.07,7.82,7.44,7.836,7.836
"29","2021/03/04","09:32:08",-0.125,19.427,NA,NA,NA,NA,NA,0.28,0.28,NA,100.78,7.525,7.43,7.54,7.54
"30","2021/03/04","09:32:09",-0.1446,19.365,34.167,46.269,52816.793,1024.291,24.291,0.28,0.28,NA,101.33,7.623,7.43,7.638,7.639
"31","2021/03/04","09:32:09",-0.125,NA,34.208,46.277,52882.521,1024.333,24.334,0.27,0.27,1.71,101.62,7.644,7.44,7.66,7.66
"32","2021/03/04","09:32:09",-0.1446,NA,34.215,46.276,52893.699,1024.341,24.341,0.27,0.27,1.39,101.79,7.656,7.43,7.671,7.672
"33","2021/03/04","09:32:09",-0.125,NA,34.214,46.281,52889.79,1024.338,24.338,0.24,0.24,1.34,101.86,7.659,7.44,7.674,7.675
"34","2021/03/04","09:32:09",-0.1446,NA,34.22,46.292,52897.337,1024.341,24.342,0.24,0.24,1.42,101.78,7.647,7.43,7.663,7.663
"35","2021/03/04","09:32:09",-0.125,19.328,34.221,46.299,52899.083,1024.342,24.342,0.24,0.24,1.39,101.75,7.642,7.44,7.657,7.658
"36","2021/03/04","09:32:09",-0.1446,19.333,34.214,46.294,52888.207,1024.335,24.336,0.24,0.24,1.34,101.63,7.63,7.44,7.645,7.646
"37","2021/03/04","09:32:09",-0.125,19.344,34.198,46.286,52864.275,1024.32,24.321,0.24,0.24,1.28,101.5,7.619,7.44,7.634,7.635
"38","2021/03/04","09:32:09",-0.1446,19.356,34.177,46.272,52831.85,1024.3,24.301,0.25,0.25,1.24,101.23,7.598,7.44,7.614,7.614
"39","2021/03/04","09:32:09",-0.1446,19.362,34.162,46.26,52811.048,1024.288,24.289,0.28,0.28,1.22,101.08,7.586,7.44,7.601,7.602
"40","2021/03/04","09:32:10",-0.1446,19.362,34.161,46.259,52809.443,1024.287,24.288,0.27,0.27,1.25,101.1,7.587,7.44,7.602,7.603
"41","2021/03/04","09:32:10",-0.1446,19.366,34.155,46.256,52800.714,1024.282,24.282,0.28,0.28,1.21,100.95,7.575,7.44,7.591,7.591
"42","2021/03/04","09:32:10",-0.1446,19.366,34.136,46.232,52774.147,1024.267,24.268,0.26,0.26,1.19,100.7,7.557,7.44,7.572,7.573
"43","2021/03/04","09:32:10",-0.125,19.367,34.134,46.231,52771.325,1024.265,24.266,0.26,0.26,1.19,100.55,7.546,7.44,7.561,7.561
"44","2021/03/04","09:32:10",-0.1446,19.366,34.136,46.233,52773.892,1024.267,24.267,0.25,0.25,1.24,100.26,7.523,7.45,7.538,7.539
"45","2021/03/04","09:32:10",-0.125,19.366,34.135,46.231,52772.489,1024.266,24.267,0.24,0.24,1.31,99.94,7.499,7.45,7.514,7.515
"46","2021/03/04","09:32:10",-0.125,19.365,34.137,46.233,52775.985,1024.268,24.269,0.24,0.24,1.38,99.65,7.477,7.46,7.492,7.493
"47","2021/03/04","09:32:10",-0.125,19.365,34.142,46.239,52782.519,1024.272,24.272,0.24,0.24,1.36,99.35,7.454,7.44,7.469,7.47
"48","2021/03/04","09:32:10",-0.125,19.364,34.146,46.243,52788.508,1024.275,24.276,0.25,0.25,1.29,99.12,7.436,7.44,7.451,7.451
"49","2021/03/04","09:32:10",-0.125,19.36,34.15,46.245,52794.858,1024.279,24.28,0.24,0.24,1.27,98.96,7.424,7.45,7.439,7.439
"50","2021/03/04","09:32:11",-0.125,19.358,34.156,46.248,52802.906,1024.284,24.285,0.24,0.24,1.29,98.82,7.413,7.47,7.428,7.428
"51","2021/03/04","09:32:11",-0.125,19.357,34.156,46.249,52803.984,1024.285,24.285,0.24,0.24,1.29,98.68,7.402,7.44,7.417,7.417
"52","2021/03/04","09:32:11",-0.125,19.358,34.158,46.252,52806.529,1024.286,24.287,0.26,0.26,1.28,98.5,7.388,7.44,7.403,7.404
"53","2021/03/04","09:32:11",-0.125,19.36,34.159,46.254,52807.293,1024.286,24.287,0.29,0.29,1.31,98.29,7.372,7.44,7.387,7.388
"54","2021/03/04","09:32:11",-0.125,19.359,34.16,46.256,52809.074,1024.287,24.288,0.31,0.31,1.32,98.21,7.366,7.45,7.381,7.382
"55","2021/03/04","09:32:11",-0.125,19.359,34.163,46.258,52812.734,1024.289,24.29,0.28,0.28,1.32,98.05,7.355,7.44,7.369,7.37
"56","2021/03/04","09:32:11",-0.1446,19.359,34.161,46.256,52810.001,1024.288,24.288,0.26,0.26,1.32,97.87,7.341,7.44,7.355,7.356
"57","2021/03/04","09:32:11",-0.125,19.359,34.16,46.255,52808.798,1024.287,24.288,0.27,0.27,1.29,97.89,7.342,7.47,7.357,7.358
