//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2021/03/04 12:48:35
EndTime=2021/03/04 12:48:47
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/04,12:48:35,-0.2820,22.602,0.028,0.046,48.204,997.654,-2.345,-0.04,-0.04,0.11,-5.43,-0.458,7.29,-0.459,-0.459,
2021/03/04,12:48:35,-0.3213,22.597,0.028,0.046,48.424,997.655,-2.344,-2.24,-2.24,1.36,-6.70,-0.565,7.30,-0.566,-0.566,
2021/03/04,12:48:35,-0.2428,22.318,31.036,45.174,48006.736,1021.121,21.122,-1.29,-1.29,21.88,-8.02,-0.572,7.31,-0.574,-0.574,
2021/03/04,12:48:35,-0.2231,21.856,34.244,48.855,52484.868,1023.683,23.684,-0.21,-0.21,4.71,-6.35,-0.451,7.34,-0.452,-0.452,
2021/03/04,12:48:35,-0.2231,21.622,34.448,48.877,52800.499,1023.902,23.903,-0.01,-0.01,1.56,23.12,1.651,7.35,1.655,1.656,
2021/03/04,12:48:35,-0.2231,21.506,34.540,48.877,52945.983,1024.005,24.006,0.03,0.03,1.00,58.30,4.177,7.34,4.187,4.187,
2021/03/04,12:48:35,-0.2035,21.438,34.608,48.893,53049.630,1024.075,24.076,0.06,0.06,0.94,82.24,5.899,7.33,5.913,5.914,
2021/03/04,12:48:35,-0.2035,21.400,34.664,48.924,53131.633,1024.128,24.128,0.06,0.06,1.02,93.83,6.734,7.35,6.750,6.751,
2021/03/04,12:48:35,-0.2035,21.380,34.705,48.955,53191.834,1024.165,24.166,0.05,0.05,1.00,98.89,7.099,7.35,7.115,7.116,
2021/03/04,12:48:35,-0.1642,21.392,34.691,48.949,53170.164,1024.151,24.152,0.07,0.07,1.07,101.07,7.259,7.35,7.276,7.277,
2021/03/04,12:48:36,-0.1839,21.472,34.654,48.985,53107.248,1024.101,24.102,0.06,0.06,1.17,102.27,7.350,7.37,7.367,7.368,
2021/03/04,12:48:36,-0.2231,21.536,34.594,48.974,53014.150,1024.037,24.038,0.06,0.06,1.09,102.88,7.398,7.38,7.415,7.416,
2021/03/04,12:48:36,-0.2035,21.549,34.590,48.982,53006.047,1024.030,24.031,0.05,0.05,0.94,103.19,7.420,7.39,7.437,7.438,
2021/03/04,12:48:36,-0.2231,21.585,34.570,48.993,52973.267,1024.005,24.006,0.05,0.05,0.92,103.39,7.433,7.38,7.450,7.451,
2021/03/04,12:48:36,-0.2035,21.589,34.576,49.005,52981.565,1024.009,24.010,0.06,0.06,0.92,103.36,7.429,7.37,7.447,7.448,
2021/03/04,12:48:36,-0.2231,21.528,34.619,48.997,53049.835,1024.059,24.060,0.05,0.05,0.94,103.43,7.434,7.39,7.452,7.453,
2021/03/04,12:48:36,-0.2231,21.531,34.570,48.939,52981.642,1024.020,24.021,0.05,0.05,0.91,103.58,7.447,7.38,7.464,7.465,
2021/03/04,12:48:36,-0.2231,21.481,34.616,48.946,53053.211,1024.069,24.070,0.05,0.05,0.90,103.87,7.467,7.40,7.485,7.486,
2021/03/04,12:48:36,-0.2231,21.485,34.605,48.936,53038.088,1024.060,24.061,0.05,0.05,0.88,104.14,7.488,7.40,7.506,7.507,
2021/03/04,12:48:36,-0.2231,21.557,34.559,48.951,52962.513,1024.005,24.005,0.05,0.05,0.90,104.43,7.510,7.39,7.528,7.529,
2021/03/04,12:48:37,-0.2231,21.604,34.533,48.966,52920.241,1023.972,23.973,0.05,0.05,0.85,104.65,7.525,7.39,7.543,7.544,
2021/03/04,12:48:37,-0.2231,21.550,34.567,48.954,52974.955,1024.013,24.014,0.05,0.05,0.92,104.95,7.543,7.40,7.561,7.562,
2021/03/04,12:48:37,-0.2231,21.512,34.600,48.956,53025.963,1024.048,24.049,0.05,0.05,0.88,105.16,7.554,7.39,7.572,7.573,
2021/03/04,12:48:37,-0.2428,21.511,34.619,48.980,53051.962,1024.063,24.064,0.05,0.05,0.82,105.29,7.562,7.41,7.580,7.581,
2021/03/04,12:48:37,-0.2428,21.503,34.617,48.970,53051.410,1024.064,24.065,0.05,0.05,0.82,105.52,7.578,7.41,7.596,7.597,
2021/03/04,12:48:37,-0.2428,21.474,34.631,48.957,53074.640,1024.082,24.083,0.05,0.05,0.95,105.77,7.596,7.41,7.614,7.615,
2021/03/04,12:48:37,-0.2231,21.445,34.646,48.947,53100.090,1024.102,24.103,0.05,0.05,0.85,105.92,7.604,7.41,7.623,7.624,
2021/03/04,12:48:37,-0.2231,21.429,34.654,48.941,53113.140,1024.112,24.113,0.05,0.05,0.81,106.14,7.619,7.41,7.638,7.639,
2021/03/04,12:48:37,-0.2231,21.422,34.649,48.926,53107.477,1024.110,24.111,0.06,0.06,0.80,106.16,7.620,7.42,7.638,7.639,
2021/03/04,12:48:37,-0.2231,21.444,34.646,48.946,53100.405,1024.102,24.103,0.05,0.05,0.77,106.13,7.615,7.42,7.633,7.634,
2021/03/04,12:48:38,-0.2231,21.462,34.646,48.964,53097.618,1024.097,24.098,0.04,0.04,0.81,106.14,7.614,7.41,7.632,7.633,
2021/03/04,12:48:38,-0.2231,21.484,34.635,48.973,53078.915,1024.083,24.084,0.05,0.05,0.84,106.24,7.620,7.43,7.638,7.639,
2021/03/04,12:48:38,-0.2231,21.511,34.638,49.005,53078.986,1024.078,24.079,0.05,0.05,0.74,106.09,7.603,7.43,7.622,7.623,
2021/03/04,12:48:38,-0.2428,21.521,34.610,48.980,53039.046,1024.054,24.055,0.05,0.05,0.72,106.16,7.608,7.43,7.626,7.627,
2021/03/04,12:48:38,-0.2231,21.553,34.581,48.975,52993.373,1024.022,24.023,0.05,0.05,0.77,106.38,7.628,7.42,7.646,7.647,
2021/03/04,12:48:38,-0.2231,21.582,34.570,48.991,52974.500,1024.007,24.008,0.06,0.06,0.78,106.27,7.625,7.42,7.644,7.645,
2021/03/04,12:48:38,-0.2231,21.601,34.539,48.971,52928.709,1023.978,23.979,0.08,0.08,0.87,106.37,7.640,7.44,7.658,7.659,
2021/03/04,12:48:38,-0.2231,21.589,34.501,48.910,52877.943,1023.951,23.952,0.06,0.06,0.78,106.40,7.646,7.42,7.664,7.665,
2021/03/04,12:48:38,-0.2231,21.563,34.503,48.887,52885.592,1023.961,23.962,0.04,0.04,0.75,106.57,7.660,7.42,7.678,7.679,
2021/03/04,12:48:38,-0.2231,21.547,34.526,48.899,52919.434,1023.982,23.983,0.05,0.05,0.77,106.63,7.663,7.43,7.681,7.682,
2021/03/04,12:48:39,-0.2231,21.542,34.542,48.915,52942.842,1023.996,23.997,0.05,0.05,0.77,106.61,7.659,7.43,7.677,7.678,
2021/03/04,12:48:39,-0.2035,21.531,34.560,48.926,52968.690,1024.013,24.014,0.06,0.06,0.82,106.65,7.659,7.43,7.678,7.679,
2021/03/04,12:48:39,-0.2231,21.533,34.573,48.945,52986.176,1024.022,24.023,0.06,0.06,0.85,106.62,7.655,7.43,7.674,7.675,
