//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=280       
StartTime=2021/03/04 08:11:32
EndTime=2021/03/04 08:11:59
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/04,08:11:32,-0.1839,19.018,0.029,0.046,52.895,998.424,-1.575,-0.17,-0.17,1.11,96.38,8.886,7.30,8.904,8.904,
2021/03/04,08:11:32,-0.1839,19.008,0.029,0.046,52.580,998.426,-1.573,-0.17,-0.17,1.09,96.55,8.902,7.29,8.920,8.920,
2021/03/04,08:11:32,-0.2035,18.986,0.029,0.046,52.687,998.430,-1.569,-0.15,-0.15,1.11,96.43,8.892,7.31,8.909,8.909,
2021/03/04,08:11:32,-0.1839,18.961,0.029,0.046,52.697,998.436,-1.564,-0.16,-0.16,1.05,96.44,8.894,7.33,8.911,8.912,
2021/03/04,08:11:32,-0.1839,18.947,0.029,0.046,52.953,998.438,-1.561,-0.14,-0.14,0.82,96.41,8.899,7.33,8.916,8.916,
2021/03/04,08:11:32,-0.1839,18.952,0.029,0.046,52.503,998.437,-1.562,-0.16,-0.16,0.68,96.53,8.918,7.33,8.935,8.935,
2021/03/04,08:11:32,-0.2035,18.954,0.029,0.046,52.755,998.437,-1.562,-0.18,-0.18,0.60,96.58,8.927,7.34,8.944,8.945,
2021/03/04,08:11:32,-0.1839,18.960,0.029,0.045,52.350,998.436,-1.564,-0.15,-0.15,0.53,96.56,8.925,7.35,8.942,8.942,
2021/03/04,08:11:32,-0.2035,18.964,0.029,0.046,52.821,998.435,-1.564,-0.16,-0.16,0.53,96.53,8.922,7.35,8.939,8.939,
2021/03/04,08:11:32,-0.2035,18.966,0.029,0.046,53.058,998.435,-1.564,-0.14,-0.14,0.58,96.59,8.928,7.35,8.945,8.945,
2021/03/04,08:11:33,-0.1839,18.968,0.029,0.046,52.746,998.434,-1.565,-0.15,-0.15,0.54,96.70,8.942,7.37,8.959,8.959,
2021/03/04,08:11:33,-0.1839,18.967,0.029,0.045,52.236,998.434,-1.565,-0.18,-0.18,0.45,96.71,8.946,7.38,8.963,8.963,
2021/03/04,08:11:33,-0.1839,18.970,0.029,0.046,52.540,998.434,-1.565,-0.15,-0.15,0.53,96.57,8.933,7.39,8.950,8.950,
2021/03/04,08:11:33,-0.2231,18.974,0.029,0.046,52.940,998.433,-1.566,-0.15,-0.15,0.78,96.54,8.929,7.39,8.946,8.946,
2021/03/04,08:11:33,-0.2035,18.973,0.029,0.046,52.569,998.433,-1.566,-0.15,-0.15,1.32,96.64,8.939,7.38,8.956,8.956,
