//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=260       
StartTime=2021/03/04 08:26:02
EndTime=2021/03/04 08:26:27
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/04,08:26:02,-0.1839,19.597,0.029,0.046,52.038,998.309,-1.690,-0.04,-0.04,0.10,100.88,9.386,7.29,9.404,9.404,
2021/03/04,08:26:02,-0.2035,19.598,0.029,0.046,52.320,998.309,-1.690,-0.05,-0.05,0.10,100.86,9.384,7.31,9.402,9.402,
2021/03/04,08:26:02,-0.2231,19.596,0.029,0.046,51.970,998.309,-1.690,-0.05,-0.05,0.10,100.85,9.385,7.31,9.403,9.403,
2021/03/04,08:26:02,-0.2231,19.594,0.029,0.046,52.291,998.310,-1.689,-0.05,-0.05,0.10,100.94,9.394,7.33,9.411,9.411,
2021/03/04,08:26:02,-0.2231,19.591,0.029,0.046,52.374,998.310,-1.689,-0.05,-0.05,0.10,100.86,9.387,7.33,9.405,9.405,
2021/03/04,08:26:02,-0.2231,19.590,0.029,0.046,51.746,998.310,-1.689,-0.05,-0.05,0.10,100.81,9.382,7.33,9.400,9.400,
2021/03/04,08:26:02,-0.2231,19.591,0.029,0.046,52.412,998.310,-1.689,-0.05,-0.05,0.09,100.85,9.388,7.33,9.405,9.406,
2021/03/04,08:26:02,-0.2231,19.594,0.029,0.046,52.040,998.310,-1.689,-0.05,-0.05,0.09,100.90,9.393,7.33,9.411,9.411,
2021/03/04,08:26:02,-0.2231,19.597,0.029,0.046,51.812,998.309,-1.690,-0.05,-0.05,0.10,100.96,9.397,7.35,9.415,9.415,
2021/03/04,08:26:02,-0.2035,19.598,0.029,0.046,52.701,998.309,-1.690,-0.05,-0.05,0.09,100.96,9.398,7.35,9.415,9.416,
2021/03/04,08:26:03,-0.2231,19.601,0.029,0.046,52.327,998.308,-1.691,-0.05,-0.05,0.10,100.91,9.393,7.37,9.411,9.411,
2021/03/04,08:26:03,-0.2231,19.599,0.029,0.046,52.412,998.309,-1.690,-0.05,-0.05,0.09,100.94,9.396,7.35,9.414,9.414,
2021/03/04,08:26:03,-0.2035,19.598,0.029,0.046,52.287,998.309,-1.690,-0.05,-0.05,0.09,100.97,9.398,7.37,9.416,9.416,
2021/03/04,08:26:03,-0.2231,19.599,0.029,0.046,52.124,998.309,-1.690,-0.04,-0.04,0.26,101.01,9.400,7.39,9.417,9.417,
2021/03/04,08:26:03,-0.2231,19.599,0.029,0.046,52.235,998.309,-1.690,-0.11,-0.11,0.85,100.86,9.386,7.39,9.404,9.404,
