"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.86,NA,NA,NA,NA
"2","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.85,NA,NA,NA,NA
"3","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.94,NA,NA,NA,NA
"4","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.86,NA,NA,NA,NA
"5","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.81,NA,NA,NA,NA
"6","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.85,NA,NA,NA,NA
"7","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.9,NA,NA,NA,NA
"8","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.96,NA,NA,NA,NA
"9","2021/03/04","08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.96,NA,NA,NA,NA
"10","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.91,NA,NA,NA,NA
"11","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.94,NA,NA,NA,NA
"12","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.97,NA,NA,NA,NA
"13","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.01,NA,NA,NA,NA
"14","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,100.86,NA,NA,NA,NA
"15","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.87,NA,7.4,NA,NA
"16","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.81,NA,NA,NA,NA
"17","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.77,NA,7.4,NA,NA
"18","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.71,NA,7.41,NA,NA
"19","2021/03/04","08:26:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.73,NA,7.4,NA,NA
"20","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.72,NA,7.41,NA,NA
"21","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,100.77,NA,7.4,NA,NA
"22","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8,NA,7.41,NA,NA
"23","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.68,NA,7.42,NA,NA
"24","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.62,NA,7.42,NA,NA
"25","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,7.42,NA,NA
"26","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.86,NA,7.42,NA,NA
"27","2021/03/04","08:26:04",NA,NA,NA,NA,NA,NA,NA,0.47,0.47,NA,102.05,NA,7.42,NA,NA
