//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/03/04 11:05:48
EndTime=2021/03/04 11:06:05
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/04,11:05:48,-0.2231,21.775,0.029,0.046,49.508,997.843,-2.156,-0.02,-0.02,0.10,1.96,0.173,7.29,0.173,0.173,
2021/03/04,11:05:48,-0.2624,21.762,0.029,0.046,49.671,997.846,-2.153,-0.03,-0.03,0.10,39.12,3.450,7.29,3.458,3.458,
2021/03/04,11:05:48,-0.2624,21.755,0.029,0.046,49.713,997.848,-2.151,-0.03,-0.03,0.10,70.51,6.221,7.31,6.235,6.235,
2021/03/04,11:05:48,-0.2624,21.743,0.029,0.047,50.373,997.851,-2.148,-0.35,-0.35,139.26,14.31,1.263,7.31,1.265,1.265,
2021/03/04,11:05:48,-0.2624,21.736,0.029,0.046,49.351,997.852,-2.147,-0.53,-0.53,175.27,-4.77,-0.421,7.34,-0.422,-0.422,
2021/03/04,11:05:48,-0.2624,21.729,0.029,0.046,49.967,997.854,-2.145,-0.69,-0.69,193.91,-1.86,-0.164,7.34,-0.164,-0.164,
2021/03/04,11:05:48,-0.2624,21.731,0.029,0.046,49.485,997.853,-2.146,-3.03,-3.03,337.06,-8.09,-0.714,7.35,-0.715,-0.715,
2021/03/04,11:05:48,-0.2231,21.641,22.161,32.888,35512.438,1014.586,14.587,-1.03,-1.03,315.49,11.14,0.864,7.37,0.866,0.866,
2021/03/04,11:05:48,-0.1839,21.455,34.563,48.853,52984.695,1024.036,24.037,-0.07,-0.07,58.39,47.82,3.455,7.39,3.463,3.463,
2021/03/04,11:05:48,-0.1642,21.355,34.609,48.809,53064.605,1024.099,24.099,0.11,0.11,12.87,75.93,5.487,7.38,5.500,5.500,
2021/03/04,11:05:49,-0.1642,21.301,34.596,48.738,53055.772,1024.104,24.104,0.14,0.14,3.84,90.31,6.528,7.39,6.543,6.544,
2021/03/04,11:05:49,-0.1446,21.273,34.664,48.795,53153.498,1024.163,24.164,0.17,0.17,1.89,96.44,6.969,7.38,6.986,6.986,
2021/03/04,11:05:49,-0.1446,21.260,34.678,48.799,53174.822,1024.177,24.178,0.16,0.16,1.51,98.71,7.132,7.39,7.149,7.149,
2021/03/04,11:05:49,-0.1446,21.254,34.677,48.792,53174.637,1024.178,24.179,0.17,0.17,1.45,99.52,7.190,7.38,7.207,7.208,
2021/03/04,11:05:49,-0.1446,21.252,34.669,48.780,53163.720,1024.173,24.173,0.17,0.17,1.48,99.80,7.211,7.40,7.227,7.228,
