"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","11:05:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/03/04","11:05:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/03/04","11:05:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/03/04","11:05:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/03/04","11:05:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/03/04","11:05:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/03/04","11:05:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/03/04","11:05:48",NA,NA,34.563,48.853,52984.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/03/04","11:05:48",-0.1642,21.355,34.609,48.809,53064.605,1024.099,24.099,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/03/04","11:05:49",-0.1642,21.301,34.596,48.738,53055.772,1024.104,24.104,0.14,0.14,NA,NA,NA,NA,NA,NA
"11","2021/03/04","11:05:49",NA,21.273,34.664,48.795,53153.498,1024.163,24.164,0.17,0.17,NA,96.44,6.969,NA,6.986,6.986
"12","2021/03/04","11:05:49",NA,21.26,34.678,48.799,53174.822,1024.177,24.178,0.16,0.16,1.51,98.71,7.132,NA,7.149,7.149
"13","2021/03/04","11:05:49",NA,21.254,34.677,48.792,53174.637,1024.178,24.179,0.17,0.17,1.45,99.52,7.19,NA,7.207,7.208
"14","2021/03/04","11:05:49",NA,NA,34.669,48.78,53163.72,1024.173,24.173,0.17,0.17,1.48,NA,NA,NA,NA,NA
"15","2021/03/04","11:05:49",-0.1642,21.259,34.666,48.784,53158.045,1024.168,24.169,0.18,0.18,1.48,99.66,NA,NA,NA,NA
"16","2021/03/04","11:05:49",NA,21.276,34.653,48.785,53138.325,1024.154,24.155,0.17,0.17,1.48,99.59,7.195,NA,7.212,7.213
"17","2021/03/04","11:05:49",NA,21.289,34.643,48.786,53122.208,1024.143,24.143,0.18,0.18,1.39,99.57,7.194,NA,7.21,7.211
"18","2021/03/04","11:05:49",NA,21.3,34.642,48.795,53119.294,1024.139,24.14,0.18,0.18,1.29,99.43,7.183,NA,7.199,7.2
"19","2021/03/04","11:05:49",NA,21.306,34.637,48.795,53110.992,1024.133,24.134,0.18,0.18,1.28,99.39,7.18,NA,7.197,7.198
"20","2021/03/04","11:05:50",-0.1642,21.303,34.64,48.796,53116.161,1024.137,24.138,0.2,0.2,1.29,99.28,7.171,NA,7.188,7.189
"21","2021/03/04","11:05:50",NA,21.294,34.652,48.801,53133.152,1024.148,24.149,0.18,0.18,1.32,99.13,7.16,NA,7.176,7.177
"22","2021/03/04","11:05:50",-0.1642,21.285,34.665,48.808,53152.759,1024.16,24.161,0.18,0.18,1.27,99.06,7.153,NA,7.17,7.171
"23","2021/03/04","11:05:50",NA,21.284,34.67,48.813,53159.191,1024.164,24.165,0.2,0.2,1.24,99.02,7.15,NA,7.167,7.168
"24","2021/03/04","11:05:50",NA,21.289,34.675,48.826,53165.587,1024.167,24.167,0.18,0.18,1.19,98.97,7.146,NA,7.163,7.164
"25","2021/03/04","11:05:50",-0.1642,21.292,34.681,48.836,53173.817,1024.171,24.172,0.21,0.21,1.24,98.92,7.142,7.44,7.159,7.16
"26","2021/03/04","11:05:50",-0.1642,21.292,34.686,48.842,53180.393,1024.175,24.175,0.2,0.2,1.27,98.92,7.141,7.43,7.158,7.159
"27","2021/03/04","11:05:50",-0.1642,21.295,34.683,48.842,53175.964,1024.171,24.172,0.21,0.21,1.19,98.84,7.136,7.43,7.152,7.153
"28","2021/03/04","11:05:50",NA,21.311,34.664,48.834,53147.488,1024.153,24.154,0.21,0.21,1.15,98.79,7.133,NA,7.149,7.15
"29","2021/03/04","11:05:50",NA,21.327,34.647,48.829,53121.79,1024.136,24.136,0.2,0.2,1.24,98.77,7.132,7.43,7.149,7.15
"30","2021/03/04","11:05:51",-0.1642,21.323,34.657,48.837,53135.159,1024.144,24.144,0.18,0.18,1.22,98.74,7.129,7.43,7.146,7.147
"31","2021/03/04","11:05:51",NA,21.319,34.666,48.845,53149.063,1024.152,24.153,0.19,0.19,1.24,98.68,7.125,7.43,7.141,7.142
"32","2021/03/04","11:05:51",NA,21.317,34.669,48.847,53153.418,1024.155,24.156,0.2,0.2,1.29,98.66,7.123,7.44,7.14,7.141
"33","2021/03/04","11:05:51",-0.1642,21.316,34.67,48.846,53154.44,1024.156,24.157,0.18,0.18,1.29,98.56,7.116,7.44,7.133,7.134
"34","2021/03/04","11:05:51",-0.1642,21.313,34.674,48.849,53160.69,1024.16,24.161,0.2,0.2,1.19,98.57,7.117,7.43,7.133,7.134
"35","2021/03/04","11:05:51",-0.1642,21.31,34.684,48.858,53174.241,1024.168,24.169,0.21,0.21,1.15,98.51,7.112,7.44,7.129,7.13
"36","2021/03/04","11:05:51",-0.1642,21.309,34.684,48.857,53174.49,1024.168,24.169,0.21,0.21,1.15,98.47,7.109,7.43,7.126,7.127
"37","2021/03/04","11:05:51",-0.1642,21.308,34.679,48.849,53167.851,1024.165,24.165,0.21,0.21,1.14,98.4,7.105,7.44,7.121,7.122
