//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2021/03/18 10:13:54
EndTime=2021/03/18 10:14:07
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/18,10:13:54,-0.1642,22.736,34.667,50.290,52926.697,1023.756,23.757,0.23,0.23,5.73,95.40,6.697,7.90,6.714,6.715,
2021/03/18,10:13:54,-0.1839,22.716,34.682,50.289,52949.451,1023.773,23.774,0.21,0.21,5.90,95.61,6.718,7.91,6.735,6.736,
2021/03/18,10:13:54,-0.1839,22.710,34.700,50.305,52974.723,1023.788,23.789,0.20,0.20,6.20,95.67,6.723,7.91,6.740,6.741,
2021/03/18,10:13:54,-0.1839,22.709,34.692,50.294,52964.456,1023.783,23.784,0.21,0.21,5.91,95.85,6.737,7.91,6.754,6.755,
2021/03/18,10:13:54,-0.1839,22.712,34.717,50.330,52997.786,1023.801,23.801,0.21,0.21,5.81,95.94,6.742,7.91,6.759,6.760,
2021/03/18,10:13:54,-0.1839,22.726,34.724,50.353,53004.743,1023.802,23.802,0.20,0.20,5.65,96.09,6.752,7.93,6.769,6.770,
2021/03/18,10:13:54,-0.1839,22.737,34.715,50.353,52991.102,1023.792,23.793,0.21,0.21,5.48,96.11,6.752,7.96,6.769,6.770,
2021/03/18,10:13:54,-0.1642,22.749,34.707,50.356,52979.401,1023.783,23.784,0.20,0.20,5.54,96.11,6.751,7.96,6.768,6.769,
2021/03/18,10:13:54,-0.1839,22.744,34.716,50.362,52992.355,1023.791,23.792,0.20,0.20,5.47,96.19,6.755,7.95,6.772,6.773,
2021/03/18,10:13:54,-0.1642,22.748,34.727,50.380,53006.417,1023.798,23.799,0.21,0.21,5.45,96.25,6.757,7.96,6.774,6.775,
2021/03/18,10:13:55,-0.1642,22.750,34.725,50.380,53003.583,1023.796,23.797,0.21,0.21,5.24,96.20,6.753,7.97,6.770,6.771,
2021/03/18,10:13:55,-0.1839,22.754,34.721,50.378,52996.627,1023.791,23.792,0.24,0.24,5.11,96.25,6.756,7.99,6.773,6.774,
2021/03/18,10:13:55,-0.1642,22.764,34.686,50.344,52948.620,1023.763,23.763,0.21,0.21,4.76,96.38,6.767,7.98,6.784,6.785,
2021/03/18,10:13:55,-0.1642,22.786,34.664,50.337,52915.288,1023.740,23.740,0.21,0.21,4.33,96.31,6.765,7.99,6.782,6.783,
2021/03/18,10:13:55,-0.1642,22.799,34.664,50.350,52912.627,1023.736,23.736,0.21,0.21,4.23,96.32,6.766,7.98,6.783,6.784,
2021/03/18,10:13:55,-0.1642,22.814,34.650,50.348,52892.072,1023.721,23.722,0.21,0.21,4.33,96.38,6.771,8.03,6.788,6.789,
