//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2021/03/18 08:38:37
EndTime=2021/03/18 08:38:50
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/18,08:38:37,-0.2428,21.846,0.029,0.046,49.243,997.827,-2.171,0.37,0.37,1.54,96.02,8.383,7.90,8.401,8.402,
2021/03/18,08:38:37,-0.2624,21.845,0.029,0.046,49.354,997.827,-2.171,0.38,0.38,1.49,95.99,8.381,7.92,8.400,8.400,
2021/03/18,08:38:37,-0.2820,21.845,0.029,0.046,49.130,997.827,-2.171,0.39,0.39,1.39,95.95,8.377,7.94,8.396,8.396,
2021/03/18,08:38:37,-0.2820,21.841,0.029,0.046,49.317,997.828,-2.170,0.38,0.38,1.44,95.97,8.380,7.94,8.399,8.400,
2021/03/18,08:38:37,-0.2820,21.840,0.028,0.046,48.918,997.829,-2.170,0.38,0.38,1.78,95.89,8.374,7.93,8.393,8.393,
2021/03/18,08:38:37,-0.2820,21.839,0.029,0.046,49.319,997.829,-2.170,0.38,0.38,1.65,95.99,8.383,7.93,8.402,8.402,
2021/03/18,08:38:37,-0.2820,21.838,0.029,0.046,49.027,997.829,-2.170,0.38,0.38,1.52,95.99,8.384,7.96,8.403,8.403,
2021/03/18,08:38:37,-0.2820,21.839,0.029,0.046,49.286,997.829,-2.170,0.39,0.39,1.56,95.95,8.382,7.97,8.400,8.401,
2021/03/18,08:38:37,-0.2820,21.842,0.029,0.046,49.364,997.828,-2.171,0.41,0.41,1.58,96.05,8.390,7.95,8.409,8.409,
2021/03/18,08:38:37,-0.2820,21.844,0.029,0.046,49.031,997.828,-2.171,0.40,0.40,2.18,95.98,8.385,7.96,8.404,8.404,
2021/03/18,08:38:38,-0.2820,21.846,0.029,0.046,49.169,997.827,-2.172,0.41,0.41,1.99,96.02,8.389,7.99,8.407,8.408,
2021/03/18,08:38:38,-0.2820,21.847,0.029,0.046,49.017,997.827,-2.172,0.39,0.39,2.75,95.92,8.381,8.00,8.400,8.400,
2021/03/18,08:38:38,-0.2820,21.848,0.029,0.046,49.417,997.827,-2.172,0.39,0.39,3.77,95.95,8.385,7.98,8.403,8.404,
2021/03/18,08:38:38,-0.2820,21.855,0.029,0.046,49.046,997.825,-2.174,0.41,0.41,5.14,96.01,8.390,7.98,8.409,8.409,
2021/03/18,08:38:38,-0.2820,21.860,0.028,0.046,48.904,997.824,-2.175,0.44,0.44,11.78,96.04,8.392,8.00,8.411,8.411,
2021/03/18,08:38:38,-0.2820,21.868,0.028,0.046,48.898,997.822,-2.177,0.18,0.18,265.68,96.31,8.414,8.01,8.433,8.433,
