"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.38,0.38,1.49,95.99,NA,NA,NA,NA
"2","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.39,0.39,1.39,95.95,NA,NA,NA,NA
"3","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.38,0.38,1.44,95.97,NA,NA,NA,NA
"4","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.38,0.38,NA,95.89,NA,NA,NA,NA
"5","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.38,0.38,NA,95.99,NA,NA,NA,NA
"6","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.38,0.38,1.52,95.99,NA,NA,NA,NA
"7","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.39,0.39,1.56,95.95,NA,NA,NA,NA
"8","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.41,0.41,1.58,96.05,NA,NA,NA,NA
"9","2021/03/18","08:38:37",NA,NA,NA,NA,NA,NA,NA,0.4,0.4,NA,95.98,NA,NA,NA,NA
"10","2021/03/18","08:38:38",NA,NA,NA,NA,NA,NA,NA,0.41,0.41,NA,96.02,NA,NA,NA,NA
"11","2021/03/18","08:38:38",NA,NA,NA,NA,NA,NA,NA,0.39,0.39,NA,95.92,NA,NA,NA,NA
"12","2021/03/18","08:38:38",NA,NA,NA,NA,NA,NA,NA,0.39,0.39,NA,95.95,NA,NA,NA,NA
"13","2021/03/18","08:38:38",NA,NA,NA,NA,NA,NA,NA,0.41,0.41,NA,96.01,NA,NA,NA,NA
"14","2021/03/18","08:38:38",NA,NA,NA,NA,NA,NA,NA,0.44,0.44,NA,96.04,NA,NA,NA,NA
"15","2021/03/18","08:38:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.31,NA,8.01,NA,NA
"16","2021/03/18","08:38:38",-0.2231,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.17,NA,8.03,NA,NA
"17","2021/03/18","08:38:38",NA,NA,NA,NA,NA,NA,NA,0.4,0.4,NA,97.24,NA,8.02,NA,NA
"18","2021/03/18","08:38:38",-0.2035,NA,NA,NA,NA,NA,NA,0.47,0.47,NA,97.05,6.887,8.02,6.904,6.905
