//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2021/03/18 08:32:31
EndTime=2021/03/18 08:32:43
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/18,08:32:31,-0.2428,22.136,0.027,0.043,46.216,997.761,-2.238,-0.07,-0.07,0.70,99.58,8.627,7.89,8.646,8.647,
2021/03/18,08:32:31,-0.2820,22.130,0.027,0.043,46.262,997.762,-2.237,-0.05,-0.05,0.97,99.48,8.618,7.92,8.638,8.638,
2021/03/18,08:32:31,-0.2624,22.128,0.027,0.043,46.319,997.763,-2.236,-0.05,-0.05,1.05,99.38,8.609,7.92,8.629,8.629,
2021/03/18,08:32:31,-0.2820,22.127,0.028,0.043,46.431,997.763,-2.236,-0.04,-0.04,1.88,99.46,8.617,7.92,8.636,8.637,
2021/03/18,08:32:31,-0.2624,22.130,0.027,0.043,46.295,997.762,-2.237,-0.02,-0.02,1.86,99.47,8.618,7.94,8.638,8.638,
2021/03/18,08:32:31,-0.2624,22.125,0.027,0.043,46.362,997.763,-2.236,0.00,0.00,3.86,99.41,8.613,7.95,8.633,8.633,
2021/03/18,08:32:31,-0.2624,22.116,0.027,0.043,46.364,997.765,-2.234,0.01,0.01,7.38,99.41,8.613,7.95,8.633,8.633,
2021/03/18,08:32:31,-0.2820,22.104,0.028,0.044,46.462,997.768,-2.231,-0.28,-0.28,204.69,99.36,8.609,7.96,8.628,8.629,
2021/03/18,08:32:31,-0.2428,22.197,0.041,0.074,78.393,997.757,-2.242,-0.28,-0.28,279.82,98.79,8.549,7.97,8.569,8.569,
2021/03/18,08:32:31,-0.2231,22.439,13.881,21.834,23137.727,1008.137,8.138,0.24,0.24,55.45,99.05,7.893,7.95,7.913,7.912,
2021/03/18,08:32:32,-0.1839,22.621,34.062,49.392,52120.477,1023.330,23.331,0.36,0.36,13.10,99.40,7.031,7.98,7.049,7.050,
2021/03/18,08:32:32,-0.1839,22.749,32.826,47.915,50411.689,1022.356,22.357,0.35,0.35,4.00,99.73,7.097,7.99,7.115,7.116,
2021/03/18,08:32:32,-0.1839,22.835,32.763,47.916,50313.312,1022.284,22.285,0.35,0.35,1.91,99.93,7.108,8.00,7.126,7.127,
2021/03/18,08:32:32,-0.1839,22.891,32.727,47.925,50256.797,1022.241,22.242,0.38,0.38,1.31,100.07,7.116,8.00,7.134,7.135,
2021/03/18,08:32:32,-0.1642,22.934,32.696,47.925,50207.876,1022.205,22.206,0.38,0.38,1.21,100.10,7.116,8.00,7.134,7.135,
2021/03/18,08:32:32,-0.2035,22.966,32.667,47.919,50164.119,1022.174,22.175,0.38,0.38,1.19,100.13,7.117,8.01,7.135,7.136,
