"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,99.48,NA,NA,NA,NA
"2","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,99.38,NA,NA,NA,NA
"3","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.46,NA,NA,NA,NA
"4","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.47,NA,NA,NA,NA
"5","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.41,NA,NA,NA,NA
"6","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.41,NA,NA,NA,NA
"7","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.36,NA,NA,NA,NA
"8","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.79,NA,NA,NA,NA
"9","2021/03/18","08:32:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.05,NA,NA,NA,NA
"10","2021/03/18","08:32:32",-0.1839,NA,NA,NA,NA,NA,NA,0.36,0.36,NA,99.4,7.031,NA,7.049,7.05
"11","2021/03/18","08:32:32",-0.1839,NA,NA,47.915,NA,NA,NA,0.35,0.35,NA,99.73,7.097,NA,7.115,7.116
"12","2021/03/18","08:32:32",-0.1839,NA,NA,47.916,NA,NA,NA,0.35,0.35,NA,99.93,7.108,NA,7.126,7.127
"13","2021/03/18","08:32:32",-0.1839,22.891,NA,NA,NA,NA,NA,0.38,0.38,NA,100.07,7.116,NA,7.134,7.135
"14","2021/03/18","08:32:32",NA,22.934,NA,NA,NA,NA,NA,0.38,0.38,1.21,100.1,7.116,NA,7.134,7.135
"15","2021/03/18","08:32:32",NA,22.966,32.667,NA,50164.119,1022.174,22.175,0.38,0.38,1.19,100.13,7.117,NA,7.135,7.136
"16","2021/03/18","08:32:32",-0.1839,22.989,32.657,NA,50147.018,1022.16,22.161,0.38,0.38,1.08,99.95,7.102,NA,7.12,7.121
"17","2021/03/18","08:32:32",NA,23.003,32.64,NA,50121.759,1022.143,22.144,0.39,0.39,1.14,99.93,7.1,8.04,7.118,7.119
"18","2021/03/18","08:32:32",-0.1839,23.007,32.636,NA,50115.375,1022.139,22.139,0.38,0.38,1.07,99.77,7.088,8.03,7.106,7.107
"19","2021/03/18","08:32:32",NA,23.009,32.637,NA,50116.856,1022.139,22.14,0.38,0.38,1.07,99.72,7.082,8.02,7.1,7.101
"20","2021/03/18","08:32:33",-0.1839,23.011,32.633,NA,50111.726,1022.136,22.137,0.37,0.37,1.01,99.63,7.073,8.03,7.091,7.092
"21","2021/03/18","08:32:33",-0.1839,23.01,32.629,47.912,50105.863,1022.133,22.134,0.4,0.4,NA,99.53,7.065,8.04,7.083,7.084
"22","2021/03/18","08:32:33",-0.1839,23.008,32.623,47.903,50098.672,1022.129,22.13,0.4,0.4,NA,99.35,7.052,8.04,7.07,7.071
"23","2021/03/18","08:32:33",-0.1839,23.004,32.623,47.899,50098.272,1022.13,22.131,0.42,0.42,NA,99.2,7.041,8.03,7.059,7.06
"24","2021/03/18","08:32:33",-0.1839,23,32.622,47.894,50098.373,1022.131,22.131,0.38,0.38,NA,98.95,7.023,8.06,7.041,7.042
"25","2021/03/18","08:32:33",-0.1839,23.002,32.622,47.895,50096.976,1022.13,22.13,0.35,0.35,1.11,98.85,7.015,8.04,7.033,7.034
"26","2021/03/18","08:32:33",NA,23.004,32.619,47.893,50092.691,1022.127,22.128,0.35,0.35,0.92,98.71,7.005,8.03,7.023,7.024
"27","2021/03/18","08:32:33",NA,23.004,32.616,47.889,50089.464,1022.125,22.126,0.37,0.37,0.85,98.43,6.984,8.03,7.002,7.003
"28","2021/03/18","08:32:33",-0.1839,23.005,32.612,47.885,50083.355,1022.121,22.122,0.4,0.4,0.87,98.39,6.981,8.06,6.999,7
"29","2021/03/18","08:32:33",-0.1839,23.005,32.608,47.88,50078.099,1022.118,22.119,0.39,0.39,0.97,98.2,6.967,8.06,6.985,6.986
"30","2021/03/18","08:32:34",-0.1839,22.999,32.609,47.876,50080.527,1022.121,22.122,0.38,0.38,1.05,98.11,6.961,8.04,6.979,6.979
"31","2021/03/18","08:32:34",-0.1839,22.992,32.613,47.874,50086.216,1022.126,22.126,0.36,0.36,1.01,98.1,6.96,8.05,6.978,6.979
"32","2021/03/18","08:32:34",NA,22.985,32.619,47.875,50095.72,1022.132,22.133,0.35,0.35,0.87,97.94,6.948,8.07,6.966,6.967
