//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2021/03/18 11:27:13
EndTime=2021/03/18 11:27:28
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/03/18,11:27:13,-0.2820,25.234,0.028,0.046,45.983,997.006,-2.992,-0.07,-0.07,3.37,95.50,7.790,7.88,7.810,7.811,
2021/03/18,11:27:13,-0.3213,25.241,0.028,0.046,46.128,997.004,-2.994,-0.07,-0.07,16.65,95.44,7.785,7.92,7.805,7.805,
2021/03/18,11:27:13,-0.3016,25.235,0.028,0.046,45.997,997.006,-2.993,-0.70,-0.70,477.33,94.88,7.751,7.92,7.771,7.772,
2021/03/18,11:27:13,-0.2624,24.506,36.539,54.603,55202.193,1024.654,24.655,-0.09,-0.09,126.78,94.04,6.334,7.91,6.351,6.352,
2021/03/18,11:27:13,-0.2624,23.839,25.595,39.188,40215.094,1016.583,16.584,0.11,0.11,25.63,94.70,6.860,7.91,6.878,6.879,
2021/03/18,11:27:13,-0.2231,23.445,34.385,50.648,52442.049,1023.338,23.339,0.15,0.15,6.17,95.40,6.605,7.94,6.622,6.623,
2021/03/18,11:27:13,-0.2231,23.215,34.548,50.627,52695.768,1023.528,23.529,0.17,0.17,2.01,96.09,6.667,7.94,6.684,6.685,
2021/03/18,11:27:13,-0.2231,23.084,34.656,50.633,52860.590,1023.647,23.648,0.16,0.16,1.01,96.65,6.712,7.96,6.730,6.731,
2021/03/18,11:27:13,-0.2231,23.014,34.736,50.664,52979.293,1023.728,23.729,0.17,0.17,0.74,97.04,6.742,7.96,6.760,6.761,
2021/03/18,11:27:13,-0.2231,22.976,34.827,50.744,53108.774,1023.809,23.810,0.18,0.18,0.65,97.24,6.756,7.97,6.773,6.774,
2021/03/18,11:27:14,-0.2231,22.947,34.933,50.851,53257.283,1023.898,23.899,0.17,0.17,0.64,97.45,6.767,7.98,6.785,6.786,
2021/03/18,11:27:14,-0.2231,22.924,34.882,50.761,53190.060,1023.865,23.866,0.16,0.16,0.63,97.57,6.778,7.99,6.796,6.797,
2021/03/18,11:27:14,-0.2231,22.907,34.871,50.729,53177.953,1023.861,23.862,0.15,0.15,0.64,97.64,6.784,8.00,6.801,6.803,
2021/03/18,11:27:14,-0.2231,22.890,34.948,50.812,53285.612,1023.925,23.926,0.15,0.15,0.65,97.73,6.787,7.98,6.805,6.806,
2021/03/18,11:27:14,-0.2231,22.879,34.974,50.835,53322.638,1023.948,23.949,0.15,0.15,0.61,97.97,6.807,8.03,6.825,6.826,
2021/03/18,11:27:14,-0.2231,22.897,34.950,50.821,53286.631,1023.924,23.925,0.15,0.15,0.60,98.18,6.826,8.00,6.843,6.845,
