"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/18","11:27:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/03/18","11:27:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/03/18","11:27:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/03/18","11:27:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/03/18","11:27:13",-0.2231,NA,NA,50.648,NA,NA,NA,0.15,0.15,NA,NA,NA,NA,NA,NA
"6","2021/03/18","11:27:13",-0.2231,NA,34.548,50.627,52695.768,1023.528,23.529,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/03/18","11:27:13",-0.2231,23.084,34.656,50.633,52860.59,1023.647,23.648,0.16,0.16,NA,NA,NA,NA,NA,NA
"8","2021/03/18","11:27:13",-0.2231,23.014,34.736,50.664,52979.293,1023.728,23.729,NA,NA,0.74,NA,NA,NA,NA,NA
"9","2021/03/18","11:27:13",-0.2231,22.976,34.827,50.744,53108.774,1023.809,23.81,NA,NA,0.65,NA,NA,NA,NA,NA
"10","2021/03/18","11:27:14",-0.2231,NA,34.933,50.851,53257.283,1023.898,23.899,NA,NA,0.64,NA,NA,NA,NA,NA
"11","2021/03/18","11:27:14",-0.2231,NA,34.882,50.761,53190.06,1023.865,23.866,0.16,0.16,0.63,NA,NA,NA,NA,NA
"12","2021/03/18","11:27:14",-0.2231,NA,34.871,50.729,53177.953,1023.861,23.862,0.15,0.15,0.64,NA,NA,NA,NA,NA
"13","2021/03/18","11:27:14",-0.2231,NA,34.948,50.812,53285.612,1023.925,23.926,0.15,0.15,0.65,NA,NA,NA,NA,NA
"14","2021/03/18","11:27:14",-0.2231,NA,34.974,50.835,53322.638,1023.948,23.949,0.15,0.15,0.61,NA,NA,NA,NA,NA
"15","2021/03/18","11:27:14",-0.2231,NA,34.95,50.821,53286.631,1023.924,23.925,0.15,0.15,0.6,NA,NA,NA,NA,NA
"16","2021/03/18","11:27:14",-0.2231,NA,34.816,50.72,53095.592,1023.803,23.804,0.16,0.16,0.63,NA,NA,NA,NA,NA
"17","2021/03/18","11:27:14",-0.2231,23.018,34.767,50.709,53020.299,1023.75,23.751,0.15,0.15,0.68,NA,NA,NA,NA,NA
"18","2021/03/18","11:27:14",-0.2231,23.08,34.685,50.667,52900.863,1023.671,23.672,0.16,0.16,0.61,NA,NA,NA,NA,NA
"19","2021/03/18","11:27:14",-0.2231,23.099,34.67,50.666,52878.031,1023.654,23.655,0.15,0.15,0.63,NA,NA,NA,NA,NA
"20","2021/03/18","11:27:15",-0.2231,23.096,34.701,50.703,52919.954,1023.678,23.679,0.15,0.15,0.6,NA,NA,NA,NA,NA
"21","2021/03/18","11:27:15",-0.2231,23.07,34.73,50.713,52962.621,1023.707,23.708,0.15,0.15,0.7,NA,NA,8.04,NA,NA
"22","2021/03/18","11:27:15",-0.2231,23.069,34.696,50.669,52917.654,1023.682,23.683,0.15,0.15,0.63,NA,NA,NA,NA,NA
"23","2021/03/18","11:27:15",-0.2231,23.074,34.693,50.67,52912.132,1023.678,23.679,0.14,0.14,0.6,NA,NA,NA,NA,NA
"24","2021/03/18","11:27:15",NA,23.081,34.696,50.681,52915.24,1023.679,23.68,0.15,0.15,0.54,NA,NA,NA,NA,NA
"25","2021/03/18","11:27:15",-0.2231,23.082,34.694,50.68,52912.811,1023.677,23.678,0.15,0.15,0.55,NA,NA,8.04,NA,NA
"26","2021/03/18","11:27:15",NA,23.072,34.701,50.679,52923.897,1023.685,23.686,0.15,0.15,0.55,NA,NA,8.04,NA,NA
"27","2021/03/18","11:27:15",-0.2231,23.069,34.696,50.669,52916.801,1023.682,23.683,0.14,0.14,0.65,NA,NA,NA,NA,NA
"28","2021/03/18","11:27:15",-0.2231,23.066,34.702,50.673,52925.726,1023.688,23.689,0.15,0.15,0.64,NA,NA,NA,NA,NA
"29","2021/03/18","11:27:15",NA,23.068,34.683,50.651,52899.663,1023.673,23.674,0.15,0.15,0.58,NA,NA,8.04,NA,NA
"30","2021/03/18","11:27:16",-0.2231,23.089,34.687,50.678,52902.168,1023.67,23.671,0.15,0.15,0.57,NA,NA,8.04,NA,NA
"31","2021/03/18","11:27:16",-0.2231,23.156,34.621,50.661,52803.484,1023.601,23.601,0.15,0.15,0.57,NA,NA,8.05,NA,NA
"32","2021/03/18","11:27:16",-0.2231,23.168,34.6,50.646,52773.238,1023.581,23.582,0.15,0.15,0.55,101.11,7.062,8.06,7.08,7.081
"33","2021/03/18","11:27:16",-0.2231,23.099,34.644,50.632,52842.037,1023.634,23.635,0.15,0.15,0.7,101.26,7.074,8.07,7.092,7.093
"34","2021/03/18","11:27:16",-0.2231,23.107,34.642,50.638,52838.559,1023.63,23.631,0.15,0.15,0.67,101.23,7.074,8.05,7.093,7.094
"35","2021/03/18","11:27:16",-0.2231,23.089,34.675,50.662,52885.638,1023.66,23.661,0.15,0.15,0.64,101.37,7.085,8.07,7.104,7.105
"36","2021/03/18","11:27:16",-0.2231,23.057,34.723,50.692,52956.19,1023.707,23.708,0.15,0.15,0.71,101.44,7.091,8.04,7.109,7.11
"37","2021/03/18","11:27:16",-0.2231,23.015,34.761,50.699,53013.567,1023.747,23.748,0.14,0.14,0.67,101.6,7.102,8.04,7.12,7.121
"38","2021/03/18","11:27:16",-0.2231,NA,34.812,50.717,53088.801,1023.799,23.8,0.16,0.16,0.7,101.66,7.105,8.07,7.124,7.125
"39","2021/03/18","11:27:16",-0.2231,NA,34.85,50.74,53145.232,1023.836,23.837,0.15,0.15,0.71,101.7,7.106,8.06,7.124,7.126
"40","2021/03/18","11:27:17",NA,NA,34.864,50.751,53165.047,1023.848,23.849,0.15,0.15,0.7,101.79,7.112,8.05,7.13,7.131
"41","2021/03/18","11:27:17",NA,NA,34.873,50.766,53176.156,1023.854,23.855,0.15,0.15,0.67,101.75,7.107,8.06,7.126,7.127
"42","2021/03/18","11:27:17",NA,NA,34.858,50.776,53151.009,1023.834,23.835,0.15,0.15,0.68,101.75,7.106,8.06,7.124,7.125
"43","2021/03/18","11:27:17",-0.2231,23.031,34.83,50.805,53104.743,1023.795,23.796,0.15,0.15,0.67,101.77,7.107,8.05,7.125,7.127
"44","2021/03/18","11:27:17",-0.2231,23.063,34.79,50.786,53045.915,1023.755,23.756,0.14,0.14,0.65,101.85,7.116,8.07,7.134,7.135
