"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.12,NA,NA,NA,NA
"2","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.97,NA,NA,NA,NA
"3","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.99,NA,NA,NA,NA
"4","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.14,NA,NA,NA,NA
"5","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.19,NA,NA,NA,NA
"6","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.06,NA,NA,NA,NA
"7","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.22,NA,NA,NA,NA
"8","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.15,NA,NA,NA,NA
"9","2021/04/01","11:31:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.91,NA,NA,NA,NA
"10","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.08,NA,NA,NA,NA
"11","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.27,NA,NA,NA,NA
"12","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.47,NA,NA,NA,NA
"13","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.39,NA,NA,NA,NA
"14","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.14,NA,NA,NA,NA
"15","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.34,NA,NA,NA,NA
"16","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.25,NA,NA,NA,NA
"17","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.13,NA,NA,NA,NA
"18","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.78,7.616,NA,7.636,7.637
"19","2021/04/01","11:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.85,7.621,NA,NA,7.642
"20","2021/04/01","11:31:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.91,NA,NA,NA,NA
"21","2021/04/01","11:31:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.92,NA,NA,NA,NA
"22","2021/04/01","11:31:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.81,7.619,NA,7.639,7.64
