//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/04/01 09:50:26
EndTime=2021/04/01 09:50:45
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/04/01,09:50:26,-0.3802,24.736,0.024,0.037,37.230,997.131,-2.868,-0.04,-0.04,0.11,93.94,7.738,7.82,7.758,7.759,
2021/04/01,09:50:26,-0.3998,24.731,0.024,0.037,37.195,997.132,-2.866,-0.04,-0.04,0.11,93.92,7.736,7.83,7.756,7.757,
2021/04/01,09:50:26,-0.3998,24.714,0.024,0.037,36.982,997.136,-2.862,-0.04,-0.04,0.11,94.05,7.747,7.84,7.767,7.767,
2021/04/01,09:50:26,-0.4194,24.711,0.024,0.037,37.139,997.137,-2.861,-0.04,-0.04,0.10,94.08,7.750,7.84,7.770,7.770,
2021/04/01,09:50:26,-0.3998,24.719,0.024,0.037,37.133,997.135,-2.863,-0.05,-0.05,0.10,94.02,7.746,7.85,7.766,7.767,
2021/04/01,09:50:26,-0.3998,24.725,0.024,0.037,37.099,997.133,-2.865,-0.04,-0.04,0.10,94.14,7.757,7.87,7.777,7.777,
2021/04/01,09:50:26,-0.4194,24.724,0.024,0.037,37.029,997.134,-2.865,-0.04,-0.04,0.10,94.03,7.748,7.87,7.768,7.768,
2021/04/01,09:50:26,-0.3998,24.726,0.024,0.037,37.026,997.133,-2.865,-0.05,-0.05,0.10,94.19,7.760,7.88,7.780,7.781,
2021/04/01,09:50:26,-0.3998,24.734,0.024,0.037,37.176,997.131,-2.867,-0.05,-0.05,0.10,94.15,7.757,7.89,7.777,7.777,
2021/04/01,09:50:26,-0.3998,24.751,0.024,0.037,37.006,997.127,-2.871,-0.04,-0.04,0.10,94.29,7.768,7.90,7.788,7.788,
2021/04/01,09:50:27,-0.3998,24.778,0.024,0.037,37.069,997.120,-2.878,-0.05,-0.05,0.10,94.36,7.773,7.89,7.793,7.793,
2021/04/01,09:50:27,-0.4194,24.797,0.024,0.037,37.110,997.115,-2.883,-0.05,-0.05,0.10,94.38,7.774,7.92,7.794,7.795,
2021/04/01,09:50:27,-0.3998,24.810,0.024,0.037,37.030,997.112,-2.886,-0.05,-0.05,0.10,94.37,7.773,7.91,7.793,7.793,
2021/04/01,09:50:27,-0.4194,24.804,0.024,0.037,37.135,997.113,-2.885,-0.05,-0.05,0.10,94.23,7.759,7.91,7.779,7.780,
2021/04/01,09:50:27,-0.4194,24.791,0.024,0.037,37.075,997.116,-2.882,-0.04,-0.04,0.10,94.23,7.757,7.92,7.777,7.778,
