//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=250       
StartTime=2021/04/01 09:20:24
EndTime=2021/04/01 09:20:48
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/04/01,09:20:24,-0.3409,23.271,0.029,0.046,48.305,997.496,-2.503,-1.56,-1.56,697.60,94.90,8.095,7.83,8.114,8.114,
2021/04/01,09:20:24,-0.3605,23.294,0.029,0.046,48.061,997.490,-2.508,-1.45,-1.45,404.23,94.89,8.094,7.84,8.113,8.113,
2021/04/01,09:20:24,-0.3605,23.315,0.029,0.047,48.331,997.485,-2.514,-5.05,-5.05,60.18,94.89,8.092,7.83,8.111,8.111,
2021/04/01,09:20:24,-0.3605,23.336,0.029,0.047,48.310,997.480,-2.518,-5.05,-5.05,58.35,94.77,8.081,7.85,8.100,8.100,
2021/04/01,09:20:24,-0.3605,23.356,0.029,0.047,48.438,997.475,-2.523,-4.13,-4.13,215.94,94.70,8.074,7.86,8.093,8.093,
2021/04/01,09:20:24,-0.3605,23.376,0.029,0.047,48.341,997.470,-2.528,0.77,0.77,328.84,94.75,8.078,7.87,8.097,8.097,
2021/04/01,09:20:24,-0.3605,23.396,0.029,0.047,48.244,997.465,-2.533,2.80,2.80,462.41,94.84,8.084,7.88,8.103,8.104,
2021/04/01,09:20:24,-0.3605,23.417,0.029,0.046,48.002,997.460,-2.538,0.69,0.69,430.70,94.84,8.083,7.88,8.103,8.103,
2021/04/01,09:20:24,-0.3605,23.435,0.029,0.046,48.127,997.456,-2.542,2.69,2.69,887.77,94.73,8.073,7.89,8.093,8.093,
2021/04/01,09:20:24,-0.3605,23.456,0.029,0.047,48.360,997.451,-2.547,1.32,1.32,861.79,94.72,8.071,7.91,8.090,8.091,
2021/04/01,09:20:25,-0.3605,23.475,0.029,0.047,48.269,997.446,-2.552,-3.73,-3.73,618.36,94.62,8.061,7.91,8.081,8.081,
2021/04/01,09:20:25,-0.3802,23.493,0.029,0.046,47.883,997.442,-2.556,-1.73,-1.73,367.17,94.63,8.062,7.92,8.081,8.081,
2021/04/01,09:20:25,-0.3605,23.509,0.029,0.047,48.196,997.438,-2.560,1.78,1.78,446.65,94.64,8.061,7.91,8.081,8.081,
2021/04/01,09:20:25,-0.3605,23.524,0.029,0.047,48.216,997.435,-2.564,-5.05,-5.05,234.35,94.66,8.063,7.94,8.082,8.083,
2021/04/01,09:20:25,-0.3605,23.540,0.029,0.047,48.235,997.431,-2.568,-0.18,-0.18,231.83,94.64,8.061,7.91,8.080,8.080,
2021/04/01,09:20:25,-0.3605,23.555,0.029,0.046,47.741,997.427,-2.572,0.86,0.86,467.89,94.73,8.068,7.93,8.087,8.087,
2021/04/01,09:20:25,-0.3605,23.568,0.029,0.047,48.056,997.424,-2.575,2.02,2.02,620.46,94.71,8.065,7.95,8.084,8.085,
2021/04/01,09:20:25,-0.3605,23.580,0.029,0.046,47.895,997.421,-2.577,1.97,1.97,784.43,94.62,8.056,7.96,8.076,8.076,
2021/04/01,09:20:25,-0.3605,23.593,0.029,0.047,47.993,997.418,-2.580,3.13,3.13,879.76,94.57,8.051,7.96,8.071,8.071,
2021/04/01,09:20:25,-0.3802,23.600,0.029,0.047,48.133,997.416,-2.582,1.39,1.39,800.62,94.60,8.053,7.96,8.072,8.073,
2021/04/01,09:20:26,-0.3605,23.605,0.029,0.047,48.165,997.415,-2.583,3.23,3.23,918.06,94.52,8.045,7.96,8.065,8.065,
2021/04/01,09:20:26,-0.3802,23.611,0.029,0.046,47.900,997.413,-2.585,2.29,2.29,828.99,94.57,8.049,7.96,8.069,8.069,
2021/04/01,09:20:26,-0.3605,23.617,0.029,0.047,48.037,997.412,-2.587,1.34,1.34,1104.28,94.54,8.046,7.96,8.065,8.066,
2021/04/01,09:20:26,-0.3605,23.555,0.029,0.047,48.209,997.427,-2.571,-0.62,-0.62,991.99,94.46,8.044,7.98,8.064,8.064,
2021/04/01,09:20:26,-0.3213,23.263,28.032,42.036,43706.665,1018.584,18.585,0.03,0.03,220.85,94.53,6.861,7.99,6.879,6.879,
2021/04/01,09:20:26,-0.3213,23.068,24.252,36.750,38381.254,1015.785,15.786,0.12,0.12,49.51,94.62,7.030,7.96,7.048,7.048,
2021/04/01,09:20:26,-0.2820,22.948,35.575,51.682,54125.358,1024.383,24.384,0.13,0.13,13.11,94.67,6.595,7.99,6.612,6.613,
2021/04/01,09:20:26,-0.2624,22.870,34.614,50.359,52835.056,1023.677,23.678,0.15,0.15,4.96,94.72,6.639,7.99,6.656,6.657,
2021/04/01,09:20:26,-0.2820,22.828,34.628,50.333,52859.344,1023.699,23.701,0.15,0.15,2.75,94.79,6.645,7.99,6.662,6.663,
2021/04/01,09:20:26,-0.2820,22.805,34.638,50.323,52876.762,1023.714,23.715,0.13,0.13,2.05,94.78,6.646,7.97,6.663,6.664,
2021/04/01,09:20:27,-0.2820,22.786,34.655,50.326,52903.015,1023.732,23.733,0.14,0.14,1.71,94.75,6.644,7.98,6.661,6.662,
2021/04/01,09:20:27,-0.2820,22.779,34.660,50.325,52910.941,1023.738,23.739,0.11,0.11,1.46,94.73,6.643,7.99,6.660,6.661,
2021/04/01,09:20:27,-0.2820,22.782,34.694,50.372,52956.026,1023.763,23.764,0.13,0.13,1.29,94.78,6.645,7.98,6.662,6.663,
2021/04/01,09:20:27,-0.2820,22.789,34.696,50.383,52958.457,1023.763,23.764,0.12,0.12,1.09,94.84,6.650,7.99,6.667,6.668,
2021/04/01,09:20:27,-0.2820,22.797,34.696,50.391,52957.459,1023.760,23.762,0.13,0.13,1.09,94.97,6.659,8.00,6.676,6.677,
2021/04/01,09:20:27,-0.2820,22.805,34.707,50.413,52971.002,1023.766,23.768,0.13,0.13,1.05,95.00,6.661,7.99,6.678,6.679,
2021/04/01,09:20:27,-0.2820,22.812,34.710,50.423,52973.289,1023.766,23.768,0.14,0.14,1.01,94.95,6.659,7.99,6.676,6.677,
2021/04/01,09:20:27,-0.2624,22.805,34.730,50.443,53001.858,1023.784,23.785,0.15,0.15,0.91,94.99,6.662,8.00,6.679,6.680,
2021/04/01,09:20:27,-0.2820,22.817,34.707,50.425,52968.840,1023.763,23.764,0.13,0.13,0.87,94.96,6.661,7.99,6.678,6.679,
2021/04/01,09:20:27,-0.2624,22.831,34.709,50.441,52969.464,1023.760,23.762,0.14,0.14,0.84,95.06,6.668,7.98,6.685,6.686,
2021/04/01,09:20:28,-0.2820,22.833,34.673,50.398,52920.790,1023.733,23.734,0.13,0.13,0.85,95.00,6.667,7.98,6.684,6.685,
2021/04/01,09:20:28,-0.2624,22.844,34.665,50.398,52908.291,1023.724,23.725,0.13,0.13,0.95,95.11,6.677,8.00,6.694,6.695,
2021/04/01,09:20:28,-0.2624,22.875,34.635,50.392,52862.930,1023.692,23.693,0.14,0.14,0.97,95.10,6.678,7.99,6.695,6.696,
2021/04/01,09:20:28,-0.2624,22.897,34.584,50.348,52789.428,1023.646,23.647,0.14,0.14,0.95,94.99,6.672,8.00,6.689,6.690,
2021/04/01,09:20:28,-0.2624,22.935,34.554,50.347,52743.385,1023.613,23.614,0.15,0.15,0.95,95.06,6.679,8.00,6.696,6.697,
2021/04/01,09:20:28,-0.2624,22.937,34.564,50.363,52756.476,1023.620,23.621,0.14,0.14,0.91,94.98,6.674,8.00,6.691,6.692,
2021/04/01,09:20:28,-0.2624,22.930,34.549,50.336,52738.213,1023.611,23.612,0.15,0.15,0.87,94.95,6.672,8.01,6.689,6.690,
2021/04/01,09:20:28,-0.2820,22.949,34.547,50.352,52731.614,1023.603,23.604,0.15,0.15,0.90,94.97,6.674,8.00,6.691,6.692,
2021/04/01,09:20:28,-0.2624,22.931,34.550,50.338,52738.432,1023.611,23.612,0.15,0.15,0.95,95.02,6.677,8.00,6.694,6.695,
2021/04/01,09:20:28,-0.2624,22.904,34.577,50.346,52779.542,1023.639,23.640,0.13,0.13,1.07,95.03,6.677,8.01,6.694,6.695,
2021/04/01,09:20:29,-0.2624,22.903,34.586,50.357,52792.356,1023.647,23.648,0.13,0.13,1.08,95.08,6.679,8.01,6.696,6.697,
2021/04/01,09:20:29,-0.2624,22.897,34.586,50.350,52792.781,1023.648,23.649,0.14,0.14,0.85,95.00,6.674,7.99,6.691,6.692,
2021/04/01,09:20:29,-0.2820,22.888,34.579,50.331,52784.093,1023.645,23.646,0.14,0.14,0.88,94.95,6.669,7.99,6.686,6.687,
2021/04/01,09:20:29,-0.2624,22.899,34.570,50.331,52770.654,1023.635,23.637,0.13,0.13,1.00,94.92,6.667,8.01,6.684,6.685,
2021/04/01,09:20:29,-0.2820,22.898,34.568,50.328,52768.444,1023.634,23.635,0.15,0.15,0.91,94.87,6.663,8.00,6.680,6.681,
2021/04/01,09:20:29,-0.2624,22.894,34.575,50.333,52778.150,1023.641,23.642,0.14,0.14,0.77,94.82,6.659,8.00,6.676,6.677,
2021/04/01,09:20:29,-0.2820,22.890,34.585,50.342,52792.466,1023.649,23.650,0.15,0.15,0.85,94.71,6.652,8.00,6.669,6.670,
2021/04/01,09:20:29,-0.2624,22.884,34.601,50.357,52815.122,1023.663,23.664,0.14,0.14,0.80,94.68,6.646,8.00,6.663,6.664,
2021/04/01,09:20:29,-0.2624,22.881,34.604,50.357,52819.873,1023.667,23.668,0.15,0.15,0.72,94.66,6.639,8.00,6.656,6.657,
2021/04/01,09:20:29,-0.2820,22.879,34.610,50.362,52827.350,1023.671,23.672,0.14,0.14,0.65,94.56,6.630,8.01,6.647,6.648,
