//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=450       
StartTime=2021/04/01 12:40:34
EndTime=2021/04/01 12:41:18
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/04/01,12:40:34,-0.3409,27.114,0.028,0.046,43.618,996.503,-3.496,-0.03,-0.03,4.47,95.79,7.625,7.82,7.646,7.647,
2021/04/01,12:40:34,-0.3802,27.125,0.028,0.045,43.354,996.500,-3.499,0.00,0.00,4.13,95.86,7.630,7.83,7.651,7.652,
2021/04/01,12:40:34,-0.3605,27.131,0.028,0.045,43.322,996.498,-3.500,0.00,0.00,3.69,96.02,7.642,7.84,7.663,7.663,
2021/04/01,12:40:34,-0.3605,27.139,0.028,0.046,43.562,996.496,-3.502,-0.03,-0.03,3.89,95.94,7.635,7.86,7.656,7.656,
2021/04/01,12:40:34,-0.3802,27.153,0.028,0.046,43.663,996.492,-3.506,-0.03,-0.03,3.54,95.86,7.629,7.86,7.650,7.650,
2021/04/01,12:40:34,-0.3802,27.168,0.028,0.045,43.313,996.488,-3.511,-0.01,-0.01,3.64,95.90,7.632,7.86,7.653,7.653,
2021/04/01,12:40:34,-0.3802,27.183,0.028,0.045,43.297,996.484,-3.515,-0.02,-0.02,3.26,95.78,7.623,7.89,7.644,7.644,
2021/04/01,12:40:34,-0.3802,27.192,0.028,0.045,43.377,996.481,-3.517,-0.03,-0.03,3.12,95.82,7.626,7.88,7.647,7.647,
2021/04/01,12:40:34,-0.3802,27.191,0.028,0.045,43.135,996.481,-3.517,0.00,0.00,2.72,95.89,7.632,7.88,7.653,7.653,
2021/04/01,12:40:34,-0.3802,27.191,0.028,0.045,43.221,996.481,-3.517,0.01,0.01,2.05,96.00,7.640,7.89,7.661,7.661,
2021/04/01,12:40:35,-0.3802,27.197,0.028,0.045,43.262,996.480,-3.519,0.05,0.05,1.46,95.90,7.632,7.89,7.653,7.653,
2021/04/01,12:40:35,-0.3605,27.215,0.028,0.045,43.240,996.475,-3.524,0.00,0.00,0.61,95.95,7.639,7.90,7.660,7.660,
2021/04/01,12:40:35,-0.3802,27.228,0.028,0.045,43.260,996.471,-3.527,-0.03,-0.03,0.24,96.00,7.642,7.92,7.663,7.663,
2021/04/01,12:40:35,-0.3802,27.226,0.028,0.045,42.972,996.472,-3.527,-0.04,-0.04,0.16,96.12,7.650,7.91,7.671,7.671,
2021/04/01,12:40:35,-0.3802,27.217,0.028,0.045,42.911,996.474,-3.524,-0.04,-0.04,0.14,96.18,7.654,7.91,7.675,7.675,
2021/04/01,12:40:35,-0.3802,27.208,0.028,0.045,42.976,996.477,-3.522,-0.05,-0.05,0.13,96.11,7.647,7.93,7.669,7.669,
