"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/01","12:40:34",-0.3802,27.125,0.028,0.045,43.354,996.5,-3.499,0,0,4.13,95.86,7.63,NA,7.651,7.652
"2","2021/04/01","12:40:34",-0.3605,27.131,0.028,0.045,43.322,996.498,-3.5,0,0,3.69,96.02,7.642,NA,7.663,7.663
"3","2021/04/01","12:40:34",-0.3605,27.139,0.028,0.046,43.562,996.496,-3.502,-0.03,-0.03,3.89,95.94,7.635,NA,7.656,7.656
"4","2021/04/01","12:40:34",-0.3802,27.153,0.028,0.046,43.663,996.492,-3.506,-0.03,-0.03,3.54,95.86,7.629,NA,7.65,7.65
"5","2021/04/01","12:40:34",-0.3802,27.168,0.028,0.045,43.313,996.488,-3.511,-0.01,-0.01,3.64,95.9,7.632,NA,7.653,7.653
"6","2021/04/01","12:40:34",-0.3802,27.183,0.028,0.045,43.297,996.484,-3.515,-0.02,-0.02,3.26,95.78,7.623,NA,7.644,7.644
"7","2021/04/01","12:40:34",-0.3802,27.192,0.028,0.045,43.377,996.481,-3.517,-0.03,-0.03,3.12,95.82,7.626,NA,7.647,7.647
"8","2021/04/01","12:40:34",-0.3802,27.191,0.028,0.045,43.135,996.481,-3.517,0,0,2.72,95.89,7.632,NA,7.653,7.653
"9","2021/04/01","12:40:34",-0.3802,27.191,0.028,0.045,43.221,996.481,-3.517,0.01,0.01,2.05,96,7.64,NA,7.661,7.661
"10","2021/04/01","12:40:35",-0.3802,27.197,0.028,0.045,43.262,996.48,-3.519,0.05,0.05,1.46,95.9,7.632,NA,7.653,7.653
"11","2021/04/01","12:40:35",-0.3605,27.215,0.028,0.045,43.24,996.475,-3.524,0,0,0.61,95.95,7.639,NA,7.66,7.66
"12","2021/04/01","12:40:35",-0.3802,27.228,0.028,0.045,43.26,996.471,-3.527,-0.03,-0.03,0.24,96,7.642,NA,7.663,7.663
"13","2021/04/01","12:40:35",-0.3802,27.226,0.028,0.045,42.972,996.472,-3.527,-0.04,-0.04,0.16,96.12,7.65,NA,7.671,7.671
"14","2021/04/01","12:40:35",-0.3802,27.217,0.028,0.045,42.911,996.474,-3.524,-0.04,-0.04,0.14,96.18,7.654,NA,7.675,7.675
"15","2021/04/01","12:40:35",-0.3802,27.208,0.028,0.045,42.976,996.477,-3.522,-0.05,-0.05,0.13,96.11,7.647,NA,7.669,7.669
"16","2021/04/01","12:40:35",-0.3802,27.201,0.028,0.046,43.416,996.478,-3.52,-0.04,-0.04,0.13,96.05,7.642,NA,7.663,7.663
"17","2021/04/01","12:40:35",-0.3802,27.201,0.028,0.045,43.376,996.479,-3.52,-0.04,-0.04,0.13,96.09,7.644,NA,7.665,7.665
"18","2021/04/01","12:40:35",-0.3802,27.193,0.028,0.045,43.32,996.481,-3.517,-0.04,-0.04,0.13,95.88,7.626,NA,7.647,7.648
"19","2021/04/01","12:40:35",-0.3802,27.177,0.028,0.045,43.321,996.485,-3.513,-0.05,-0.05,0.13,96.04,7.638,NA,7.659,7.659
"20","2021/04/01","12:40:36",-0.3605,27.166,0.028,0.046,43.473,996.489,-3.51,-0.05,-0.05,0.11,95.95,7.632,NA,7.653,7.653
"21","2021/04/01","12:40:36",-0.3802,27.152,0.028,0.046,43.459,996.492,-3.506,-0.05,-0.05,0.11,95.9,7.63,NA,7.651,7.652
"22","2021/04/01","12:40:36",-0.3802,27.136,0.028,0.046,43.6,996.497,-3.502,-0.05,-0.05,0.11,95.85,7.628,NA,7.649,7.649
"23","2021/04/01","12:40:36",-0.3802,27.117,0.028,0.046,43.697,996.502,-3.496,-0.05,-0.05,0.11,95.98,7.637,NA,7.658,7.659
"24","2021/04/01","12:40:36",-0.3802,27.088,0.028,0.046,43.587,996.51,-3.488,-0.04,-0.04,0.11,95.82,7.625,NA,7.646,7.647
"25","2021/04/01","12:40:36",-0.3802,27.063,0.028,0.045,43.44,996.517,-3.481,-0.05,-0.05,0.11,95.95,7.634,NA,7.655,7.655
"26","2021/04/01","12:40:36",-0.3802,27.029,0.028,0.046,43.928,996.526,-3.472,-0.05,-0.05,0.11,95.96,7.636,NA,7.657,7.657
"27","2021/04/01","12:40:36",-0.3998,26.997,0.028,0.046,43.69,996.535,-3.463,-0.05,-0.05,0.11,95.94,7.636,NA,7.657,7.657
"28","2021/04/01","12:40:36",-0.3802,26.968,0.028,0.046,43.742,996.543,-3.455,-0.04,-0.04,0.1,95.9,7.637,NA,7.658,7.658
"29","2021/04/01","12:40:36",-0.3802,26.947,0.028,0.045,43.527,996.549,-3.45,-0.04,-0.04,0.11,95.83,7.635,NA,7.656,7.656
"30","2021/04/01","12:40:37",-0.3605,26.922,0.028,0.045,43.618,996.556,-3.443,-0.05,-0.05,0.1,95.92,7.643,NA,7.664,7.664
"31","2021/04/01","12:40:37",-0.3802,26.905,0.028,0.046,43.802,996.56,-3.438,-0.05,-0.05,0.11,96.02,7.65,NA,7.671,7.671
"32","2021/04/01","12:40:37",-0.3802,26.889,0.028,0.046,43.974,996.565,-3.434,-0.04,-0.04,0.1,96.01,7.648,NA,7.669,7.67
"33","2021/04/01","12:40:37",-0.3605,26.876,0.028,0.046,43.93,996.568,-3.43,-0.05,-0.05,0.1,95.94,7.642,NA,7.663,7.664
"34","2021/04/01","12:40:37",-0.3802,26.872,0.028,0.046,43.789,996.569,-3.429,-0.04,-0.04,0.1,95.85,7.639,7.99,7.66,7.661
"35","2021/04/01","12:40:37",-0.3802,26.862,0.028,0.045,43.677,996.572,-3.426,-0.05,-0.05,0.1,95.99,7.653,NA,7.674,7.674
"36","2021/04/01","12:40:37",-0.3605,26.862,0.028,0.046,43.87,996.572,-3.426,-0.05,-0.05,0.1,96.11,7.665,NA,7.686,7.687
"37","2021/04/01","12:40:37",-0.3802,26.866,0.028,0.045,43.585,996.571,-3.427,-0.05,-0.05,0.1,96.09,7.663,7.99,7.684,7.684
"38","2021/04/01","12:40:37",-0.3605,26.861,0.028,0.046,43.944,996.572,-3.426,-0.05,-0.05,0.1,96.02,7.655,NA,7.676,7.676
"39","2021/04/01","12:40:37",-0.3802,26.856,0.028,0.046,43.723,996.574,-3.425,-0.05,-0.05,0.1,96.2,7.665,8,7.686,7.687
"40","2021/04/01","12:40:38",-0.3802,26.847,0.028,0.046,43.789,996.576,-3.422,-0.05,-0.05,0.1,96.16,7.659,7.99,7.68,7.68
"41","2021/04/01","12:40:38",-0.3605,26.831,0.028,0.045,43.71,996.581,-3.418,-0.05,-0.05,0.1,96.25,7.664,7.99,7.685,7.686
"42","2021/04/01","12:40:38",-0.3802,26.819,0.028,0.046,44.073,996.584,-3.414,-0.05,-0.05,0.1,96.12,7.651,7.99,7.672,7.673
"43","2021/04/01","12:40:38",-0.3605,26.818,0.028,0.045,43.63,996.584,-3.414,-0.05,-0.05,0.1,96.15,7.652,NA,7.673,7.673
"44","2021/04/01","12:40:38",-0.3802,26.817,0.028,0.046,43.939,996.584,-3.414,-0.05,-0.05,0.09,95.97,7.637,7.99,7.658,7.659
"45","2021/04/01","12:40:38",-0.3802,26.817,0.028,0.046,44.018,996.584,-3.414,-0.05,-0.05,0.1,95.92,7.633,7.99,7.654,7.654
"46","2021/04/01","12:40:38",-0.3802,26.819,0.028,0.046,44.057,996.584,-3.414,-0.05,-0.05,0.1,96,7.642,8,7.663,7.663
"47","2021/04/01","12:40:38",-0.3802,26.822,0.028,0.045,43.626,996.583,-3.415,-0.05,-0.05,0.1,95.99,7.645,7.99,7.666,7.667
"48","2021/04/01","12:40:38",-0.3802,26.82,0.028,0.046,43.774,996.583,-3.415,-0.05,-0.05,0.1,96.17,7.66,8,7.681,7.681
"49","2021/04/01","12:40:38",-0.3605,26.819,0.028,0.046,43.906,996.584,-3.414,-0.05,-0.05,0.1,96.1,7.652,NA,7.673,7.673
"50","2021/04/01","12:40:39",-0.3802,26.814,0.028,0.045,43.54,996.585,-3.413,-0.05,-0.05,0.09,95.88,7.634,NA,7.655,7.656
"51","2021/04/01","12:40:39",-0.3802,26.815,0.028,0.046,43.976,996.585,-3.413,-0.05,-0.05,0.1,95.91,7.635,8,7.656,7.657
