"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2,NA,NA,NA,NA
"2","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.22,NA,NA,NA,NA
"3","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.26,NA,NA,NA,NA
"4","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.19,NA,NA,NA,NA
"5","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.11,NA,NA,NA,NA
"6","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.27,NA,NA,NA,NA
"7","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2,NA,NA,NA,NA
"8","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/04/01","12:54:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/04/01","12:54:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/04/01","12:54:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/04/01","12:54:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021/04/01","12:54:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021/04/01","12:54:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.16,NA,NA,NA,NA
"15","2021/04/01","12:54:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.28,NA,NA,NA,NA
"16","2021/04/01","12:54:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.44,NA,NA,NA,NA
"17","2021/04/01","12:54:37",-0.2624,NA,NA,NA,NA,NA,NA,0.57,0.57,NA,93.51,6.507,NA,6.526,6.526
"18","2021/04/01","12:54:37",-0.2624,24.826,28.552,44.096,44265.322,1018.527,18.528,0.59,0.59,NA,94.28,6.583,NA,6.602,6.602
"19","2021/04/01","12:54:37",-0.2624,24.72,28.655,44.146,44419.595,1018.636,18.637,0.6,0.6,NA,94.66,6.62,NA,6.639,6.639
"20","2021/04/01","12:54:38",-0.2624,24.657,28.705,44.16,44495.185,1018.692,18.693,0.6,0.6,NA,NA,6.646,NA,6.664,6.665
"21","2021/04/01","12:54:38",-0.2624,24.61,28.758,44.192,44573.849,1018.746,18.747,0.59,0.59,0.98,NA,6.648,NA,6.667,6.668
"22","2021/04/01","12:54:38",-0.2624,24.571,28.769,44.172,44593.591,1018.766,18.767,0.59,0.59,0.87,NA,6.659,NA,6.678,6.678
"23","2021/04/01","12:54:38",NA,24.541,28.785,44.167,44617.737,1018.786,18.787,0.59,0.59,0.84,NA,6.67,NA,6.689,6.689
"24","2021/04/01","12:54:38",-0.2624,24.523,28.772,44.134,44601.608,1018.781,18.782,0.58,0.58,0.82,NA,6.681,NA,6.699,6.7
"25","2021/04/01","12:54:38",-0.2624,24.512,28.777,44.132,44610.328,1018.788,18.79,0.59,0.59,0.82,NA,6.681,NA,6.7,6.7
"26","2021/04/01","12:54:38",-0.2624,24.503,28.78,44.127,44615.423,1018.793,18.795,0.6,0.6,0.88,NA,6.684,7.96,6.702,6.703
"27","2021/04/01","12:54:38",-0.2624,24.498,28.776,44.117,44610.381,1018.792,18.793,0.6,0.6,0.88,NA,6.682,7.96,6.7,6.701
"28","2021/04/01","12:54:38",-0.2624,24.494,28.777,44.115,44611.428,1018.793,18.795,0.6,0.6,0.9,NA,6.676,7.96,6.694,6.695
"29","2021/04/01","12:54:38",-0.2624,24.492,28.809,44.157,44656.204,1018.818,18.819,0.58,0.58,0.9,NA,6.675,7.97,6.693,6.694
"30","2021/04/01","12:54:39",-0.2624,24.493,28.826,44.182,44680.069,1018.831,18.832,0.59,0.59,0.9,NA,6.676,7.97,6.695,6.695
"31","2021/04/01","12:54:39",-0.2624,24.502,28.83,44.195,44685.045,1018.832,18.833,0.6,0.6,0.9,NA,6.678,7.97,6.697,6.697
"32","2021/04/01","12:54:39",-0.2624,24.538,28.817,44.21,44663.542,1018.811,18.812,0.58,0.58,0.85,NA,6.681,7.97,6.7,6.7
"33","2021/04/01","12:54:39",-0.2624,24.606,28.78,44.218,44604.082,1018.763,18.764,0.58,0.58,0.87,NA,6.668,NA,6.687,6.687
"34","2021/04/01","12:54:39",-0.2624,24.624,28.774,44.225,44593.962,1018.753,18.754,0.58,0.58,0.84,94.59,6.636,7.99,6.655,6.655
"35","2021/04/01","12:54:39",-0.2624,24.626,28.781,44.237,44604.56,1018.759,18.76,0.59,0.59,0.84,94.14,6.603,7.99,6.622,6.622
"36","2021/04/01","12:54:39",-0.2624,24.639,28.773,44.238,44591.852,1018.749,18.75,0.58,0.58,0.84,93.91,6.587,7.99,6.605,6.606
"37","2021/04/01","12:54:39",-0.2624,24.644,28.773,44.241,44590.631,1018.747,18.748,0.58,0.58,0.84,93.86,6.582,7.99,6.6,6.6
"38","2021/04/01","12:54:39",NA,24.639,28.743,44.195,44549.104,1018.725,18.727,0.61,0.61,0.84,93.79,6.577,7.99,6.595,6.595
"39","2021/04/01","12:54:39",-0.2624,24.709,28.676,44.165,44448.994,1018.654,18.656,0.61,0.61,0.81,93.69,6.573,7.97,6.591,6.591
"40","2021/04/01","12:54:40",-0.2624,24.726,28.666,44.166,44434.435,1018.643,18.644,0.6,0.6,0.78,93.63,6.57,7.99,6.588,6.589
"41","2021/04/01","12:54:40",NA,24.746,28.672,44.192,44440.187,1018.641,18.642,0.6,0.6,0.81,93.54,6.562,7.99,6.58,6.581
"42","2021/04/01","12:54:40",-0.2624,24.723,28.693,44.201,44471.77,1018.663,18.665,0.59,0.59,0.82,93.43,6.551,8,6.569,6.57
"43","2021/04/01","12:54:40",NA,24.663,28.731,44.201,44531.171,1018.71,18.711,0.6,0.6,0.87,93.38,6.544,7.99,6.562,6.563
"44","2021/04/01","12:54:40",-0.2624,24.618,28.754,44.192,44567.162,1018.74,18.741,0.58,0.58,0.94,93.45,6.548,7.98,6.566,6.566
"45","2021/04/01","12:54:40",-0.2624,24.625,28.758,44.205,44572.685,1018.741,18.742,0.57,0.57,1.01,93.65,6.566,7.98,6.584,6.584
"46","2021/04/01","12:54:40",-0.2624,24.64,28.738,44.191,44543.256,1018.722,18.723,0.58,0.58,0.95,93.7,6.577,7.99,6.595,6.595
"47","2021/04/01","12:54:40",-0.2624,24.664,28.742,44.217,44546.362,1018.718,18.719,0.57,0.57,0.95,93.88,6.592,7.99,6.611,6.611
"48","2021/04/01","12:54:40",-0.2624,24.694,28.746,44.248,44547.754,1018.712,18.713,0.58,0.58,0.95,93.82,6.589,7.98,6.607,6.608
"49","2021/04/01","12:54:40",-0.2624,24.741,28.699,44.225,44478.76,1018.663,18.664,0.58,0.58,0.92,93.57,6.575,7.98,6.593,6.593
"50","2021/04/01","12:54:41",NA,24.796,28.66,44.219,44418.565,1018.617,18.618,0.57,0.57,0.94,93.4,6.564,7.99,6.582,6.583
"51","2021/04/01","12:54:41",-0.2624,24.827,28.663,44.251,44419.988,1018.611,18.612,0.58,0.58,0.94,93.32,6.562,7.99,6.58,6.58
"52","2021/04/01","12:54:41",NA,24.846,28.675,44.284,44434.574,1018.614,18.615,0.6,0.6,0.95,93.18,6.555,7.98,6.573,6.574
"53","2021/04/01","12:54:41",-0.2624,24.83,28.698,NA,44467.714,1018.636,18.637,0.59,0.59,0.95,93.19,6.557,7.99,6.575,6.576
"54","2021/04/01","12:54:41",-0.2624,24.779,28.674,44.224,44440.049,1018.633,18.634,0.58,0.58,0.92,93.21,6.561,7.98,6.579,6.58
"55","2021/04/01","12:54:41",NA,24.727,28.689,44.199,44465.634,1018.659,18.66,0.6,0.6,0.9,93.19,6.56,7.98,6.578,6.578
"56","2021/04/01","12:54:41",NA,24.696,28.708,44.198,44495.805,1018.683,18.684,0.58,0.58,0.94,93.14,6.555,7.99,6.573,6.574
"57","2021/04/01","12:54:41",NA,24.677,28.731,44.213,44529.236,1018.706,18.707,0.57,0.57,1.01,93.09,6.549,7.97,6.567,6.568
"58","2021/04/01","12:54:41",NA,24.657,28.708,44.165,44499.927,1018.694,18.695,0.58,0.58,1.05,93.07,6.549,7.99,6.567,6.567
"59","2021/04/01","12:54:41",NA,24.695,28.653,44.122,44419.469,1018.642,18.643,0.58,0.58,1.02,92.98,6.542,8,6.56,6.56
"60","2021/04/01","12:54:42",NA,24.739,28.64,44.142,44396.891,1018.619,18.62,0.57,0.57,1.01,92.79,6.524,8,6.542,6.542
"61","2021/04/01","12:54:42",NA,24.762,28.643,44.165,44397.863,1018.614,18.615,NA,NA,1.08,92.81,6.522,8,6.54,6.54
"62","2021/04/01","12:54:42",-0.2624,24.752,28.661,44.183,44424.903,1018.631,18.632,NA,NA,1.14,92.86,6.527,8.02,6.545,6.545
"63","2021/04/01","12:54:42",-0.2624,24.784,28.624,44.159,44370.249,1018.594,18.595,0.6,0.6,1.04,92.79,6.521,7.99,6.539,6.54
