"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/15","09:41:59",-0.282,21.373,NA,48.653,NA,NA,NA,0.28,0.28,5.41,NA,NA,NA,NA,NA
"2","2021/04/15","09:41:59",-0.282,21.378,34.462,48.648,NA,NA,NA,0.28,0.28,5.71,NA,NA,NA,NA,NA
"3","2021/04/15","09:41:59",-0.282,21.384,34.457,48.648,52851.837,1023.974,23.976,NA,NA,6.27,NA,NA,NA,NA,NA
"4","2021/04/15","09:41:59",-0.282,21.386,34.456,48.648,52850.089,1023.973,23.974,0.28,0.28,5.67,NA,NA,NA,NA,NA
"5","2021/04/15","09:41:59",-0.282,21.386,34.454,48.646,52847.392,1023.972,23.973,NA,NA,5.85,NA,NA,NA,NA,NA
"6","2021/04/15","09:41:59",NA,21.388,34.453,48.647,52845.96,1023.97,23.972,NA,NA,5.31,NA,NA,NA,NA,NA
"7","2021/04/15","09:41:59",-0.282,21.391,34.45,48.646,52841.165,1023.967,23.968,NA,NA,5.37,NA,NA,NA,NA,NA
"8","2021/04/15","09:41:59",-0.282,21.394,34.451,48.65,52842.499,1023.968,23.969,NA,NA,5.64,NA,NA,NA,NA,NA
"9","2021/04/15","09:41:59",-0.282,21.395,34.447,48.646,52836.785,1023.964,23.965,0.28,0.28,5.25,NA,NA,NA,NA,NA
"10","2021/04/15","09:42:00",-0.282,21.396,34.446,48.645,52835.035,1023.963,23.964,0.24,0.24,5.23,NA,6.775,NA,6.791,6.792
"11","2021/04/15","09:42:00",-0.282,21.396,34.446,48.646,52835.365,1023.963,23.964,0.24,0.24,5.41,NA,6.752,NA,6.768,6.769
"12","2021/04/15","09:42:00",-0.282,21.393,34.449,48.646,52839.201,1023.966,23.967,0.24,0.24,5.64,93.42,6.74,NA,6.755,6.756
"13","2021/04/15","09:42:00",-0.282,21.389,34.453,48.648,52846.429,1023.971,23.972,0.24,0.24,5.71,93.13,6.719,7.77,6.735,6.736
