//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2021/04/15 12:35:12
EndTime=2021/04/15 12:35:24
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/04/15,12:35:12,-0.3016,22.832,34.385,50.023,52528.878,1023.514,23.515,0.07,0.07,1.96,105.15,7.400,7.68,7.418,7.419,
2021/04/15,12:35:12,-0.3213,22.822,34.383,50.011,52527.014,1023.515,23.516,0.10,0.10,2.02,105.46,7.420,7.68,7.439,7.440,
2021/04/15,12:35:12,-0.3213,22.819,34.389,50.016,52536.398,1023.521,23.522,0.08,0.08,2.12,105.84,7.447,7.70,7.465,7.467,
2021/04/15,12:35:12,-0.3213,22.813,34.401,50.025,52553.230,1023.531,23.533,0.08,0.08,2.13,106.05,7.461,7.70,7.480,7.481,
2021/04/15,12:35:12,-0.3213,22.826,34.390,50.023,52536.169,1023.519,23.521,0.08,0.08,2.15,106.27,7.478,7.70,7.497,7.498,
2021/04/15,12:35:12,-0.3213,22.834,34.383,50.023,52526.491,1023.512,23.514,0.08,0.08,2.12,106.55,7.498,7.73,7.517,7.518,
2021/04/15,12:35:12,-0.3213,22.842,34.378,50.025,52517.677,1023.506,23.507,0.08,0.08,2.09,106.86,7.519,7.73,7.538,7.540,
2021/04/15,12:35:12,-0.3213,22.842,34.379,50.026,52519.044,1023.506,23.508,0.08,0.08,2.05,107.09,7.535,7.74,7.554,7.555,
2021/04/15,12:35:12,-0.3213,22.841,34.377,50.021,52516.305,1023.505,23.507,0.08,0.08,2.12,107.13,7.536,7.75,7.555,7.557,
2021/04/15,12:35:12,-0.3213,22.835,34.382,50.023,52524.627,1023.511,23.512,0.08,0.08,2.08,107.27,7.544,7.76,7.564,7.565,
2021/04/15,12:35:13,-0.3213,22.834,34.385,50.026,52528.571,1023.513,23.515,0.07,0.07,2.02,107.33,7.548,7.76,7.567,7.568,
2021/04/15,12:35:13,-0.3213,22.840,34.383,50.028,52524.704,1023.510,23.511,0.07,0.07,2.01,107.47,7.559,7.76,7.578,7.579,
2021/04/15,12:35:13,-0.3213,22.847,34.384,50.037,52524.769,1023.509,23.510,0.07,0.07,1.95,107.63,7.571,7.77,7.590,7.591,
2021/04/15,12:35:13,-0.3213,22.848,34.389,50.045,52532.532,1023.513,23.514,0.07,0.07,1.98,107.99,7.596,7.76,7.616,7.617,
2021/04/15,12:35:13,-0.3213,22.847,34.395,50.051,52539.761,1023.517,23.518,0.07,0.07,2.03,107.94,7.592,7.76,7.611,7.613,
2021/04/15,12:35:13,-0.3213,22.847,34.398,50.056,52544.403,1023.519,23.521,0.07,0.07,2.05,108.01,7.595,7.76,7.614,7.615,
2021/04/15,12:35:13,-0.3213,22.850,34.401,50.062,52547.720,1023.521,23.522,0.10,0.10,2.02,107.92,7.588,7.79,7.607,7.609,
2021/04/15,12:35:13,-0.3213,22.849,34.403,50.064,52550.806,1023.523,23.524,0.08,0.08,2.10,107.93,7.589,7.79,7.608,7.609,
2021/04/15,12:35:13,-0.3213,22.848,34.406,50.067,52554.690,1023.525,23.526,0.09,0.09,2.16,107.94,7.589,7.79,7.608,7.609,
2021/04/15,12:35:13,-0.3213,22.849,34.409,50.072,52559.229,1023.527,23.529,0.08,0.08,2.15,108.01,7.594,7.79,7.613,7.614,
2021/04/15,12:35:14,-0.3213,22.856,34.405,50.073,52552.187,1023.522,23.524,0.08,0.08,2.09,108.18,7.605,7.80,7.624,7.625,
2021/04/15,12:35:14,-0.3409,22.860,34.402,50.074,52548.081,1023.519,23.520,0.08,0.08,2.03,108.05,7.595,7.80,7.615,7.616,
2021/04/15,12:35:14,-0.3213,22.861,34.404,50.078,52551.172,1023.520,23.522,0.07,0.07,1.99,108.14,7.602,7.80,7.622,7.623,
2021/04/15,12:35:14,-0.3213,22.859,34.409,50.082,52557.903,1023.525,23.526,0.08,0.08,1.98,108.24,7.609,7.82,7.628,7.629,
2021/04/15,12:35:14,-0.3016,22.850,34.415,50.080,52566.575,1023.531,23.533,0.08,0.08,1.96,108.15,7.602,7.82,7.622,7.623,
2021/04/15,12:35:14,-0.3213,22.848,34.411,50.073,52562.157,1023.529,23.531,0.08,0.08,1.98,108.11,7.600,7.81,7.619,7.620,
