//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/04/28 09:29:50
EndTime=2021/04/28 09:30:09
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/04/28,09:29:50,-0.3802,21.955,0.026,0.039,42.237,997.800,-2.198,-0.04,-0.04,0.09,76.42,6.490,7.61,6.505,6.506,
2021/04/28,09:29:50,-0.3998,21.957,0.026,0.039,42.198,997.799,-2.199,-0.05,-0.05,0.09,6.95,0.590,7.62,0.591,0.591,
2021/04/28,09:29:50,-0.3998,21.960,0.026,0.039,42.236,997.799,-2.200,-0.04,-0.04,0.09,40.45,3.434,7.64,3.442,3.442,
2021/04/28,09:29:50,-0.3998,21.949,0.026,0.039,42.241,997.801,-2.197,-0.04,-0.04,0.09,70.62,5.997,7.65,6.012,6.012,
2021/04/28,09:29:50,-0.4194,21.937,0.026,0.039,42.239,997.804,-2.194,-0.04,-0.04,0.09,86.83,7.377,7.66,7.395,7.395,
2021/04/28,09:29:50,-0.3998,21.919,0.026,0.039,42.259,997.808,-2.190,-0.05,-0.05,0.09,93.49,7.946,7.69,7.965,7.966,
2021/04/28,09:29:50,-0.4194,21.897,0.026,0.040,42.402,997.813,-2.185,-0.04,-0.04,0.09,96.03,8.166,7.68,8.185,8.186,
2021/04/28,09:29:50,-0.3998,21.900,0.026,0.040,42.598,997.812,-2.186,-0.24,-0.24,0.44,96.78,8.231,7.68,8.251,8.251,
2021/04/28,09:29:50,-0.3998,21.923,0.026,0.039,42.359,997.807,-2.191,-0.18,-0.18,0.98,97.17,8.262,7.70,8.282,8.283,
2021/04/28,09:29:50,-0.3998,21.959,0.026,0.039,42.264,997.799,-2.199,-0.12,-0.12,1.52,97.36,8.275,7.69,8.295,8.296,
2021/04/28,09:29:51,-0.3998,21.999,0.026,0.039,42.262,997.790,-2.208,-0.11,-0.11,1.49,97.53,8.289,7.70,8.309,8.310,
2021/04/28,09:29:51,-0.3998,22.046,0.026,0.040,42.279,997.779,-2.219,-0.11,-0.11,1.65,97.50,8.285,7.69,8.305,8.305,
2021/04/28,09:29:51,-0.4194,22.092,0.026,0.040,42.264,997.769,-2.229,-0.08,-0.08,2.08,97.51,8.285,7.69,8.305,8.305,
2021/04/28,09:29:51,-0.4194,22.127,0.026,0.040,42.195,997.761,-2.238,-0.13,-0.13,1.41,97.39,8.274,7.71,8.294,8.294,
2021/04/28,09:29:51,-0.3998,22.125,0.026,0.040,42.349,997.761,-2.237,-3.20,-3.20,48.33,97.36,8.267,7.73,8.287,8.287,
