"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/28","12:06:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/04/28","12:06:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/04/28","12:06:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/04/28","12:06:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/04/28","12:06:50",NA,23.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/04/28","12:06:50",NA,23.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/04/28","12:06:50",NA,23.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/04/28","12:06:50",NA,23.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/04/28","12:06:50",NA,23.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/04/28","12:06:51",NA,23.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/04/28","12:06:51",NA,23.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/04/28","12:06:51",-0.3016,23.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021/04/28","12:06:51",-0.282,23.117,34.228,50.109,52274.728,1023.314,23.315,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021/04/28","12:06:51",-0.282,23.056,34.287,50.124,52363.377,1023.376,23.377,0.05,0.05,NA,NA,NA,NA,NA,NA
"15","2021/04/28","12:06:51",-0.282,23.023,34.273,50.073,52349.376,1023.375,23.376,0.06,0.06,NA,NA,NA,NA,NA,NA
"16","2021/04/28","12:06:51",-0.282,23.009,34.27,50.055,52346.924,1023.376,23.377,0.05,0.05,1.66,NA,NA,NA,NA,NA
"17","2021/04/28","12:06:51",-0.282,23.002,34.29,50.073,52375.654,1023.394,23.395,0.06,0.06,1.52,NA,NA,NA,NA,NA
"18","2021/04/28","12:06:51",-0.282,22.998,34.298,50.079,52385.967,1023.4,23.402,0.07,0.07,1.54,NA,NA,NA,NA,NA
"19","2021/04/28","12:06:51",-0.282,23.001,34.299,50.084,52387.943,1023.401,23.402,0.06,0.06,1.58,NA,NA,NA,NA,NA
"20","2021/04/28","12:06:52",-0.282,23.006,34.288,50.074,52371.943,1023.391,23.392,0.06,0.06,1.73,NA,NA,NA,NA,NA
"21","2021/04/28","12:06:52",-0.282,23.003,34.286,50.069,52369.672,1023.39,23.391,0.06,0.06,1.92,NA,NA,NA,NA,NA
"22","2021/04/28","12:06:52",-0.2624,22.999,34.305,50.09,52396.332,1023.406,23.407,0.07,0.07,1.99,NA,NA,NA,NA,NA
"23","2021/04/28","12:06:52",-0.2428,22.997,34.305,50.087,52396.452,1023.407,23.408,0.07,0.07,2.03,NA,NA,NA,NA,NA
"24","2021/04/28","12:06:52",-0.2624,22.995,34.316,50.1,52411.113,1023.415,23.416,0.05,0.05,2.06,NA,NA,NA,NA,NA
"25","2021/04/28","12:06:52",-0.2624,22.994,34.332,50.119,52433.289,1023.428,23.429,0.05,0.05,2.03,NA,NA,NA,NA,NA
