//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/04/28 11:59:26
EndTime=2021/04/28 11:59:45
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/04/28,11:59:26,-0.3802,24.421,0.028,0.046,47.052,997.213,-2.785,-0.04,-0.04,0.09,101.74,8.381,7.61,8.403,8.403,
2021/04/28,11:59:26,-0.3998,24.409,0.028,0.046,47.006,997.216,-2.782,-0.04,-0.04,0.09,101.73,8.380,7.62,8.402,8.402,
2021/04/28,11:59:26,-0.3998,24.404,0.028,0.046,46.889,997.217,-2.781,-0.04,-0.04,0.09,101.51,8.364,7.63,8.385,8.386,
2021/04/28,11:59:26,-0.3998,24.416,0.028,0.046,46.348,997.214,-2.784,-0.05,-0.05,0.09,101.37,8.352,7.63,8.374,8.374,
2021/04/28,11:59:26,-0.4194,24.417,0.028,0.046,46.789,997.214,-2.784,-0.28,-0.28,0.53,16.28,1.342,7.65,1.345,1.345,
2021/04/28,11:59:26,-0.3998,24.409,0.028,0.046,46.716,997.216,-2.782,-0.11,-0.11,0.97,5.29,0.436,7.65,0.437,0.438,
2021/04/28,11:59:26,-0.3998,24.390,0.028,0.046,46.863,997.221,-2.777,-0.05,-0.05,1.55,11.76,0.969,7.66,0.972,0.972,
2021/04/28,11:59:26,-0.3998,24.363,0.028,0.046,46.853,997.228,-2.771,-0.13,-0.13,5.70,34.41,2.836,7.68,2.844,2.844,
2021/04/28,11:59:26,-0.3802,24.303,5.173,9.119,9260.788,1001.118,1.119,-0.08,-0.08,57.65,67.55,5.412,7.68,5.426,5.426,
2021/04/28,11:59:26,-0.3605,23.775,25.086,38.435,39499.971,1016.217,16.219,0.04,0.04,13.33,85.63,6.185,7.69,6.202,6.202,
2021/04/28,11:59:27,-0.3016,23.386,34.170,50.306,52158.434,1023.192,23.193,0.07,0.07,3.37,95.23,6.583,7.70,6.601,6.602,
2021/04/28,11:59:27,-0.3213,23.173,34.296,50.254,52358.885,1023.349,23.350,0.06,0.06,1.41,100.00,6.940,7.71,6.959,6.960,
2021/04/28,11:59:27,-0.3213,23.067,34.374,50.249,52480.638,1023.438,23.440,0.07,0.07,1.07,102.41,7.122,7.70,7.141,7.142,
2021/04/28,11:59:27,-0.3016,23.020,34.430,50.274,52563.587,1023.495,23.496,0.07,0.07,1.08,103.62,7.219,7.70,7.238,7.239,
2021/04/28,11:59:27,-0.3213,23.010,34.449,50.288,52590.785,1023.512,23.513,0.07,0.07,1.08,104.57,7.295,7.72,7.314,7.315,
2021/04/28,11:59:27,-0.3213,23.032,34.448,50.309,52585.369,1023.504,23.506,0.06,0.06,1.12,104.95,7.329,7.72,7.348,7.349,
2021/04/28,11:59:27,-0.3213,23.075,34.409,50.303,52527.066,1023.463,23.464,0.07,0.07,1.15,105.25,7.357,7.73,7.376,7.377,
2021/04/28,11:59:27,-0.3016,23.109,34.369,50.285,52467.514,1023.422,23.424,0.07,0.07,1.15,105.48,7.377,7.71,7.396,7.398,
2021/04/28,11:59:27,-0.3213,23.121,34.358,50.283,52451.249,1023.411,23.412,0.08,0.08,1.17,105.68,7.392,7.71,7.411,7.413,
2021/04/28,11:59:27,-0.3016,23.120,34.353,50.275,52444.570,1023.408,23.409,0.08,0.08,1.28,105.70,7.396,7.72,7.415,7.416,
2021/04/28,11:59:28,-0.3016,23.123,34.379,50.311,52478.618,1023.426,23.427,0.08,0.08,1.39,105.74,7.397,7.75,7.416,7.417,
2021/04/28,11:59:28,-0.3016,23.133,34.346,50.278,52432.128,1023.398,23.399,0.07,0.07,1.55,105.80,7.403,7.73,7.422,7.423,
2021/04/28,11:59:28,-0.3016,23.124,34.367,50.297,52462.436,1023.417,23.418,0.08,0.08,1.72,105.87,7.406,7.73,7.425,7.426,
2021/04/28,11:59:28,-0.3213,23.106,34.388,50.306,52492.921,1023.437,23.439,0.08,0.08,1.89,106.01,7.414,7.73,7.433,7.435,
