"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/28","07:51:42",-0.1839,22.53,34.361,49.686,52541.301,1023.583,23.584,0.14,0.14,0.58,NA,NA,NA,NA,NA
"2","2021/04/28","07:51:42",-0.1839,22.525,34.376,49.699,52561.79,1023.595,23.596,0.15,0.15,0.6,NA,NA,NA,NA,NA
"3","2021/04/28","07:51:42",-0.1839,22.497,34.403,49.706,52602.604,1023.623,23.624,0.14,0.14,0.55,NA,NA,NA,NA,NA
"4","2021/04/28","07:51:42",-0.1839,22.47,34.397,49.671,52598.946,1023.627,23.628,0.14,0.14,0.5,NA,NA,NA,NA,NA
"5","2021/04/28","07:51:42",-0.2035,22.447,34.409,49.663,52618.412,1023.642,23.643,NA,NA,0.48,NA,NA,NA,NA,NA
"6","2021/04/28","07:51:42",-0.1839,22.426,34.419,49.655,52635.2,1023.656,23.656,0.14,0.14,0.48,NA,NA,NA,NA,NA
"7","2021/04/28","07:51:42",-0.1839,22.411,34.427,49.65,52648.583,1023.666,23.667,0.13,0.13,0.5,NA,NA,NA,NA,NA
"8","2021/04/28","07:51:42",-0.1839,22.436,34.414,49.659,52627.354,1023.649,23.65,0.14,0.14,0.48,NA,NA,NA,NA,NA
"9","2021/04/28","07:51:42",-0.2035,22.454,34.409,49.67,52618.101,1023.641,23.642,0.15,0.15,0.54,NA,NA,NA,NA,NA
"10","2021/04/28","07:51:43",-0.1839,22.447,34.426,49.685,52641.667,1023.655,23.656,0.15,0.15,0.51,NA,NA,NA,NA,NA
"11","2021/04/28","07:51:43",-0.1839,22.444,34.427,49.684,52644.178,1023.657,23.658,0.15,0.15,0.47,NA,NA,NA,NA,NA
"12","2021/04/28","07:51:43",-0.1839,22.461,34.406,49.674,52612.357,1023.636,23.637,0.15,0.15,0.53,NA,6.324,NA,6.339,6.34
"13","2021/04/28","07:51:43",-0.1839,22.488,34.377,49.664,52568.544,1023.606,23.607,0.15,0.15,0.58,NA,6.302,NA,6.318,6.319
"14","2021/04/28","07:51:43",-0.1839,22.479,34.38,49.658,52573.982,1023.611,23.612,0.14,0.14,0.54,NA,6.279,NA,6.294,6.295
"15","2021/04/28","07:51:43",-0.2035,22.471,34.387,49.66,52585.23,1023.619,23.62,0.15,0.15,0.47,88.17,6.25,NA,6.266,6.267
"16","2021/04/28","07:51:43",-0.1839,22.477,34.377,49.652,52569.945,1023.609,23.61,0.15,0.15,0.45,87.76,6.222,NA,6.238,6.239
"17","2021/04/28","07:51:43",-0.1839,22.483,34.386,49.67,52581.575,1023.614,23.615,0.13,0.13,0.54,87.44,6.198,NA,6.213,6.214
"18","2021/04/28","07:51:43",-0.2035,22.498,34.374,49.67,52563.285,1023.601,23.602,0.13,0.13,0.55,87.05,6.171,NA,6.186,6.187
"19","2021/04/28","07:51:43",-0.2035,22.504,34.367,49.667,52553.014,1023.594,23.595,0.13,0.13,0.53,86.63,6.142,NA,6.157,6.158
"20","2021/04/28","07:51:44",-0.1839,22.516,34.374,49.689,52561.15,1023.596,23.597,0.14,0.14,0.6,86.34,6.12,7.74,6.135,6.136
"21","2021/04/28","07:51:44",-0.1839,22.456,34.44,49.712,52659.107,1023.663,23.664,0.14,0.14,0.54,86.06,6.099,7.74,6.114,6.115
"22","2021/04/28","07:51:44",-0.1839,22.385,34.484,49.696,52730.113,1023.717,23.718,0.15,0.15,0.64,85.83,6.08,7.76,6.095,6.096
"23","2021/04/28","07:51:44",-0.1839,NA,NA,49.707,52788.564,1023.757,23.758,0.14,0.14,0.71,85.74,6.071,7.78,6.086,6.087
"24","2021/04/28","07:51:44",-0.1839,NA,34.521,49.695,52787.691,1023.758,23.759,0.14,0.14,0.64,85.66,6.066,7.78,6.081,6.082
"25","2021/04/28","07:51:44",-0.2035,NA,NA,49.707,52791.026,1023.759,23.759,0.15,0.15,0.58,85.43,6.048,7.78,6.063,6.064
"26","2021/04/28","07:51:44",-0.2035,22.368,34.518,49.722,52778.613,1023.747,23.748,0.15,0.15,0.61,85.14,6.028,7.78,6.043,6.044
"27","2021/04/28","07:51:44",-0.1839,22.386,34.493,49.71,52742.188,1023.723,23.724,NA,NA,0.61,84.76,6.003,7.76,6.018,6.019
"28","2021/04/28","07:51:44",-0.2035,22.391,34.479,49.697,52723.125,1023.712,23.712,0.15,0.15,0.64,84.36,5.976,7.77,5.991,5.992
"29","2021/04/28","07:51:44",-0.1839,22.394,34.467,49.684,52706.072,1023.702,23.702,0.14,0.14,0.63,83.82,5.938,7.77,5.953,5.954
"30","2021/04/28","07:51:45",-0.1839,22.392,34.464,49.678,52702.191,1023.7,23.701,0.14,0.14,0.67,83.39,5.907,7.76,5.922,5.923
"31","2021/04/28","07:51:45",-0.1839,22.389,34.46,49.669,52696.321,1023.697,23.698,0.14,0.14,0.67,83.03,5.883,7.77,5.898,5.899
"32","2021/04/28","07:51:45",-0.1839,22.384,34.469,49.677,52710.218,1023.706,23.707,0.14,0.14,0.68,82.77,5.866,7.77,5.88,5.881
"33","2021/04/28","07:51:45",-0.1839,22.388,34.46,49.668,52696.999,1023.698,23.699,0.15,0.15,0.7,82.49,5.847,7.77,5.861,5.862
"34","2021/04/28","07:51:45",-0.1839,22.382,34.456,49.657,52692.165,1023.696,23.697,0.15,0.15,0.72,82.1,5.82,7.8,5.834,5.835
"35","2021/04/28","07:51:45",-0.2035,22.384,34.456,49.659,52691.738,1023.695,23.696,0.16,0.16,0.71,81.84,5.801,7.77,5.816,5.816
"36","2021/04/28","07:51:45",-0.2035,22.396,34.46,49.677,52695.451,1023.695,23.696,NA,NA,0.65,81.67,5.789,7.8,5.803,5.804
"37","2021/04/28","07:51:45",-0.1839,22.414,34.449,49.681,52677.601,1023.682,23.682,NA,NA,0.65,81.57,5.784,7.76,5.798,5.799
"38","2021/04/28","07:51:45",-0.1839,22.431,34.436,49.682,52658.006,1023.667,23.668,0.16,0.16,0.65,81.27,5.765,7.77,5.779,5.78
"39","2021/04/28","07:51:45",-0.1839,22.446,34.416,49.671,52627.953,1023.648,23.648,0.15,0.15,0.67,81.13,5.756,7.78,5.77,5.771
"40","2021/04/28","07:51:46",-0.2035,22.461,34.403,49.67,52608.229,1023.634,23.635,0.14,0.14,0.65,80.98,5.746,7.79,5.76,5.761
