//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2021/05/13 10:35:41
EndTime=2021/05/13 10:35:51
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/13,10:35:41,-0.3016,26.807,34.035,53.617,51567.629,1022.051,22.052,0.30,0.30,4.60,94.03,5.972,7.53,5.989,5.990,
2021/05/13,10:35:41,-0.3016,26.786,34.040,53.604,51577.439,1022.062,22.063,0.31,0.31,4.60,94.05,5.974,7.52,5.991,5.992,
2021/05/13,10:35:41,-0.3213,26.774,34.065,53.626,51611.844,1022.084,22.086,0.33,0.33,4.80,94.06,5.975,7.54,5.991,5.992,
2021/05/13,10:35:41,-0.3213,26.780,34.078,53.651,51628.958,1022.092,22.093,0.34,0.34,4.86,94.07,5.975,7.55,5.992,5.993,
2021/05/13,10:35:41,-0.3213,26.794,34.076,53.663,51625.095,1022.086,22.088,0.34,0.34,4.97,94.10,5.977,7.56,5.994,5.995,
2021/05/13,10:35:41,-0.3213,26.793,34.071,53.655,51618.527,1022.083,22.084,0.32,0.32,4.74,94.05,5.975,7.55,5.991,5.992,
2021/05/13,10:35:41,-0.3213,26.797,34.083,53.676,51634.215,1022.091,22.092,0.31,0.31,4.46,93.99,5.971,7.57,5.987,5.988,
2021/05/13,10:35:41,-0.3213,26.797,34.102,53.701,51658.720,1022.104,22.106,0.35,0.35,4.63,94.07,5.976,7.58,5.992,5.993,
2021/05/13,10:35:41,-0.3213,26.801,34.106,53.711,51664.050,1022.106,22.108,0.37,0.37,4.60,94.16,5.981,7.58,5.998,5.999,
2021/05/13,10:35:41,-0.3213,26.816,34.089,53.703,51640.205,1022.089,22.090,0.36,0.36,4.48,94.22,5.986,7.59,6.003,6.004,
2021/05/13,10:35:42,-0.3409,26.824,34.073,53.688,51617.079,1022.074,22.075,0.35,0.35,4.11,94.30,5.991,7.58,6.008,6.009,
2021/05/13,10:35:42,-0.3213,26.827,34.074,53.692,51618.150,1022.074,22.075,0.33,0.33,3.96,94.22,5.987,7.60,6.004,6.005,
2021/05/13,10:35:42,-0.3213,26.824,34.079,53.697,51625.409,1022.079,22.080,0.31,0.31,4.16,94.15,5.982,7.60,5.999,6.000,
2021/05/13,10:35:42,-0.3213,26.827,34.075,53.694,51619.397,1022.074,22.076,0.32,0.32,4.43,94.13,5.982,7.59,5.998,5.999,
2021/05/13,10:35:42,-0.3213,26.822,34.075,53.690,51620.568,1022.076,22.078,0.32,0.32,4.77,94.11,5.980,7.62,5.997,5.998,
2021/05/13,10:35:42,-0.3213,26.819,34.078,53.691,51625.402,1022.080,22.081,0.33,0.33,4.83,94.05,5.977,7.63,5.994,5.995,
