//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2021/05/13 10:26:21
EndTime=2021/05/13 10:26:32
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/13,10:26:21,-0.2624,26.362,34.097,53.246,51697.456,1022.238,22.239,0.16,0.16,1.78,94.29,6.088,7.52,6.105,6.106,
2021/05/13,10:26:21,-0.2820,26.364,34.103,53.257,51705.591,1022.242,22.243,0.15,0.15,1.86,94.33,6.091,7.50,6.109,6.110,
2021/05/13,10:26:21,-0.2820,26.370,34.111,53.275,51716.439,1022.246,22.248,0.15,0.15,1.69,94.33,6.092,7.54,6.109,6.110,
2021/05/13,10:26:21,-0.3016,26.365,34.115,53.275,51721.177,1022.250,22.251,0.17,0.17,1.68,94.53,6.106,7.54,6.123,6.124,
2021/05/13,10:26:21,-0.2624,26.353,34.123,53.274,51734.458,1022.261,22.262,0.17,0.17,1.69,94.61,6.112,7.55,6.129,6.130,
2021/05/13,10:26:21,-0.2624,26.353,34.130,53.283,51743.052,1022.266,22.267,0.17,0.17,1.78,94.70,6.118,7.55,6.136,6.137,
2021/05/13,10:26:21,-0.2820,26.345,34.150,53.303,51771.155,1022.283,22.285,0.17,0.17,1.86,94.69,6.117,7.56,6.135,6.136,
2021/05/13,10:26:21,-0.2624,26.346,34.150,53.304,51771.059,1022.283,22.284,0.17,0.17,1.92,94.71,6.119,7.56,6.136,6.137,
2021/05/13,10:26:21,-0.2820,26.354,34.132,53.287,51745.315,1022.267,22.268,0.15,0.15,1.79,94.65,6.116,7.58,6.133,6.134,
2021/05/13,10:26:21,-0.2820,26.378,34.104,53.273,51705.261,1022.238,22.239,0.17,0.17,1.68,94.76,6.125,7.58,6.142,6.143,
2021/05/13,10:26:22,-0.2820,26.407,34.092,53.286,51686.229,1022.220,22.221,0.18,0.18,1.95,94.77,6.126,7.58,6.143,6.144,
2021/05/13,10:26:22,-0.2820,26.419,34.093,53.301,51686.752,1022.217,22.218,0.17,0.17,1.69,94.76,6.126,7.59,6.143,6.144,
2021/05/13,10:26:22,-0.2820,26.418,34.103,53.313,51699.573,1022.225,22.226,0.16,0.16,1.66,94.79,6.128,7.60,6.145,6.146,
2021/05/13,10:26:22,-0.2820,26.416,34.112,53.323,51712.288,1022.232,22.234,0.19,0.19,1.82,94.74,6.124,7.60,6.142,6.143,
2021/05/13,10:26:22,-0.2820,26.416,34.115,53.327,51716.053,1022.235,22.236,0.18,0.18,1.83,94.63,6.117,7.61,6.135,6.136,
2021/05/13,10:26:22,-0.2820,26.420,34.115,53.332,51716.080,1022.233,22.235,0.19,0.19,1.83,94.65,6.119,7.61,6.136,6.137,
