"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/13","10:26:21",-0.282,26.364,NA,53.257,NA,1022.242,22.243,0.15,0.15,1.86,94.33,6.091,NA,6.109,6.11
"2","2021/05/13","10:26:21",-0.282,26.37,34.111,53.275,NA,1022.246,22.248,0.15,0.15,1.69,94.33,6.092,NA,6.109,6.11
"3","2021/05/13","10:26:21",NA,26.365,34.115,53.275,NA,1022.25,22.251,0.17,0.17,1.68,94.53,6.106,NA,6.123,6.124
"4","2021/05/13","10:26:21",NA,26.353,34.123,53.274,51734.458,1022.261,22.262,0.17,0.17,1.69,94.61,6.112,NA,6.129,6.13
"5","2021/05/13","10:26:21",NA,26.353,34.13,53.283,51743.052,1022.266,22.267,0.17,0.17,1.78,94.7,6.118,NA,6.136,6.137
"6","2021/05/13","10:26:21",-0.282,26.345,34.15,53.303,51771.155,1022.283,22.285,0.17,0.17,1.86,94.69,6.117,NA,6.135,6.136
"7","2021/05/13","10:26:21",NA,26.346,34.15,53.304,51771.059,1022.283,22.284,0.17,0.17,1.92,94.71,6.119,NA,6.136,6.137
"8","2021/05/13","10:26:21",-0.282,26.354,34.132,53.287,51745.315,1022.267,22.268,0.15,0.15,1.79,94.65,6.116,NA,6.133,6.134
"9","2021/05/13","10:26:21",-0.282,26.378,NA,53.273,NA,1022.238,22.239,0.17,0.17,1.68,94.76,6.125,NA,6.142,6.143
"10","2021/05/13","10:26:22",-0.282,26.407,NA,53.286,NA,NA,NA,0.18,0.18,1.95,94.77,6.126,NA,6.143,6.144
"11","2021/05/13","10:26:22",-0.282,26.419,NA,53.301,NA,NA,NA,0.17,0.17,1.69,94.76,6.126,7.59,6.143,6.144
"12","2021/05/13","10:26:22",-0.282,26.418,NA,53.313,NA,NA,NA,0.16,0.16,1.66,94.79,6.128,7.6,6.145,6.146
"13","2021/05/13","10:26:22",-0.282,26.416,34.112,53.323,NA,1022.232,22.234,0.19,0.19,1.82,94.74,6.124,7.6,6.142,6.143
"14","2021/05/13","10:26:22",-0.282,26.416,34.115,53.327,NA,1022.235,22.236,0.18,0.18,1.83,94.63,6.117,7.61,6.135,6.136
"15","2021/05/13","10:26:22",-0.282,26.42,34.115,53.332,NA,1022.233,22.235,0.19,0.19,1.83,94.65,6.119,7.61,6.136,6.137
"16","2021/05/13","10:26:22",-0.282,26.43,34.112,53.338,NA,1022.228,22.229,0.18,0.18,NA,94.67,6.121,7.6,6.138,6.139
"17","2021/05/13","10:26:22",-0.282,26.435,34.116,53.348,NA,1022.229,22.231,NA,NA,NA,94.6,6.116,7.62,6.133,6.134
"18","2021/05/13","10:26:22",-0.282,26.436,34.123,53.359,51724.51,1022.234,22.235,NA,NA,1.92,94.66,6.12,7.62,6.137,6.138
"19","2021/05/13","10:26:22",-0.282,26.447,34.123,53.37,51723.721,1022.231,22.232,0.17,0.17,1.82,94.64,6.119,7.62,6.136,6.137
"20","2021/05/13","10:26:23",-0.282,26.452,34.126,53.381,51727.863,1022.232,22.233,0.17,0.17,1.65,94.67,6.121,7.63,6.138,6.139
"21","2021/05/13","10:26:23",-0.282,26.447,34.136,53.388,51740.922,1022.241,22.242,0.18,0.18,1.62,94.65,6.12,7.63,6.137,6.138
"22","2021/05/13","10:26:23",-0.282,26.435,34.148,53.393,51758.948,1022.254,22.255,0.18,0.18,1.65,94.7,6.123,7.64,6.14,6.141
"23","2021/05/13","10:26:23",NA,26.426,34.157,53.397,51772.479,1022.263,22.265,0.18,0.18,1.69,94.66,6.12,7.64,6.137,6.138
"24","2021/05/13","10:26:23",-0.282,26.421,34.168,53.407,51787.739,1022.273,22.274,0.18,0.18,1.79,94.73,6.124,7.65,6.142,6.143
"25","2021/05/13","10:26:23",-0.282,26.415,34.18,53.416,51803.529,1022.284,22.285,0.18,0.18,1.78,94.66,6.119,7.63,6.137,6.138
"26","2021/05/13","10:26:23",NA,26.414,34.186,53.425,51812.649,1022.289,22.29,0.17,0.17,1.68,94.62,6.117,7.63,6.135,6.136
"27","2021/05/13","10:26:23",NA,26.416,34.19,53.431,51816.849,1022.291,22.292,0.15,0.15,1.62,94.7,6.122,7.64,6.139,6.14
"28","2021/05/13","10:26:23",-0.282,26.419,34.19,53.435,51817.153,1022.29,22.291,0.17,0.17,1.86,94.64,6.118,7.64,6.136,6.137
"29","2021/05/13","10:26:23",-0.282,26.422,34.193,53.442,51820.993,1022.292,22.293,0.17,0.17,1.88,94.67,6.12,7.65,6.137,6.139
"30","2021/05/13","10:26:24",-0.282,26.425,34.196,53.45,51824.945,1022.293,22.294,0.17,0.17,1.69,94.74,6.124,7.65,6.142,6.143
"31","2021/05/13","10:26:24",-0.282,26.427,34.2,53.457,51829.646,1022.295,22.296,0.17,0.17,1.66,94.69,6.122,7.65,6.139,6.14
"32","2021/05/13","10:26:24",-0.282,26.43,34.203,53.464,51833.101,1022.296,22.298,0.18,0.18,1.72,94.72,6.124,7.66,6.141,6.142
"33","2021/05/13","10:26:24",-0.282,26.432,34.206,53.47,51836.75,1022.298,22.299,0.17,0.17,1.75,94.86,6.133,7.66,6.151,6.152
"34","2021/05/13","10:26:24",-0.282,26.431,34.21,53.475,51842.462,1022.301,22.303,0.18,0.18,1.79,94.8,6.129,7.67,6.146,6.147
"35","2021/05/13","10:26:24",-0.282,26.43,34.214,53.48,51848.081,1022.305,22.306,0.17,0.17,1.69,94.83,6.131,7.66,6.149,6.15
