//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2021/05/13 13:14:26
EndTime=2021/05/13 13:14:38
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/05/13,13:14:26,-0.2231,27.053,33.965,53.772,51448.908,1021.921,21.922,0.23,0.23,1.73,94.57,6.020,7.51,6.037,6.038,
2021/05/13,13:14:26,-0.2624,27.065,33.952,53.766,51429.983,1021.907,21.908,0.20,0.20,1.62,94.70,6.035,7.54,6.052,6.053,
2021/05/13,13:14:26,-0.2428,27.060,33.951,53.761,51429.936,1021.908,21.909,0.21,0.21,1.73,94.76,6.043,7.54,6.059,6.060,
2021/05/13,13:14:26,-0.2428,27.056,33.954,53.760,51433.693,1021.911,21.912,0.21,0.21,1.81,94.88,6.055,7.54,6.072,6.073,
2021/05/13,13:14:26,-0.2428,27.055,33.953,53.758,51432.939,1021.911,21.912,0.18,0.18,1.69,94.96,6.063,7.54,6.080,6.081,
2021/05/13,13:14:26,-0.2624,27.062,33.948,53.758,51424.672,1021.904,21.905,0.19,0.19,1.89,95.05,6.072,7.56,6.089,6.090,
2021/05/13,13:14:26,-0.2428,27.066,33.946,53.758,51421.645,1021.902,21.903,0.20,0.20,1.86,95.06,6.076,7.57,6.093,6.094,
2021/05/13,13:14:26,-0.2624,27.058,33.950,53.757,51427.984,1021.907,21.908,0.19,0.19,1.95,95.11,6.082,7.57,6.099,6.100,
2021/05/13,13:14:26,-0.2428,27.051,33.962,53.766,51445.086,1021.919,21.920,0.18,0.18,1.72,95.07,6.080,7.56,6.097,6.098,
2021/05/13,13:14:26,-0.2428,27.047,33.961,53.761,51444.580,1021.920,21.921,0.18,0.18,1.59,95.08,6.080,7.58,6.097,6.098,
2021/05/13,13:14:27,-0.2624,27.049,33.959,53.760,51441.765,1021.917,21.919,0.20,0.20,1.54,95.14,6.084,7.59,6.101,6.102,
2021/05/13,13:14:27,-0.2624,27.054,33.960,53.767,51442.265,1021.916,21.918,0.19,0.19,1.41,95.12,6.082,7.59,6.099,6.100,
2021/05/13,13:14:27,-0.2428,27.059,33.962,53.775,51444.388,1021.916,21.917,0.18,0.18,1.34,95.23,6.089,7.59,6.106,6.107,
2021/05/13,13:14:27,-0.2428,27.065,33.949,53.763,51426.802,1021.905,21.906,0.19,0.19,1.45,95.27,6.091,7.60,6.108,6.109,
2021/05/13,13:14:27,-0.2624,27.079,33.941,53.765,51413.422,1021.894,21.895,0.21,0.21,1.52,95.17,6.084,7.59,6.101,6.102,
2021/05/13,13:14:27,-0.2428,27.074,33.949,53.773,51425.820,1021.902,21.903,0.21,0.21,1.39,95.10,6.079,7.61,6.096,6.097,
2021/05/13,13:14:27,-0.2624,27.065,33.961,53.779,51442.228,1021.914,21.915,0.21,0.21,1.38,95.04,6.074,7.61,6.091,6.092,
2021/05/13,13:14:27,-0.2624,27.066,33.967,53.788,51449.764,1021.917,21.919,0.23,0.23,1.49,95.06,6.074,7.62,6.091,6.092,
2021/05/13,13:14:27,-0.2428,27.075,33.963,53.792,51443.702,1021.912,21.913,0.22,0.22,2.22,95.04,6.073,7.62,6.090,6.091,
2021/05/13,13:14:27,-0.2428,27.075,33.957,53.784,51435.542,1021.907,21.908,0.20,0.20,1.72,94.96,6.067,7.63,6.084,6.085,
2021/05/13,13:14:28,-0.2624,27.072,33.969,53.797,51452.149,1021.917,21.918,0.19,0.19,1.61,95.01,6.069,7.63,6.086,6.087,
2021/05/13,13:14:28,-0.2428,27.062,33.974,53.794,51459.704,1021.924,21.925,0.18,0.18,1.52,95.05,6.071,7.63,6.088,6.089,
2021/05/13,13:14:28,-0.2624,27.060,33.970,53.786,51454.580,1021.922,21.923,0.19,0.19,1.62,95.17,6.078,7.63,6.095,6.096,
2021/05/13,13:14:28,-0.2624,27.066,33.973,53.798,51458.812,1021.922,21.924,0.19,0.19,1.58,95.13,6.075,7.65,6.092,6.093,
2021/05/13,13:14:28,-0.2624,27.064,33.969,53.790,51453.855,1021.920,21.921,0.21,0.21,1.55,95.29,6.085,7.64,6.102,6.103,
2021/05/13,13:14:28,-0.2624,27.058,33.972,53.787,51457.339,1021.924,21.925,0.19,0.19,1.39,95.20,6.079,7.64,6.096,6.097,
2021/05/13,13:14:28,-0.2624,27.048,33.984,53.795,51474.929,1021.936,21.937,0.18,0.18,1.41,95.16,6.076,7.64,6.093,6.094,
2021/05/13,13:14:28,-0.2624,27.039,33.991,53.795,51484.963,1021.944,21.945,0.18,0.18,1.45,95.15,6.075,7.65,6.092,6.093,
2021/05/13,13:14:28,-0.2624,27.036,33.992,53.793,51486.740,1021.946,21.947,0.18,0.18,1.52,95.17,6.075,7.64,6.092,6.093,
2021/05/13,13:14:28,-0.2624,27.038,33.982,53.782,51473.840,1021.938,21.939,0.18,0.18,1.56,95.08,6.069,7.67,6.086,6.087,
2021/05/13,13:14:29,-0.2624,27.042,33.979,53.780,51468.576,1021.934,21.935,0.18,0.18,1.56,95.09,6.070,7.63,6.087,6.088,
2021/05/13,13:14:29,-0.2428,27.046,33.980,53.786,51469.695,1021.934,21.935,0.18,0.18,1.49,95.05,6.067,7.63,6.084,6.085,
2021/05/13,13:14:29,-0.2624,27.050,33.978,53.788,51466.749,1021.931,21.932,0.18,0.18,1.46,95.02,6.065,7.64,6.082,6.083,
2021/05/13,13:14:29,-0.2624,27.056,33.976,53.790,51462.879,1021.927,21.929,0.18,0.18,1.54,95.04,6.066,7.66,6.083,6.084,
2021/05/13,13:14:29,-0.2624,27.060,33.977,53.797,51464.631,1021.927,21.928,0.17,0.17,1.58,94.97,6.061,7.66,6.078,6.079,
2021/05/13,13:14:29,-0.2624,27.061,33.977,53.798,51465.062,1021.927,21.929,0.18,0.18,1.46,95.04,6.065,7.65,6.082,6.083,
2021/05/13,13:14:29,-0.2624,27.058,33.982,53.802,51471.143,1021.931,21.932,0.19,0.19,1.51,95.03,6.065,7.66,6.082,6.083,
2021/05/13,13:14:29,-0.2624,27.058,33.984,53.805,51474.388,1021.933,21.934,0.21,0.21,1.54,95.09,6.068,7.66,6.085,6.086,
2021/05/13,13:14:29,-0.2428,27.059,33.985,53.807,51475.810,1021.934,21.935,0.21,0.21,1.49,95.01,6.063,7.68,6.080,6.081,
2021/05/13,13:14:29,-0.2624,27.058,33.989,53.812,51481.442,1021.937,21.938,0.20,0.20,1.51,95.09,6.068,7.66,6.085,6.086,
2021/05/13,13:14:30,-0.2624,27.055,33.992,53.812,51484.616,1021.940,21.941,0.18,0.18,1.55,95.08,6.067,7.66,6.084,6.085,
2021/05/13,13:14:30,-0.2428,27.053,33.992,53.811,51485.971,1021.941,21.942,0.18,0.18,1.52,95.14,6.070,7.69,6.087,6.088,
2021/05/13,13:14:30,-0.2428,27.051,33.995,53.812,51489.089,1021.944,21.945,0.18,0.18,1.51,95.07,6.066,7.69,6.083,6.084,
2021/05/13,13:14:30,-0.2428,27.046,34.000,53.814,51496.651,1021.949,21.950,0.19,0.19,1.51,95.04,6.063,7.67,6.081,6.081,
2021/05/13,13:14:30,-0.2428,27.044,34.003,53.816,51500.773,1021.952,21.953,0.19,0.19,1.61,95.03,6.062,7.67,6.079,6.080,
2021/05/13,13:14:30,-0.2428,27.042,34.007,53.820,51506.112,1021.955,21.956,0.21,0.21,1.62,95.13,6.068,7.67,6.086,6.086,
2021/05/13,13:14:30,-0.2624,27.041,34.012,53.827,51513.668,1021.960,21.961,0.21,0.21,1.59,95.20,6.073,7.67,6.090,6.091,
2021/05/13,13:14:30,-0.2428,27.042,34.015,53.831,51516.790,1021.961,21.962,0.21,0.21,1.56,95.09,6.066,7.67,6.083,6.084,
2021/05/13,13:14:30,-0.2428,27.044,34.015,53.834,51517.425,1021.961,21.962,0.19,0.19,1.69,95.05,6.063,7.67,6.080,6.081,
2021/05/13,13:14:30,-0.2624,27.048,34.013,53.835,51514.102,1021.958,21.959,0.20,0.20,1.78,95.03,6.062,7.68,6.079,6.080,
2021/05/13,13:14:31,-0.2624,27.053,34.011,53.838,51510.743,1021.955,21.956,0.19,0.19,1.78,95.05,6.063,7.67,6.080,6.081,
2021/05/13,13:14:31,-0.2428,27.058,34.009,53.840,51507.696,1021.952,21.953,0.20,0.20,1.75,95.08,6.065,7.68,6.082,6.083,
2021/05/13,13:14:31,-0.2624,27.059,34.011,53.844,51510.673,1021.953,21.954,0.18,0.18,1.75,95.12,6.067,7.68,6.084,6.085,
2021/05/13,13:14:31,-0.2624,27.059,34.013,53.847,51512.764,1021.954,21.955,0.18,0.18,1.75,95.02,6.060,7.68,6.077,6.078,
2021/05/13,13:14:31,-0.2428,27.060,34.013,53.847,51513.222,1021.955,21.956,0.17,0.17,1.71,95.09,6.065,7.68,6.082,6.083,
2021/05/13,13:14:31,-0.2428,27.059,34.017,53.852,51518.837,1021.958,21.959,0.19,0.19,1.65,95.16,6.070,7.67,6.087,6.088,
2021/05/13,13:14:31,-0.2428,27.057,34.022,53.857,51525.872,1021.962,21.964,0.18,0.18,1.61,95.15,6.069,7.67,6.086,6.087,
2021/05/13,13:14:31,-0.2428,27.054,34.027,53.862,51532.578,1021.967,21.968,0.18,0.18,1.62,95.04,6.062,7.67,6.079,6.080,
2021/05/13,13:14:31,-0.2428,27.051,34.033,53.866,51540.937,1021.972,21.974,0.18,0.18,1.75,95.10,6.064,7.68,6.081,6.082,
2021/05/13,13:14:31,-0.2428,27.049,34.037,53.870,51546.045,1021.976,21.977,0.20,0.20,1.81,95.10,6.065,7.68,6.082,6.083,
