"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/13","13:14:26",-0.2624,27.065,33.952,53.766,51429.983,1021.907,21.908,0.2,0.2,1.62,NA,NA,NA,NA,NA
"2","2021/05/13","13:14:26",-0.2428,27.06,33.951,53.761,51429.936,1021.908,21.909,0.21,0.21,1.73,94.76,NA,NA,NA,NA
"3","2021/05/13","13:14:26",-0.2428,27.056,33.954,53.76,51433.693,1021.911,21.912,0.21,0.21,1.81,94.88,6.055,NA,6.072,6.073
"4","2021/05/13","13:14:26",-0.2428,27.055,33.953,53.758,51432.939,1021.911,21.912,0.18,0.18,1.69,94.96,6.063,NA,6.08,6.081
"5","2021/05/13","13:14:26",-0.2624,27.062,33.948,53.758,51424.672,1021.904,21.905,0.19,0.19,1.89,95.05,6.072,NA,6.089,6.09
"6","2021/05/13","13:14:26",-0.2428,27.066,33.946,53.758,51421.645,1021.902,21.903,0.2,0.2,1.86,95.06,6.076,NA,6.093,6.094
"7","2021/05/13","13:14:26",-0.2624,27.058,33.95,53.757,51427.984,1021.907,21.908,0.19,0.19,1.95,95.11,6.082,NA,6.099,6.1
"8","2021/05/13","13:14:26",-0.2428,27.051,33.962,53.766,51445.086,1021.919,21.92,0.18,0.18,1.72,95.07,6.08,NA,6.097,6.098
"9","2021/05/13","13:14:26",-0.2428,27.047,33.961,53.761,51444.58,1021.92,21.921,0.18,0.18,1.59,95.08,6.08,NA,6.097,6.098
"10","2021/05/13","13:14:27",-0.2624,27.049,33.959,53.76,51441.765,1021.917,21.919,0.2,0.2,1.54,95.14,6.084,NA,6.101,6.102
"11","2021/05/13","13:14:27",-0.2624,27.054,33.96,53.767,51442.265,1021.916,21.918,0.19,0.19,1.41,95.12,6.082,NA,6.099,6.1
"12","2021/05/13","13:14:27",-0.2428,27.059,33.962,53.775,51444.388,1021.916,21.917,0.18,0.18,1.34,95.23,6.089,NA,6.106,6.107
"13","2021/05/13","13:14:27",-0.2428,27.065,33.949,53.763,51426.802,1021.905,21.906,0.19,0.19,1.45,95.27,6.091,NA,6.108,6.109
"14","2021/05/13","13:14:27",-0.2624,27.079,33.941,53.765,51413.422,1021.894,21.895,0.21,0.21,1.52,95.17,6.084,NA,6.101,6.102
"15","2021/05/13","13:14:27",-0.2428,27.074,33.949,53.773,51425.82,1021.902,21.903,0.21,0.21,1.39,95.1,6.079,NA,6.096,6.097
"16","2021/05/13","13:14:27",-0.2624,27.065,33.961,53.779,51442.228,1021.914,21.915,0.21,0.21,1.38,95.04,6.074,NA,6.091,6.092
"17","2021/05/13","13:14:27",-0.2624,27.066,33.967,53.788,51449.764,1021.917,21.919,0.23,0.23,1.49,95.06,6.074,NA,6.091,6.092
"18","2021/05/13","13:14:27",-0.2428,27.075,33.963,53.792,51443.702,1021.912,21.913,0.22,0.22,NA,95.04,6.073,NA,6.09,6.091
"19","2021/05/13","13:14:27",-0.2428,27.075,33.957,53.784,51435.542,1021.907,21.908,0.2,0.2,1.72,94.96,6.067,NA,6.084,6.085
"20","2021/05/13","13:14:28",-0.2624,27.072,33.969,53.797,51452.149,1021.917,21.918,0.19,0.19,1.61,95.01,6.069,NA,6.086,6.087
"21","2021/05/13","13:14:28",-0.2428,27.062,33.974,53.794,51459.704,1021.924,21.925,0.18,0.18,1.52,95.05,6.071,NA,6.088,6.089
"22","2021/05/13","13:14:28",-0.2624,27.06,33.97,53.786,51454.58,1021.922,21.923,0.19,0.19,1.62,95.17,6.078,NA,6.095,6.096
"23","2021/05/13","13:14:28",-0.2624,27.066,33.973,53.798,51458.812,1021.922,21.924,0.19,0.19,1.58,95.13,6.075,7.65,6.092,6.093
"24","2021/05/13","13:14:28",-0.2624,27.064,33.969,53.79,51453.855,1021.92,21.921,0.21,0.21,1.55,95.29,6.085,7.64,6.102,6.103
"25","2021/05/13","13:14:28",-0.2624,27.058,33.972,53.787,51457.339,1021.924,21.925,0.19,0.19,1.39,95.2,6.079,7.64,6.096,6.097
"26","2021/05/13","13:14:28",-0.2624,27.048,33.984,53.795,51474.929,1021.936,21.937,0.18,0.18,1.41,95.16,6.076,7.64,6.093,6.094
"27","2021/05/13","13:14:28",-0.2624,27.039,33.991,53.795,51484.963,1021.944,21.945,0.18,0.18,1.45,95.15,6.075,7.65,6.092,6.093
"28","2021/05/13","13:14:28",-0.2624,27.036,33.992,53.793,51486.74,1021.946,21.947,0.18,0.18,1.52,95.17,6.075,7.64,6.092,6.093
"29","2021/05/13","13:14:28",-0.2624,27.038,33.982,53.782,51473.84,1021.938,21.939,0.18,0.18,1.56,95.08,6.069,7.67,6.086,6.087
"30","2021/05/13","13:14:29",-0.2624,27.042,33.979,53.78,51468.576,1021.934,21.935,0.18,0.18,1.56,95.09,6.07,NA,6.087,6.088
"31","2021/05/13","13:14:29",-0.2428,27.046,33.98,53.786,51469.695,1021.934,21.935,0.18,0.18,1.49,95.05,6.067,NA,6.084,6.085
"32","2021/05/13","13:14:29",-0.2624,27.05,33.978,53.788,51466.749,1021.931,21.932,0.18,0.18,1.46,95.02,6.065,7.64,6.082,6.083
"33","2021/05/13","13:14:29",-0.2624,27.056,33.976,53.79,51462.879,1021.927,21.929,0.18,0.18,1.54,95.04,6.066,7.66,6.083,6.084
"34","2021/05/13","13:14:29",-0.2624,27.06,33.977,53.797,51464.631,1021.927,21.928,0.17,0.17,1.58,94.97,6.061,7.66,6.078,6.079
"35","2021/05/13","13:14:29",-0.2624,27.061,33.977,53.798,51465.062,1021.927,21.929,0.18,0.18,1.46,95.04,6.065,7.65,6.082,6.083
"36","2021/05/13","13:14:29",-0.2624,27.058,33.982,53.802,51471.143,1021.931,21.932,0.19,0.19,1.51,95.03,6.065,7.66,6.082,6.083
"37","2021/05/13","13:14:29",-0.2624,27.058,33.984,53.805,51474.388,1021.933,21.934,0.21,0.21,1.54,95.09,6.068,7.66,6.085,6.086
"38","2021/05/13","13:14:29",-0.2428,27.059,33.985,53.807,51475.81,1021.934,21.935,0.21,0.21,1.49,95.01,6.063,7.68,6.08,6.081
"39","2021/05/13","13:14:29",-0.2624,27.058,33.989,53.812,51481.442,1021.937,21.938,0.2,0.2,1.51,95.09,6.068,7.66,6.085,6.086
"40","2021/05/13","13:14:30",-0.2624,27.055,33.992,53.812,51484.616,1021.94,21.941,0.18,0.18,1.55,95.08,6.067,7.66,6.084,6.085
"41","2021/05/13","13:14:30",-0.2428,27.053,33.992,53.811,51485.971,1021.941,21.942,0.18,0.18,1.52,95.14,6.07,7.69,6.087,6.088
"42","2021/05/13","13:14:30",-0.2428,27.051,33.995,53.812,51489.089,1021.944,21.945,0.18,0.18,1.51,95.07,6.066,7.69,6.083,6.084
"43","2021/05/13","13:14:30",-0.2428,27.046,34,53.814,51496.651,1021.949,21.95,0.19,0.19,1.51,95.04,6.063,7.67,6.081,6.081
